,세종특별자치시,세종특별자치시 세종특별자치시
2021년11월_계_총인구수,"369,465","369,465"
2021년11월_계_연령구간인구수,"369,465","369,465"
2021년11월_계_0~9세,"46,913","46,913"
2021년11월_계_10~19세,"45,439","45,439"
2021년11월_계_20~29세,"38,251","38,251"
2021년11월_계_30~39세,"61,298","61,298"
2021년11월_계_40~49세,"72,186","72,186"
2021년11월_계_50~59세,"48,474","48,474"
2021년11월_계_60~69세,"33,344","33,344"
2021년11월_계_70~79세,"14,704","14,704"
2021년11월_계_80~89세,"7,533","7,533"
2021년11월_계_90~99세,"1,285","1,285"
2021년11월_계_100세 이상,38,38
2021년11월_남_총인구수,"184,441","184,441"
2021년11월_남_연령구간인구수,"184,441","184,441"
2021년11월_남_0~9세,"23,896","23,896"
2021년11월_남_10~19세,"22,924","22,924"
2021년11월_남_20~29세,"19,613","19,613"
2021년11월_남_30~39세,"29,878","29,878"
2021년11월_남_40~49세,"36,531","36,531"
2021년11월_남_50~59세,"25,363","25,363"
2021년11월_남_60~69세,"16,533","16,533"
2021년11월_남_70~79세,"6,852","6,852"
2021년11월_남_80~89세,"2,581","2,581"
2021년11월_남_90~99세,262,262
2021년11월_남_100세 이상,8,8
2021년11월_여_총인구수,"185,024","185,024"
2021년11월_여_연령구간인구수,"185,024","185,024"
2021년11월_여_0~9세,"23,017","23,017"
2021년11월_여_10~19세,"22,515","22,515"
2021년11월_여_20~29세,"18,638","18,638"
2021년11월_여_30~39세,"31,420","31,420"
2021년11월_여_40~49세,"35,655","35,655"
2021년11월_여_50~59세,"23,111","23,111"
2021년11월_여_60~69세,"16,811","16,811"
2021년11월_여_70~79세,"7,852","7,852"
2021년11월_여_80~89세,"4,952","4,952"
2021년11월_여_90~99세,"1,023","1,023"
2021년11월_여_100세 이상,30,30
