카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020년02월_계_총인구수,"350,897","18,139","8,812","3,795","22,974","2,278","2,191","8,897","7,349","3,645","2,866","5,374","13,131","8,920","16,082","43,258","8,809","5,101","27,390","13,846","9,801","25,133","8,518","7,555","33,369","43,664"
2020년02월_계_연령구간인구수,"350,897","18,139","8,812","3,795","22,974","2,278","2,191","8,897","7,349","3,645","2,866","5,374","13,131","8,920","16,082","43,258","8,809","5,101","27,390","13,846","9,801","25,133","8,518","7,555","33,369","43,664"
2020년02월_계_0~9세,"28,829","1,285",425,115,"3,835",48,53,437,428,59,63,253,736,426,843,"3,475",415,191,"2,035","1,126",828,"1,940",316,509,"3,489","5,499"
2020년02월_계_10~19세,"36,628","1,739",581,161,"1,919",98,69,657,729,130,116,390,"1,394",823,"1,843","5,392",693,321,"2,468","1,286","1,172","2,792",777,887,"4,401","5,790"
2020년02월_계_20~29세,"45,199","2,111","1,017",357,"2,478",129,151,"1,542",966,230,217,782,"1,716","1,269","2,208","6,297","1,656",626,"4,248","1,985","1,046","3,036",988,916,"4,144","5,084"
2020년02월_계_30~39세,"45,458","2,047",749,253,"5,725",97,135,876,882,189,227,571,"1,291",799,"1,485","5,491",939,442,"3,824","1,765","1,111","2,900",725,672,"4,685","7,578"
2020년02월_계_40~49세,"57,699","3,040","1,054",347,"3,793",180,184,"1,193","1,207",313,311,680,"1,840","1,215","2,587","8,040","1,060",677,"4,076","2,161","1,758","4,320","1,155","1,225","6,504","8,779"
2020년02월_계_50~59세,"60,179","3,309","1,775",764,"2,501",415,473,"1,609","1,422",799,613,"1,056","2,547","1,831","3,155","7,339","1,506",984,"5,185","2,365","1,640","4,600","1,666","1,455","5,161","6,009"
2020년02월_계_60~69세,"42,091","2,357","1,699",860,"1,627",596,537,"1,414",969,973,627,836,"1,859","1,355","2,162","4,063","1,298",946,"3,417","1,731","1,209","3,039","1,444","1,019","3,105","2,949"
2020년02월_계_70~79세,"21,549","1,414",905,502,657,420,352,694,459,582,376,492,"1,114",766,"1,068","2,053",769,563,"1,313",930,675,"1,555",872,514,"1,233","1,271"
2020년02월_계_80~89세,"11,471",725,533,392,376,255,202,418,244,325,256,279,558,373,639,965,397,297,708,433,325,839,495,291,542,604
2020년02월_계_90~99세,"1,691",107,70,44,59,39,32,56,43,45,55,31,71,58,91,135,69,51,106,60,34,109,71,60,100,95
2020년02월_계_100세 이상,103,5,4,0,4,1,3,1,0,0,5,4,5,5,1,8,7,3,10,4,3,3,9,7,5,6
2020년02월_남_총인구수,"174,222","9,285","4,605","1,992","11,403","1,162","1,124","4,687","3,859","1,870","1,517","2,588","6,303","4,316","7,753","21,288","4,342","2,537","13,299","7,221","4,940","12,522","4,202","3,712","16,383","21,312"
2020년02월_남_연령구간인구수,"174,222","9,285","4,605","1,992","11,403","1,162","1,124","4,687","3,859","1,870","1,517","2,588","6,303","4,316","7,753","21,288","4,342","2,537","13,299","7,221","4,940","12,522","4,202","3,712","16,383","21,312"
2020년02월_남_0~9세,"14,712",648,213,67,"1,933",21,27,222,223,32,38,132,356,210,397,"1,804",223,108,"1,057",577,448,"1,005",153,264,"1,788","2,766"
2020년02월_남_10~19세,"19,067",909,304,88,957,45,31,355,394,71,64,213,758,399,930,"2,801",391,163,"1,293",709,620,"1,443",422,448,"2,351","2,908"
2020년02월_남_20~29세,"23,950","1,211",607,206,"1,199",79,82,863,534,129,112,401,887,699,"1,153","3,388",804,353,"2,183","1,110",562,"1,639",542,496,"2,222","2,489"
2020년02월_남_30~39세,"23,058","1,076",424,151,"2,887",54,91,482,513,117,117,288,643,412,745,"2,769",528,243,"2,019",915,541,"1,502",434,336,"2,230","3,541"
2020년02월_남_40~49세,"28,532","1,592",571,202,"1,987",123,101,670,608,187,197,350,859,563,"1,246","3,802",532,368,"1,856","1,143",898,"2,177",587,572,"3,083","4,258"
2020년02월_남_50~59세,"30,284","1,759",966,440,"1,198",226,255,863,780,409,375,515,"1,252",875,"1,556","3,625",728,497,"2,399","1,261",869,"2,312",821,719,"2,464","3,120"
2020년02월_남_60~69세,"20,794","1,197",883,457,815,316,288,749,503,510,349,383,851,660,"1,059","1,934",608,452,"1,647",900,594,"1,481",706,517,"1,504","1,431"
2020년02월_남_70~79세,"9,462",615,430,242,295,200,162,321,223,273,165,200,489,340,450,812,347,225,585,414,282,659,357,247,556,573
2020년02월_남_80~89세,"3,958",250,190,129,118,86,80,147,75,128,82,92,194,142,198,317,158,120,240,177,118,281,160,99,170,207
2020년02월_남_90~99세,384,28,15,10,14,12,6,14,6,14,18,12,14,14,19,33,22,8,19,14,8,22,17,13,14,18
2020년02월_남_100세 이상,21,0,2,0,0,0,1,1,0,0,0,2,0,2,0,3,1,0,1,1,0,1,3,1,1,1
2020년02월_여_총인구수,"176,675","8,854","4,207","1,803","11,571","1,116","1,067","4,210","3,490","1,775","1,349","2,786","6,828","4,604","8,329","21,970","4,467","2,564","14,091","6,625","4,861","12,611","4,316","3,843","16,986","22,352"
2020년02월_여_연령구간인구수,"176,675","8,854","4,207","1,803","11,571","1,116","1,067","4,210","3,490","1,775","1,349","2,786","6,828","4,604","8,329","21,970","4,467","2,564","14,091","6,625","4,861","12,611","4,316","3,843","16,986","22,352"
2020년02월_여_0~9세,"14,117",637,212,48,"1,902",27,26,215,205,27,25,121,380,216,446,"1,671",192,83,978,549,380,935,163,245,"1,701","2,733"
2020년02월_여_10~19세,"17,561",830,277,73,962,53,38,302,335,59,52,177,636,424,913,"2,591",302,158,"1,175",577,552,"1,349",355,439,"2,050","2,882"
2020년02월_여_20~29세,"21,249",900,410,151,"1,279",50,69,679,432,101,105,381,829,570,"1,055","2,909",852,273,"2,065",875,484,"1,397",446,420,"1,922","2,595"
2020년02월_여_30~39세,"22,400",971,325,102,"2,838",43,44,394,369,72,110,283,648,387,740,"2,722",411,199,"1,805",850,570,"1,398",291,336,"2,455","4,037"
2020년02월_여_40~49세,"29,167","1,448",483,145,"1,806",57,83,523,599,126,114,330,981,652,"1,341","4,238",528,309,"2,220","1,018",860,"2,143",568,653,"3,421","4,521"
2020년02월_여_50~59세,"29,895","1,550",809,324,"1,303",189,218,746,642,390,238,541,"1,295",956,"1,599","3,714",778,487,"2,786","1,104",771,"2,288",845,736,"2,697","2,889"
2020년02월_여_60~69세,"21,297","1,160",816,403,812,280,249,665,466,463,278,453,"1,008",695,"1,103","2,129",690,494,"1,770",831,615,"1,558",738,502,"1,601","1,518"
2020년02월_여_70~79세,"12,087",799,475,260,362,220,190,373,236,309,211,292,625,426,618,"1,241",422,338,728,516,393,896,515,267,677,698
2020년02월_여_80~89세,"7,513",475,343,263,258,169,122,271,169,197,174,187,364,231,441,648,239,177,468,256,207,558,335,192,372,397
2020년02월_여_90~99세,"1,307",79,55,34,45,27,26,42,37,31,37,19,57,44,72,102,47,43,87,46,26,87,54,47,86,77
2020년02월_여_100세 이상,82,5,2,0,4,1,2,0,0,0,5,2,5,3,1,5,6,3,9,3,3,2,6,6,4,5
