,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년05월_계_총인구수,"158,820","6,472","4,157","3,074","3,619","5,288","2,832","1,835","2,126","2,915","2,742","1,771","1,900","1,654","1,776","5,166","5,111","22,407","9,319","13,544","6,538","6,415","22,154","15,655","10,350"
2020년05월_계_연령구간인구수,"158,820","6,472","4,157","3,074","3,619","5,288","2,832","1,835","2,126","2,915","2,742","1,771","1,900","1,654","1,776","5,166","5,111","22,407","9,319","13,544","6,538","6,415","22,154","15,655","10,350"
2020년05월_계_0~9세,"10,948",212,97,74,91,214,52,36,58,66,56,32,42,28,30,266,330,"1,969",687,955,423,392,"2,151","1,530","1,157"
2020년05월_계_10~19세,"13,865",297,225,102,140,259,131,71,90,115,79,52,55,49,72,358,423,"2,379",910,996,568,613,"2,646","1,689","1,546"
2020년05월_계_20~29세,"16,620",476,318,150,345,633,142,85,168,198,140,92,91,65,67,536,532,"2,997",862,"1,470",668,699,"2,782","1,868","1,236"
2020년05월_계_30~39세,"15,721",392,199,169,221,602,127,82,140,167,123,64,92,74,77,540,461,"2,596",871,"1,614",664,604,"2,619","2,061","1,162"
2020년05월_계_40~49세,"22,486",601,357,341,366,588,260,170,178,280,190,152,126,125,149,651,729,"3,630","1,413","1,910",934,887,"3,825","2,553","2,071"
2020년05월_계_50~59세,"26,718","1,127",707,572,630,823,470,298,446,536,528,311,393,299,306,842,968,"3,548","1,500","2,295","1,079","1,236","3,644","2,668","1,492"
2020년05월_계_60~69세,"24,743","1,354",867,617,822,892,622,396,455,679,659,451,461,428,440,900,818,"2,716","1,459","2,171","1,132","1,107","2,534","1,857",906
2020년05월_계_70~79세,"16,715","1,118",764,560,552,751,568,370,330,489,569,350,371,342,362,709,559,"1,616","1,023","1,410",704,610,"1,214",881,493
