,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년06월_계_총인구수,"25,255","10,666","1,274","1,489","2,522","2,627","2,274","1,464","2,939"
2021년06월_계_연령구간인구수,"25,255","10,666","1,274","1,489","2,522","2,627","2,274","1,464","2,939"
2021년06월_계_0~9세,"1,076",645,40,45,49,106,60,43,88
2021년06월_계_10~19세,"1,778","1,015",67,67,151,173,97,56,152
2021년06월_계_20~29세,"1,900","1,005",82,82,135,180,119,104,193
2021년06월_계_30~39세,"1,583",834,49,70,104,153,138,95,140
2021년06월_계_40~49세,"2,764","1,402",127,135,217,308,172,152,251
2021년06월_계_50~59세,"4,524","1,900",246,281,517,446,362,215,557
2021년06월_계_60~69세,"4,817","1,746",268,296,614,519,466,290,618
2021년06월_계_70~79세,"3,818","1,266",214,298,381,404,449,273,533
2021년06월_계_80~89세,"2,585",728,155,191,299,291,355,203,363
2021년06월_계_90~99세,394,121,25,23,53,42,54,33,43
2021년06월_계_100세 이상,16,4,1,1,2,5,2,0,1
2021년06월_남_총인구수,"12,304","5,187",648,730,"1,235","1,286","1,085",702,"1,431"
2021년06월_남_연령구간인구수,"12,304","5,187",648,730,"1,235","1,286","1,085",702,"1,431"
2021년06월_남_0~9세,527,313,24,22,23,50,27,22,46
2021년06월_남_10~19세,936,540,33,28,79,100,55,33,68
2021년06월_남_20~29세,"1,038",535,49,43,81,93,63,57,117
2021년06월_남_30~39세,836,412,26,34,64,88,84,55,73
2021년06월_남_40~49세,"1,511",709,78,86,121,167,112,83,155
2021년06월_남_50~59세,"2,521",992,144,173,288,269,208,125,322
2021년06월_남_60~69세,"2,398",861,146,148,314,252,229,139,309
2021년06월_남_70~79세,"1,605",544,85,126,158,169,188,115,220
2021년06월_남_80~89세,847,255,61,64,93,87,109,65,113
2021년06월_남_90~99세,83,26,2,6,14,9,10,8,8
2021년06월_남_100세 이상,2,0,0,0,0,2,0,0,0
2021년06월_여_총인구수,"12,951","5,479",626,759,"1,287","1,341","1,189",762,"1,508"
2021년06월_여_연령구간인구수,"12,951","5,479",626,759,"1,287","1,341","1,189",762,"1,508"
2021년06월_여_0~9세,549,332,16,23,26,56,33,21,42
2021년06월_여_10~19세,842,475,34,39,72,73,42,23,84
2021년06월_여_20~29세,862,470,33,39,54,87,56,47,76
2021년06월_여_30~39세,747,422,23,36,40,65,54,40,67
2021년06월_여_40~49세,"1,253",693,49,49,96,141,60,69,96
2021년06월_여_50~59세,"2,003",908,102,108,229,177,154,90,235
2021년06월_여_60~69세,"2,419",885,122,148,300,267,237,151,309
2021년06월_여_70~79세,"2,213",722,129,172,223,235,261,158,313
2021년06월_여_80~89세,"1,738",473,94,127,206,204,246,138,250
2021년06월_여_90~99세,311,95,23,17,39,33,44,25,35
2021년06월_여_100세 이상,14,4,1,1,2,3,2,0,1
