,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년10월_계_총인구수,"61,561","17,096","12,298","2,041","1,616","3,867","2,534","1,808","2,584","2,378","5,575","1,855","2,781","1,546","3,582"
2020년10월_계_연령구간인구수,"61,561","17,096","12,298","2,041","1,616","3,867","2,534","1,808","2,584","2,378","5,575","1,855","2,781","1,546","3,582"
2020년10월_계_0~9세,"3,316","1,371",980,65,28,102,70,42,135,60,208,39,93,34,89
2020년10월_계_10~19세,"4,144","1,572",966,113,48,168,235,61,168,71,356,58,156,51,121
2020년10월_계_20~29세,"4,955","1,767",940,118,99,261,136,94,212,180,493,83,215,100,257
2020년10월_계_30~39세,"5,193","1,900","1,212",99,100,249,155,108,193,138,418,113,195,74,239
2020년10월_계_40~49세,"7,147","2,375","1,758",139,127,382,183,141,304,216,650,146,284,134,308
2020년10월_계_50~59세,"11,015","2,876","2,160",330,294,724,421,283,448,479,"1,115",336,520,304,725
2020년10월_계_60~69세,"12,026","2,627","2,146",423,416,817,565,431,494,527,"1,180",417,640,410,933
2020년10월_계_70~79세,"8,129","1,596","1,319",406,271,675,424,389,360,397,722,371,398,259,542
2020년10월_계_80~89세,"4,959",884,725,294,209,430,310,225,236,271,387,263,240,155,330
2020년10월_계_90~99세,648,123,85,53,24,58,30,34,30,37,46,29,37,25,37
2020년10월_계_100세 이상,29,5,7,1,0,1,5,0,4,2,0,0,3,0,1
2020년10월_남_총인구수,"30,574","8,468","6,165","1,004",772,"1,974","1,207",888,"1,337","1,182","2,808",905,"1,360",770,"1,734"
2020년10월_남_연령구간인구수,"30,574","8,468","6,165","1,004",772,"1,974","1,207",888,"1,337","1,182","2,808",905,"1,360",770,"1,734"
2020년10월_남_0~9세,"1,722",707,508,28,13,51,40,26,75,33,106,23,47,18,47
2020년10월_남_10~19세,"2,238",825,525,66,36,101,101,28,100,36,206,37,77,31,69
2020년10월_남_20~29세,"2,850",982,535,71,61,170,77,58,133,110,288,55,109,59,142
2020년10월_남_30~39세,"2,851",995,632,56,59,141,92,70,107,85,246,66,119,48,135
2020년10월_남_40~49세,"3,970","1,234",982,87,74,232,115,87,184,121,360,89,152,85,168
2020년10월_남_50~59세,"5,832","1,477","1,134",172,149,437,216,164,260,276,573,184,284,137,369
2020년10월_남_60~69세,"6,027","1,260","1,059",238,211,420,282,217,249,273,601,211,320,220,466
2020년10월_남_70~79세,"3,495",701,555,178,116,279,186,165,147,160,310,157,175,130,236
2020년10월_남_80~89세,"1,477",264,221,96,47,137,86,67,78,84,111,77,72,39,98
2020년10월_남_90~99세,110,23,13,12,6,6,11,6,4,4,7,6,5,3,4
2020년10월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"30,987","8,628","6,133","1,037",844,"1,893","1,327",920,"1,247","1,196","2,767",950,"1,421",776,"1,848"
2020년10월_여_연령구간인구수,"30,987","8,628","6,133","1,037",844,"1,893","1,327",920,"1,247","1,196","2,767",950,"1,421",776,"1,848"
2020년10월_여_0~9세,"1,594",664,472,37,15,51,30,16,60,27,102,16,46,16,42
2020년10월_여_10~19세,"1,906",747,441,47,12,67,134,33,68,35,150,21,79,20,52
2020년10월_여_20~29세,"2,105",785,405,47,38,91,59,36,79,70,205,28,106,41,115
2020년10월_여_30~39세,"2,342",905,580,43,41,108,63,38,86,53,172,47,76,26,104
2020년10월_여_40~49세,"3,177","1,141",776,52,53,150,68,54,120,95,290,57,132,49,140
2020년10월_여_50~59세,"5,183","1,399","1,026",158,145,287,205,119,188,203,542,152,236,167,356
2020년10월_여_60~69세,"5,999","1,367","1,087",185,205,397,283,214,245,254,579,206,320,190,467
2020년10월_여_70~79세,"4,634",895,764,228,155,396,238,224,213,237,412,214,223,129,306
2020년10월_여_80~89세,"3,482",620,504,198,162,293,224,158,158,187,276,186,168,116,232
2020년10월_여_90~99세,538,100,72,41,18,52,19,28,26,33,39,23,32,22,33
2020년10월_여_100세 이상,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
