,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년02월_계_총인구수,"43,368","7,834","19,299","3,192","3,933","2,638","1,775","1,021","2,754",202,720
2021년02월_계_연령구간인구수,"43,368","7,834","19,299","3,192","3,933","2,638","1,775","1,021","2,754",202,720
2021년02월_계_0~9세,"2,679",681,"1,539",90,126,80,51,23,60,8,21
2021년02월_계_10~19세,"3,157",447,"1,934",171,187,147,68,50,108,10,35
2021년02월_계_20~29세,"5,321","1,225","2,420",326,460,240,141,77,329,46,57
2021년02월_계_30~39세,"4,225","1,026","2,183",193,262,173,125,66,145,13,39
2021년02월_계_40~49세,"4,932",800,"2,662",291,402,245,139,79,237,19,58
2021년02월_계_50~59세,"7,068","1,054","3,175",573,692,502,330,158,420,32,132
2021년02월_계_60~69세,"7,650","1,134","2,788",705,876,576,476,238,654,34,169
2021년02월_계_70~79세,"5,034",868,"1,551",498,556,422,261,220,505,26,127
2021년02월_계_80~89세,"2,844",512,869,311,319,234,160,98,259,12,70
2021년02월_계_90~99세,412,83,156,30,46,16,22,11,35,1,12
2021년02월_계_100세 이상,46,4,22,4,7,3,2,1,2,1,0
2021년02월_남_총인구수,"22,707","4,254","9,796","1,700","2,090","1,415",945,547,"1,477",119,364
2021년02월_남_연령구간인구수,"22,707","4,254","9,796","1,700","2,090","1,415",945,547,"1,477",119,364
2021년02월_남_0~9세,"1,373",342,799,48,55,39,29,13,30,4,14
2021년02월_남_10~19세,"1,668",246,991,92,112,86,38,32,49,4,18
2021년02월_남_20~29세,"3,382",854,"1,353",227,327,150,88,49,259,40,35
2021년02월_남_30~39세,"2,398",614,"1,177",114,163,106,71,38,87,8,20
2021년02월_남_40~49세,"2,706",454,"1,357",176,240,142,84,53,150,9,41
2021년02월_남_50~59세,"3,793",591,"1,658",309,375,279,174,89,237,18,63
2021년02월_남_60~69세,"3,953",569,"1,410",389,451,305,270,126,329,18,86
2021년02월_남_70~79세,"2,283",374,710,223,240,202,117,104,239,14,60
2021년02월_남_80~89세,"1,023",182,290,111,114,100,66,41,88,4,27
2021년02월_남_90~99세,111,28,41,9,12,5,7,1,8,0,0
2021년02월_남_100세 이상,17,0,10,2,1,1,1,1,1,0,0
2021년02월_여_총인구수,"20,661","3,580","9,503","1,492","1,843","1,223",830,474,"1,277",83,356
2021년02월_여_연령구간인구수,"20,661","3,580","9,503","1,492","1,843","1,223",830,474,"1,277",83,356
2021년02월_여_0~9세,"1,306",339,740,42,71,41,22,10,30,4,7
2021년02월_여_10~19세,"1,489",201,943,79,75,61,30,18,59,6,17
2021년02월_여_20~29세,"1,939",371,"1,067",99,133,90,53,28,70,6,22
2021년02월_여_30~39세,"1,827",412,"1,006",79,99,67,54,28,58,5,19
2021년02월_여_40~49세,"2,226",346,"1,305",115,162,103,55,26,87,10,17
2021년02월_여_50~59세,"3,275",463,"1,517",264,317,223,156,69,183,14,69
2021년02월_여_60~69세,"3,697",565,"1,378",316,425,271,206,112,325,16,83
2021년02월_여_70~79세,"2,751",494,841,275,316,220,144,116,266,12,67
2021년02월_여_80~89세,"1,821",330,579,200,205,134,94,57,171,8,43
2021년02월_여_90~99세,301,55,115,21,34,11,15,10,27,1,12
2021년02월_여_100세 이상,29,4,12,2,6,2,1,0,1,1,0
