,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년12월_계_총인구수,"60,129","16,694","11,965","1,923","1,603","3,857","2,480","1,754","2,528","2,342","5,383","1,843","2,725","1,501","3,531"
2021년12월_계_연령구간인구수,"60,129","16,694","11,965","1,923","1,603","3,857","2,480","1,754","2,528","2,342","5,383","1,843","2,725","1,501","3,531"
2021년12월_계_0~9세,"2,865","1,177",830,61,42,85,62,40,121,55,173,32,83,25,79
2021년12월_계_10~19세,"4,016","1,511",967,108,27,183,243,47,169,80,331,58,128,47,117
2021년12월_계_20~29세,"4,443","1,598",848,96,89,257,114,89,186,156,437,92,194,71,216
2021년12월_계_30~39세,"4,672","1,745","1,055",112,89,239,125,98,185,122,380,93,158,71,200
2021년12월_계_40~49세,"6,842","2,285","1,697",122,109,362,189,123,276,208,616,143,284,120,308
2021년12월_계_50~59세,"10,635","2,863","2,093",315,295,718,388,270,437,468,"1,042",312,489,278,667
2021년12월_계_60~69세,"12,791","2,858","2,295",437,426,861,594,441,515,549,"1,222",455,691,434,"1,013"
2021년12월_계_70~79세,"7,956","1,598","1,316",350,271,640,395,369,357,385,723,359,386,264,543
2021년12월_계_80~89세,"5,181",920,752,276,225,452,342,243,242,279,408,266,269,162,345
2021년12월_계_90~99세,712,138,111,45,30,60,27,33,35,38,50,33,41,29,42
2021년12월_계_100세 이상,16,1,1,1,0,0,1,1,5,2,1,0,2,0,1
2021년12월_남_총인구수,"29,948","8,279","6,016",954,752,"1,993","1,158",860,"1,309","1,183","2,711",908,"1,344",754,"1,727"
2021년12월_남_연령구간인구수,"29,948","8,279","6,016",954,752,"1,993","1,158",860,"1,309","1,183","2,711",908,"1,344",754,"1,727"
2021년12월_남_0~9세,"1,491",623,428,27,18,43,38,26,61,29,84,17,42,16,39
2021년12월_남_10~19세,"2,147",779,530,69,18,123,88,22,104,42,181,39,63,25,64
2021년12월_남_20~29세,"2,569",883,468,55,51,169,65,54,120,106,258,58,104,49,129
2021년12월_남_30~39세,"2,566",914,560,57,45,134,77,69,98,74,225,51,101,45,116
2021년12월_남_40~49세,"3,807","1,199",946,74,69,218,112,69,164,123,345,94,155,74,165
2021년12월_남_50~59세,"5,745","1,491","1,139",175,148,433,201,160,263,268,552,174,265,128,348
2021년12월_남_60~69세,"6,407","1,367","1,117",252,220,450,294,228,260,288,619,230,350,233,499
2021년12월_남_70~79세,"3,512",701,574,154,122,275,181,152,153,156,319,159,176,135,255
2021년12월_남_80~89세,"1,578",292,232,85,56,137,95,74,80,96,121,77,80,46,107
2021년12월_남_90~99세,126,30,22,6,5,11,7,6,6,1,7,9,8,3,5
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"30,181","8,415","5,949",969,851,"1,864","1,322",894,"1,219","1,159","2,672",935,"1,381",747,"1,804"
2021년12월_여_연령구간인구수,"30,181","8,415","5,949",969,851,"1,864","1,322",894,"1,219","1,159","2,672",935,"1,381",747,"1,804"
2021년12월_여_0~9세,"1,374",554,402,34,24,42,24,14,60,26,89,15,41,9,40
2021년12월_여_10~19세,"1,869",732,437,39,9,60,155,25,65,38,150,19,65,22,53
2021년12월_여_20~29세,"1,874",715,380,41,38,88,49,35,66,50,179,34,90,22,87
2021년12월_여_30~39세,"2,106",831,495,55,44,105,48,29,87,48,155,42,57,26,84
2021년12월_여_40~49세,"3,035","1,086",751,48,40,144,77,54,112,85,271,49,129,46,143
2021년12월_여_50~59세,"4,890","1,372",954,140,147,285,187,110,174,200,490,138,224,150,319
2021년12월_여_60~69세,"6,384","1,491","1,178",185,206,411,300,213,255,261,603,225,341,201,514
2021년12월_여_70~79세,"4,444",897,742,196,149,365,214,217,204,229,404,200,210,129,288
2021년12월_여_80~89세,"3,603",628,520,191,169,315,247,169,162,183,287,189,189,116,238
2021년12월_여_90~99세,586,108,89,39,25,49,20,27,29,37,43,24,33,26,37
2021년12월_여_100세 이상,16,1,1,1,0,0,1,1,5,2,1,0,2,0,1
