,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년02월_계_총인구수,"493,610","37,222","15,727","13,107","36,475","33,070","14,988","13,421","31,818","22,312","18,014","6,977","34,992","16,509","19,231","34,193","29,322","16,582","18,777","31,753","12,777","12,839","23,504"
2021년02월_계_연령구간인구수,"493,610","37,222","15,727","13,107","36,475","33,070","14,988","13,421","31,818","22,312","18,014","6,977","34,992","16,509","19,231","34,193","29,322","16,582","18,777","31,753","12,777","12,839","23,504"
2021년02월_계_0~9세,"32,295","2,318",842,612,"2,472","2,451","1,033",644,"2,711","1,198","1,205",331,"2,741",864,"1,188","2,353","2,435",842,"1,277","1,892","1,058",672,"1,156"
2021년02월_계_10~19세,"42,805","2,923","1,207",869,"2,377","2,320",879,"1,021","3,759","2,024","1,749",507,"2,947","1,262","1,466","3,563","4,212","1,095","1,705","3,316","1,037","1,015","1,552"
2021년02월_계_20~29세,"69,662","6,034","2,111","1,665","5,845","5,217","2,168","1,719","4,085","2,907","2,651",898,"4,889","2,568","2,535","4,753","3,727","2,145","2,608","4,800","1,614","1,650","3,073"
2021년02월_계_30~39세,"66,855","5,952","2,194","1,686","6,439","5,980","2,364","1,589","3,716","2,342","2,153",809,"5,185","2,175","2,703","3,907","2,977","2,048","2,494","4,040","1,777","1,400","2,925"
2021년02월_계_40~49세,"76,914","5,700","2,443","1,895","5,604","5,326","2,207","1,841","5,528","3,129","2,778","1,071","5,290","2,375","2,538","5,650","5,832","2,394","2,969","5,178","1,833","1,931","3,402"
2021년02월_계_50~59세,"89,867","6,177","2,798","2,388","6,093","5,389","2,566","2,596","5,714","4,032","3,384","1,464","6,411","3,313","3,574","6,572","5,318","2,972","3,411","6,220","2,180","2,516","4,779"
2021년02월_계_60~69세,"67,194","4,680","2,276","2,159","4,439","3,733","2,174","2,280","3,843","3,596","2,400","1,161","4,636","2,387","3,123","4,283","2,904","2,869","2,514","3,772","2,041","2,057","3,867"
2021년02월_계_70~79세,"31,520","2,191","1,281","1,199","2,160","1,751","1,015","1,123","1,656","1,920","1,050",499,"1,918","1,060","1,350","1,897","1,240","1,556","1,227","1,637",846,"1,074","1,870"
2021년02월_계_80~89세,"14,148","1,059",484,532,907,767,506,506,689,980,561,185,865,435,636,"1,032",571,587,510,772,339,448,777
2021년02월_계_90~99세,"2,145",174,80,90,123,123,66,85,110,168,82,40,104,66,114,173,103,68,54,123,47,63,89
2021년02월_계_100세 이상,205,14,11,12,16,13,10,17,7,16,1,12,6,4,4,10,3,6,8,3,5,13,14
2021년02월_남_총인구수,"243,934","17,902","7,831","6,501","18,033","16,335","7,416","6,789","15,648","10,854","8,598","3,728","17,535","8,333","9,370","16,765","14,235","8,326","9,154","15,334","6,550","6,553","12,144"
2021년02월_남_연령구간인구수,"243,934","17,902","7,831","6,501","18,033","16,335","7,416","6,789","15,648","10,854","8,598","3,728","17,535","8,333","9,370","16,765","14,235","8,326","9,154","15,334","6,550","6,553","12,144"
2021년02월_남_0~9세,"16,530","1,162",414,315,"1,268","1,231",559,347,"1,369",631,625,157,"1,439",426,590,"1,224","1,234",420,630,982,570,370,567
2021년02월_남_10~19세,"22,182","1,453",618,463,"1,246","1,165",456,531,"1,984","1,078",892,254,"1,563",705,779,"1,810","2,156",579,847,"1,672",555,542,834
2021년02월_남_20~29세,"35,812","2,886","1,108",867,"2,890","2,580","1,057",950,"2,141","1,553","1,345",504,"2,536","1,371","1,316","2,508","1,916","1,130","1,347","2,420",909,865,"1,613"
2021년02월_남_30~39세,"34,516","3,090","1,185",907,"3,339","3,191","1,197",868,"1,772","1,197","1,051",453,"2,672","1,165","1,377","2,005","1,420","1,090","1,238","1,977",944,754,"1,624"
2021년02월_남_40~49세,"38,716","2,787","1,287",994,"2,863","2,822","1,195",963,"2,682","1,553","1,297",601,"2,715","1,242","1,295","2,708","2,664","1,311","1,480","2,442",971,992,"1,852"
