,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년06월_계_총인구수,"214,779","10,987","17,077","8,739","4,558","11,269","12,875","18,692","33,384","22,774","22,208","20,329","10,893","20,994"
2021년06월_계_연령구간인구수,"214,779","10,987","17,077","8,739","4,558","11,269","12,875","18,692","33,384","22,774","22,208","20,329","10,893","20,994"
2021년06월_계_0~9세,"15,933",510,"1,316",397,208,912,411,"1,268","3,317",997,"1,434","1,964","1,296","1,903"
2021년06월_계_10~19세,"19,700",679,"1,301",584,294,"1,079",629,"1,549","3,665","1,953","2,221","1,926","1,275","2,545"
2021년06월_계_20~29세,"25,969","1,257","2,074","1,238",555,"1,476","1,530","2,220","3,722","3,099","2,873","2,177","1,314","2,434"
2021년06월_계_30~39세,"25,731","1,283","2,376","1,031",493,"1,573","1,268","2,269","4,263","2,009","2,259","2,751","1,630","2,526"
2021년06월_계_40~49세,"33,632","1,495","2,599","1,113",521,"1,772","1,545","2,729","5,914","3,265","3,240","3,398","1,821","4,220"
2021년06월_계_50~59세,"40,460","1,919","3,317","1,749",915,"2,023","2,499","3,379","5,766","5,006","4,661","3,597","1,968","3,661"
2021년06월_계_60~69세,"32,894","2,099","2,670","1,532",961,"1,489","2,841","3,153","4,376","3,846","3,581","2,971","1,068","2,307"
2021년06월_계_70~79세,"14,519","1,249","1,031",789,445,671,"1,516","1,447","1,726","1,798","1,406","1,092",366,983
2021년06월_계_80~89세,"5,306",441,346,269,152,243,585,613,551,732,471,411,134,358
2021년06월_계_90~99세,621,53,45,37,14,31,51,65,82,69,59,41,20,54
2021년06월_계_100세 이상,14,2,2,0,0,0,0,0,2,0,3,1,1,3
2021년06월_남_총인구수,"108,776","5,605","8,852","4,451","2,301","5,609","6,653","9,362","16,637","11,581","11,264","10,273","5,474","10,714"
2021년06월_남_연령구간인구수,"108,776","5,605","8,852","4,451","2,301","5,609","6,653","9,362","16,637","11,581","11,264","10,273","5,474","10,714"
2021년06월_남_0~9세,"8,207",252,667,215,123,444,225,686,"1,762",494,722,982,653,982
2021년06월_남_10~19세,"10,508",359,676,314,160,571,322,840,"1,921","1,083","1,204","1,033",677,"1,348"
2021년06월_남_20~29세,"14,485",687,"1,142",666,301,809,874,"1,229","2,103","1,781","1,632","1,221",719,"1,321"
2021년06월_남_30~39세,"13,539",724,"1,297",575,291,844,768,"1,171","2,083","1,131","1,176","1,408",777,"1,294"
2021년06월_남_40~49세,"17,182",852,"1,401",595,271,867,848,"1,392","2,897","1,610","1,596","1,798",892,"2,163"
2021년06월_남_50~59세,"20,126","1,018","1,719",861,431,970,"1,290","1,660","2,718","2,486","2,319","1,761",987,"1,906"
2021년06월_남_60~69세,"16,044","1,009","1,307",732,469,691,"1,438","1,526","2,134","1,906","1,746","1,437",544,"1,105"
2021년06월_남_70~79세,"6,711",540,507,388,199,331,658,621,818,833,679,496,164,477
2021년06월_남_80~89세,"1,877",156,132,98,53,75,220,221,192,244,184,134,56,112
2021년06월_남_90~99세,95,8,4,7,3,7,10,16,9,13,6,2,5,5
2021년06월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년06월_여_총인구수,"106,003","5,382","8,225","4,288","2,257","5,660","6,222","9,330","16,747","11,193","10,944","10,056","5,419","10,280"
2021년06월_여_연령구간인구수,"106,003","5,382","8,225","4,288","2,257","5,660","6,222","9,330","16,747","11,193","10,944","10,056","5,419","10,280"
2021년06월_여_0~9세,"7,726",258,649,182,85,468,186,582,"1,555",503,712,982,643,921
2021년06월_여_10~19세,"9,192",320,625,270,134,508,307,709,"1,744",870,"1,017",893,598,"1,197"
2021년06월_여_20~29세,"11,484",570,932,572,254,667,656,991,"1,619","1,318","1,241",956,595,"1,113"
2021년06월_여_30~39세,"12,192",559,"1,079",456,202,729,500,"1,098","2,180",878,"1,083","1,343",853,"1,232"
2021년06월_여_40~49세,"16,450",643,"1,198",518,250,905,697,"1,337","3,017","1,655","1,644","1,600",929,"2,057"
2021년06월_여_50~59세,"20,334",901,"1,598",888,484,"1,053","1,209","1,719","3,048","2,520","2,342","1,836",981,"1,755"
2021년06월_여_60~69세,"16,850","1,090","1,363",800,492,798,"1,403","1,627","2,242","1,940","1,835","1,534",524,"1,202"
2021년06월_여_70~79세,"7,808",709,524,401,246,340,858,826,908,965,727,596,202,506
2021년06월_여_80~89세,"3,429",285,214,171,99,168,365,392,359,488,287,277,78,246
2021년06월_여_90~99세,526,45,41,30,11,24,41,49,73,56,53,39,15,49
2021년06월_여_100세 이상,12,2,2,0,0,0,0,0,2,0,3,0,1,2
