,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년08월_계_총인구수,"89,665","4,872","5,836","11,321","6,435","4,284","10,184","4,226","5,680","11,184","12,178","8,860","4,605"
2020년08월_계_연령구간인구수,"89,665","4,872","5,836","11,321","6,435","4,284","10,184","4,226","5,680","11,184","12,178","8,860","4,605"
2020년08월_계_0~9세,"4,203",179,160,"1,000",215,192,417,123,194,470,398,488,367
2020년08월_계_10~19세,"5,240",275,272,705,417,319,616,245,369,659,651,442,270
2020년08월_계_20~29세,"10,677",691,637,"1,717",676,507,"1,257",377,600,"1,324","1,330","1,121",440
2020년08월_계_30~39세,"10,569",522,561,"2,335",528,396,"1,181",318,449,"1,193","1,195","1,199",692
2020년08월_계_40~49세,"12,139",709,768,"1,728",854,609,"1,324",511,732,"1,470","1,459","1,259",716
2020년08월_계_50~59세,"14,998",798,"1,035","1,583","1,056",726,"1,705",734,997,"1,893","2,192","1,637",642
2020년08월_계_60~69세,"15,940",850,"1,208","1,243","1,234",739,"1,853",820,"1,086","2,016","2,551","1,580",760
2020년08월_계_70~79세,"10,717",589,815,666,939,555,"1,250",745,848,"1,477","1,582",784,467
2020년08월_계_80~89세,"4,503",226,316,283,441,213,514,313,347,611,723,308,208
2020년08월_계_90~99세,580,28,55,53,62,23,51,38,56,58,84,34,38
2020년08월_계_100세 이상,99,5,9,8,13,5,16,2,2,13,13,8,5
2020년08월_남_총인구수,"43,942","2,433","2,884","5,561","3,128","2,086","4,874","2,119","2,715","5,426","5,983","4,471","2,262"
2020년08월_남_연령구간인구수,"43,942","2,433","2,884","5,561","3,128","2,086","4,874","2,119","2,715","5,426","5,983","4,471","2,262"
2020년08월_남_0~9세,"2,235",74,97,520,118,101,208,70,108,272,213,265,189
2020년08월_남_10~19세,"2,698",152,140,382,228,157,303,144,186,318,315,232,141
2020년08월_남_20~29세,"5,406",353,329,729,367,272,628,216,336,697,708,564,207
2020년08월_남_30~39세,"5,670",284,319,"1,206",293,219,648,189,238,623,652,634,365
2020년08월_남_40~49세,"6,475",395,427,887,449,322,688,289,389,784,799,658,388
2020년08월_남_50~59세,"7,635",426,545,811,540,361,830,410,480,932,"1,131",844,325
2020년08월_남_60~69세,"7,554",401,553,619,573,326,845,399,493,942,"1,229",786,388
2020년08월_남_70~79세,"4,542",267,346,290,386,234,537,289,358,622,678,350,185
2020년08월_남_80~89세,"1,545",70,105,99,156,86,166,102,113,222,236,124,66
2020년08월_남_90~99세,153,9,19,13,13,8,18,11,14,10,19,12,7
2020년08월_남_100세 이상,29,2,4,5,5,0,3,0,0,4,3,2,1
2020년08월_여_총인구수,"45,723","2,439","2,952","5,760","3,307","2,198","5,310","2,107","2,965","5,758","6,195","4,389","2,343"
2020년08월_여_연령구간인구수,"45,723","2,439","2,952","5,760","3,307","2,198","5,310","2,107","2,965","5,758","6,195","4,389","2,343"
2020년08월_여_0~9세,"1,968",105,63,480,97,91,209,53,86,198,185,223,178
2020년08월_여_10~19세,"2,542",123,132,323,189,162,313,101,183,341,336,210,129
2020년08월_여_20~29세,"5,271",338,308,988,309,235,629,161,264,627,622,557,233
2020년08월_여_30~39세,"4,899",238,242,"1,129",235,177,533,129,211,570,543,565,327
2020년08월_여_40~49세,"5,664",314,341,841,405,287,636,222,343,686,660,601,328
2020년08월_여_50~59세,"7,363",372,490,772,516,365,875,324,517,961,"1,061",793,317
2020년08월_여_60~69세,"8,386",449,655,624,661,413,"1,008",421,593,"1,074","1,322",794,372
2020년08월_여_70~79세,"6,175",322,469,376,553,321,713,456,490,855,904,434,282
2020년08월_여_80~89세,"2,958",156,211,184,285,127,348,211,234,389,487,184,142
2020년08월_여_90~99세,427,19,36,40,49,15,33,27,42,48,65,22,31
2020년08월_여_100세 이상,70,3,5,3,8,5,13,2,2,9,10,6,4
