카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년08월_계_총인구수,"35,838","10,465","4,409","4,700","1,824","1,563","3,237","2,514","3,491","1,644","1,991"
2021년08월_계_연령구간인구수,"35,838","10,465","4,409","4,700","1,824","1,563","3,237","2,514","3,491","1,644","1,991"
2021년08월_계_0~9세,"1,674",608,269,277,66,40,139,93,91,45,46
2021년08월_계_10~19세,"2,452",979,234,359,119,96,188,168,146,83,80
2021년08월_계_20~29세,"2,683",957,324,394,120,116,200,170,174,106,122
2021년08월_계_30~39세,"2,840",873,666,419,95,86,253,136,159,60,93
2021년08월_계_40~49세,"4,716","1,592",685,736,205,153,436,277,290,157,185
2021년08월_계_50~59세,"6,716","1,872",717,893,344,310,625,487,728,373,367
2021년08월_계_60~69세,"7,765","1,845",827,950,449,367,824,565,929,442,567
2021년08월_계_70~79세,"4,391","1,083",497,479,258,253,367,348,549,237,320
2021년08월_계_80~89세,"2,262",551,174,175,156,124,183,227,370,119,183
2021년08월_계_90~99세,321,101,16,13,12,14,21,42,53,22,27
2021년08월_계_100세 이상,18,4,0,5,0,4,1,1,2,0,1
2021년08월_남_총인구수,"18,664","5,366","2,320","2,471",940,781,"1,725","1,276","1,849",885,"1,051"
2021년08월_남_연령구간인구수,"18,664","5,366","2,320","2,471",940,781,"1,725","1,276","1,849",885,"1,051"
2021년08월_남_0~9세,865,322,139,142,35,16,69,49,42,24,27
2021년08월_남_10~19세,"1,263",515,103,185,54,55,96,83,75,48,49
2021년08월_남_20~29세,"1,563",567,178,232,73,67,118,108,96,64,60
2021년08월_남_30~39세,"1,571",444,388,214,54,55,155,75,103,30,53
2021년08월_남_40~49세,"2,732",844,425,411,122,95,267,153,187,97,131
2021년08월_남_50~59세,"3,748","1,016",404,505,197,173,337,273,414,228,201
2021년08월_남_60~69세,"4,099",975,392,491,248,187,451,287,514,246,308
2021년08월_남_70~79세,"1,978",481,229,220,99,95,166,161,262,108,157
2021년08월_남_80~89세,778,183,59,67,55,32,63,79,143,38,59
2021년08월_남_90~99세,59,18,3,0,3,3,3,8,13,2,6
2021년08월_남_100세 이상,8,1,0,4,0,3,0,0,0,0,0
2021년08월_여_총인구수,"17,174","5,099","2,089","2,229",884,782,"1,512","1,238","1,642",759,940
2021년08월_여_연령구간인구수,"17,174","5,099","2,089","2,229",884,782,"1,512","1,238","1,642",759,940
2021년08월_여_0~9세,809,286,130,135,31,24,70,44,49,21,19
2021년08월_여_10~19세,"1,189",464,131,174,65,41,92,85,71,35,31
2021년08월_여_20~29세,"1,120",390,146,162,47,49,82,62,78,42,62
2021년08월_여_30~39세,"1,269",429,278,205,41,31,98,61,56,30,40
2021년08월_여_40~49세,"1,984",748,260,325,83,58,169,124,103,60,54
2021년08월_여_50~59세,"2,968",856,313,388,147,137,288,214,314,145,166
2021년08월_여_60~69세,"3,666",870,435,459,201,180,373,278,415,196,259
2021년08월_여_70~79세,"2,413",602,268,259,159,158,201,187,287,129,163
2021년08월_여_80~89세,"1,484",368,115,108,101,92,120,148,227,81,124
2021년08월_여_90~99세,262,83,13,13,9,11,18,34,40,20,21
2021년08월_여_100세 이상,10,3,0,1,0,1,1,1,2,0,1
