,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년07월_계_총인구수,"488,525","24,362","15,296","29,537","29,047","16,881","35,357","33,370","15,200","25,866","18,177","22,583","17,978","23,356","22,611","21,979","15,436","17,255","23,589","22,745","30,816","27,084"
2021년07월_계_연령구간인구수,"488,525","24,362","15,296","29,537","29,047","16,881","35,357","33,370","15,200","25,866","18,177","22,583","17,978","23,356","22,611","21,979","15,436","17,255","23,589","22,745","30,816","27,084"
2021년07월_계_0~9세,"20,855","1,139","1,224","1,926","1,115",621,"1,222","1,973",391,"1,075",953,651,531,773,757,342,"1,151",620,677,832,"1,684","1,198"
2021년07월_계_10~19세,"27,800","1,449","1,140","2,850","1,344",838,"1,632","2,656",564,"1,525",801,816,837,"1,036","1,074",502,"1,406",831,969,"1,459","2,229","1,842"
2021년07월_계_20~29세,"108,602","4,737","1,828","3,845","7,525","5,525","11,459","5,431","4,472","5,813","3,911","6,354","4,394","5,637","5,871","8,417","1,734","3,974","6,075","2,697","4,793","4,110"
2021년07월_계_30~39세,"85,760","4,026","2,553","3,788","5,980","3,532","6,903","5,151","2,991","4,959","3,642","4,568","3,166","4,630","3,954","5,696","1,806","3,200","4,837","2,557","4,224","3,597"
2021년07월_계_40~49세,"66,636","3,345","2,438","4,921","3,581","1,985","3,980","5,143","1,716","3,486","2,285","2,762","2,205","3,172","2,851","2,458","2,904","2,274","3,534","3,166","4,594","3,836"
2021년07월_계_50~59세,"67,075","3,361","2,296","4,746","3,437","1,643","3,839","4,836","1,788","3,450","2,550","2,721","2,420","3,107","3,180","1,806","2,553","2,369","3,188","4,091","4,917","4,777"
2021년07월_계_60~69세,"59,785","3,329","1,966","3,912","3,209","1,377","3,358","4,351","1,692","2,973","2,256","2,568","2,260","2,771","2,651","1,490","2,109","2,188","2,374","4,128","4,670","4,153"
2021년07월_계_70~79세,"36,641","2,111","1,204","2,453","2,061",951,"2,151","2,730","1,098","1,848","1,298","1,517","1,509","1,569","1,624",920,"1,251","1,233","1,318","2,586","2,680","2,529"
2021년07월_계_80~89세,"13,640",758,574,976,708,369,720,982,447,662,420,569,587,585,580,308,466,504,552,"1,058",892,923
2021년07월_계_90~99세,"1,622",101,70,114,81,36,90,112,35,73,58,52,65,70,65,35,52,59,64,164,115,111
2021년07월_계_100세 이상,109,6,3,6,6,4,3,5,6,2,3,5,4,6,4,5,4,3,1,7,18,8
2021년07월_남_총인구수,"245,370","11,972","7,471","14,267","14,090","8,511","16,971","16,301","7,285","12,616","8,790","11,652","9,040","12,859","11,382","11,619","7,566","8,705","14,206","11,399","15,078","13,590"
2021년07월_남_연령구간인구수,"245,370","11,972","7,471","14,267","14,090","8,511","16,971","16,301","7,285","12,616","8,790","11,652","9,040","12,859","11,382","11,619","7,566","8,705","14,206","11,399","15,078","13,590"
2021년07월_남_0~9세,"10,697",577,650,"1,007",568,314,601,"1,038",216,559,497,339,250,392,402,168,579,310,346,443,852,589
