,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년05월_계_총인구수,"353,415","120,820","35,135","3,358","12,783","8,280","11,551","33,290","22,106","9,049","28,289","20,366","30,582","17,806"
2021년05월_계_연령구간인구수,"353,415","120,820","35,135","3,358","12,783","8,280","11,551","33,290","22,106","9,049","28,289","20,366","30,582","17,806"
2021년05월_계_0~9세,"33,860","15,767","4,735",79,514,172,454,"2,455","1,337",730,"2,240","1,387","2,376","1,614"
2021년05월_계_10~19세,"34,493","12,762","2,892",108,821,582,621,"4,159","1,767","1,001","3,259","1,790","3,173","1,558"
2021년05월_계_20~29세,"40,331","14,142","3,220",159,"1,288",807,"1,417","4,551","3,152","1,038","3,188","2,211","3,179","1,979"
2021년05월_계_30~39세,"48,272","20,793","6,245",198,"1,057",562,"1,284","3,277","2,989","1,069","3,160","2,268","3,004","2,366"
2021년05월_계_40~49세,"61,142","22,398","6,475",277,"1,596",916,"1,464","6,000","3,436","1,645","5,337","3,386","5,369","2,843"
2021년05월_계_50~59세,"58,791","17,040","4,735",587,"2,685","1,826","2,422","6,263","4,546","1,532","4,934","3,876","5,167","3,178"
2021년05월_계_60~69세,"44,775","11,325","4,206",971,"2,694","1,939","2,367","3,566","3,130","1,217","3,702","3,032","4,220","2,406"
2021년05월_계_70~79세,"21,462","4,568","1,878",625,"1,393",907,"1,033","2,075","1,159",548,"1,729","1,577","2,734","1,236"
2021년05월_계_80~89세,"9,097","1,774",652,307,634,474,429,855,514,239,657,763,"1,244",555
2021년05월_계_90~99세,"1,159",247,96,46,97,86,60,87,75,30,79,74,113,69
2021년05월_계_100세 이상,33,4,1,1,4,9,0,2,1,0,4,2,3,2
2021년05월_남_총인구수,"177,197","59,698","17,818","1,727","6,507","4,332","6,164","16,127","11,598","4,527","14,776","10,175","14,908","8,840"
2021년05월_남_연령구간인구수,"177,197","59,698","17,818","1,727","6,507","4,332","6,164","16,127","11,598","4,527","14,776","10,175","14,908","8,840"
2021년05월_남_0~9세,"17,269","8,007","2,443",44,261,90,232,"1,255",691,351,"1,148",709,"1,212",826
2021년05월_남_10~19세,"17,711","6,527","1,469",53,409,313,361,"2,169",922,464,"1,679",908,"1,635",802
2021년05월_남_20~29세,"21,656","7,026","1,734",94,762,496,838,"2,423","1,860",557,"1,841","1,224","1,729","1,072"
2021년05월_남_30~39세,"24,814","10,283","3,152",123,609,329,770,"1,607","1,733",580,"1,702","1,192","1,500","1,234"
2021년05월_남_40~49세,"31,054","11,226","3,489",167,843,486,821,"2,726","1,819",831,"2,822","1,710","2,715","1,399"
2021년05월_남_50~59세,"29,681","8,371","2,365",317,"1,399",957,"1,281","3,073","2,230",801,"2,683","2,015","2,608","1,581"
2021년05월_남_60~69세,"21,924","5,526","1,993",504,"1,384","1,049","1,200","1,651","1,651",612,"1,855","1,472","1,866","1,161"
2021년05월_남_70~79세,"9,690","2,115",927,312,600,442,484,870,525,256,792,673,"1,144",550
2021년05월_남_80~89세,"3,142",573,227,102,216,150,157,335,149,72,240,253,469,199
2021년05월_남_90~99세,253,44,19,11,24,20,20,17,18,3,13,19,29,16
2021년05월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,1,0,1,0
2021년05월_여_총인구수,"176,218","61,122","17,317","1,631","6,276","3,948","5,387","17,163","10,508","4,522","13,513","10,191","15,674","8,966"
2021년05월_여_연령구간인구수,"176,218","61,122","17,317","1,631","6,276","3,948","5,387","17,163","10,508","4,522","13,513","10,191","15,674","8,966"
2021년05월_여_0~9세,"16,591","7,760","2,292",35,253,82,222,"1,200",646,379,"1,092",678,"1,164",788
2021년05월_여_10~19세,"16,782","6,235","1,423",55,412,269,260,"1,990",845,537,"1,580",882,"1,538",756
2021년05월_여_20~29세,"18,675","7,116","1,486",65,526,311,579,"2,128","1,292",481,"1,347",987,"1,450",907
2021년05월_여_30~39세,"23,458","10,510","3,093",75,448,233,514,"1,670","1,256",489,"1,458","1,076","1,504","1,132"
2021년05월_여_40~49세,"30,088","11,172","2,986",110,753,430,643,"3,274","1,617",814,"2,515","1,676","2,654","1,444"
2021년05월_여_50~59세,"29,110","8,669","2,370",270,"1,286",869,"1,141","3,190","2,316",731,"2,251","1,861","2,559","1,597"
2021년05월_여_60~69세,"22,851","5,799","2,213",467,"1,310",890,"1,167","1,915","1,479",605,"1,847","1,560","2,354","1,245"
2021년05월_여_70~79세,"11,772","2,453",951,313,793,465,549,"1,205",634,292,937,904,"1,590",686
2021년05월_여_80~89세,"5,955","1,201",425,205,418,324,272,520,365,167,417,510,775,356
2021년05월_여_90~99세,906,203,77,35,73,66,40,70,57,27,66,55,84,53
2021년05월_여_100세 이상,30,4,1,1,4,9,0,1,1,0,3,2,2,2
