,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년04월_계_총인구수,"65,887","10,231","3,340","1,735","5,224","1,356",715,"1,888",706,678,"7,798","14,740","9,233","8,243"
2020년04월_계_연령구간인구수,"65,887","10,231","3,340","1,735","5,224","1,356",715,"1,888",706,678,"7,798","14,740","9,233","8,243"
2020년04월_계_0~9세,"4,010",354,96,39,97,31,7,52,15,22,312,"1,730",686,569
2020년04월_계_10~19세,"5,254",782,145,76,251,45,11,76,26,9,509,"1,687",862,775
2020년04월_계_20~29세,"7,404","1,907",251,121,379,68,32,93,35,28,767,"1,929","1,002",792
2020년04월_계_30~39세,"6,105",611,229,106,289,79,23,101,29,43,639,"2,148","1,019",789
2020년04월_계_40~49세,"9,109","1,140",406,186,475,155,69,215,82,77,959,"2,566","1,560","1,219"
2020년04월_계_50~59세,"11,568","1,735",631,359,"1,027",307,147,347,138,136,"1,514","2,273","1,547","1,407"
2020년04월_계_60~69세,"10,752","1,799",666,367,"1,141",356,170,410,172,144,"1,560","1,339","1,267","1,361"
2020년04월_계_70~79세,"7,195","1,260",532,301,854,188,137,329,124,130,"1,001",688,831,820
2020년04월_계_80~89세,"3,892",565,327,153,613,114,99,230,75,81,474,320,386,455
2020년04월_계_90~99세,549,63,49,27,91,13,20,34,9,7,61,56,65,54
2020년04월_계_100세 이상,49,15,8,0,7,0,0,1,1,1,2,4,8,2
2020년04월_남_총인구수,"33,402","5,118","1,742",859,"2,691",729,386,978,358,371,"3,856","7,505","4,723","4,086"
2020년04월_남_연령구간인구수,"33,402","5,118","1,742",859,"2,691",729,386,978,358,371,"3,856","7,505","4,723","4,086"
2020년04월_남_0~9세,"2,042",170,53,20,53,16,3,31,10,12,173,862,352,287
2020년04월_남_10~19세,"2,765",380,76,45,165,26,6,47,12,3,272,867,470,396
2020년04월_남_20~29세,"4,191","1,025",168,62,245,34,21,59,22,13,431,"1,108",562,441
2020년04월_남_30~39세,"3,272",315,142,67,176,52,14,55,15,27,354,"1,096",537,422
2020년04월_남_40~49세,"5,059",651,270,118,316,111,47,156,56,61,504,"1,276",838,655
2020년04월_남_50~59세,"6,128",928,369,184,584,162,96,195,77,79,742,"1,164",847,701
2020년04월_남_60~69세,"5,371",906,339,186,584,194,98,216,83,86,739,680,618,642
2020년04월_남_70~79세,"3,153",549,219,115,355,84,60,150,55,60,458,312,363,373
2020년04월_남_80~89세,"1,302",170,97,57,202,47,36,64,27,29,171,125,120,157
2020년04월_남_90~99세,107,19,6,5,10,3,5,5,1,1,12,14,15,11
2020년04월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년04월_여_총인구수,"32,485","5,113","1,598",876,"2,533",627,329,910,348,307,"3,942","7,235","4,510","4,157"
2020년04월_여_연령구간인구수,"32,485","5,113","1,598",876,"2,533",627,329,910,348,307,"3,942","7,235","4,510","4,157"
2020년04월_여_0~9세,"1,968",184,43,19,44,15,4,21,5,10,139,868,334,282
2020년04월_여_10~19세,"2,489",402,69,31,86,19,5,29,14,6,237,820,392,379
2020년04월_여_20~29세,"3,213",882,83,59,134,34,11,34,13,15,336,821,440,351
2020년04월_여_30~39세,"2,833",296,87,39,113,27,9,46,14,16,285,"1,052",482,367
2020년04월_여_40~49세,"4,050",489,136,68,159,44,22,59,26,16,455,"1,290",722,564
2020년04월_여_50~59세,"5,440",807,262,175,443,145,51,152,61,57,772,"1,109",700,706
2020년04월_여_60~69세,"5,381",893,327,181,557,162,72,194,89,58,821,659,649,719
2020년04월_여_70~79세,"4,042",711,313,186,499,104,77,179,69,70,543,376,468,447
2020년04월_여_80~89세,"2,590",395,230,96,411,67,63,166,48,52,303,195,266,298
2020년04월_여_90~99세,442,44,43,22,81,10,15,29,8,6,49,42,50,43
2020년04월_여_100세 이상,37,10,5,0,6,0,0,1,1,1,2,3,7,1
