,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년11월_계_총인구수,"386,051","32,040","11,056","44,188","28,310","24,569","28,608","31,574","22,882","27,801","24,430","14,162","14,469","38,030","23,196","20,736"
2021년11월_계_연령구간인구수,"386,051","32,040","11,056","44,188","28,310","24,569","28,608","31,574","22,882","27,801","24,430","14,162","14,469","38,030","23,196","20,736"
2021년11월_계_0~9세,"23,133","1,858",249,"2,609","2,464","1,087","1,519","2,253",761,"1,816","2,006",689,981,"2,035","1,408","1,398"
2021년11월_계_10~19세,"26,999","1,911",442,"3,113","1,946","1,585","1,830","2,148",873,"1,760","1,604",712,965,"4,001","2,374","1,735"
2021년11월_계_20~29세,"65,156","5,539","2,208","9,622","4,236","4,149","4,558","4,896","5,215","3,634","3,205","2,497","2,125","6,325","3,342","3,605"
2021년11월_계_30~39세,"60,911","5,487","1,874","5,989","4,809","4,025","4,652","4,320","4,655","4,443","3,936","2,404","2,597","5,225","3,079","3,416"
2021년11월_계_40~49세,"57,270","4,247","1,289","6,360","4,507","3,508","4,225","4,718","2,946","4,103","3,784","1,999","2,234","6,290","3,779","3,281"
2021년11월_계_50~59세,"58,069","4,707","1,683","6,330","4,157","3,869","4,442","5,180","2,973","4,388","3,536","2,019","2,205","5,965","3,733","2,882"
2021년11월_계_60~69세,"50,500","4,369","1,753","5,474","3,338","3,321","4,002","4,167","3,038","4,073","3,465","2,070","1,854","4,323","2,988","2,265"
2021년11월_계_70~79세,"29,575","2,498","1,009","3,077","1,855","2,064","2,293","2,496","1,768","2,497","2,102","1,226","1,023","2,531","1,675","1,461"
2021년11월_계_80~89세,"12,556","1,251",465,"1,381",855,863,959,"1,201",576,953,708,472,416,"1,134",705,617
2021년11월_계_90~99세,"1,754",165,73,206,135,91,124,186,73,131,81,66,65,179,104,75
2021년11월_계_100세 이상,128,8,11,27,8,7,4,9,4,3,3,8,4,22,9,1
2021년11월_남_총인구수,"186,710","16,114","5,710","21,415","13,635","11,711","13,886","15,384","10,888","13,317","11,837","6,783","6,959","18,038","11,127","9,906"
2021년11월_남_연령구간인구수,"186,710","16,114","5,710","21,415","13,635","11,711","13,886","15,384","10,888","13,317","11,837","6,783","6,959","18,038","11,127","9,906"
2021년11월_남_0~9세,"11,839",959,129,"1,325","1,263",545,797,"1,148",403,909,"1,001",373,508,"1,036",728,715
2021년11월_남_10~19세,"13,834",994,222,"1,581",989,825,971,"1,108",464,988,868,375,481,"1,946","1,123",899
2021년11월_남_20~29세,"31,441","2,933","1,143","4,883","2,015","1,908","2,201","2,556","2,243","1,720","1,516","1,146","1,010","2,952","1,599","1,616"
2021년11월_남_30~39세,"30,769","3,024","1,099","3,004","2,301","2,070","2,384","2,114","2,440","2,171","1,876","1,234","1,304","2,575","1,537","1,636"
2021년11월_남_40~49세,"28,740","2,252",723,"3,112","2,291","1,733","2,158","2,436","1,502","2,013","1,936","1,048","1,119","3,002","1,774","1,641"
2021년11월_남_50~59세,"28,012","2,299",869,"2,993","1,996","1,844","2,123","2,473","1,398","2,112","1,674",919,"1,041","2,989","1,886","1,396"
2021년11월_남_60~69세,"23,340","2,022",853,"2,540","1,553","1,516","1,867","1,961","1,341","1,835","1,630",934,854,"1,961","1,407","1,066"
2021년11월_남_70~79세,"13,121","1,099",444,"1,376",837,897,992,"1,081",805,"1,126",990,539,461,"1,076",755,643
2021년11월_남_80~89세,"5,118",482,206,540,348,352,354,456,277,411,324,198,165,438,291,276
2021년11월_남_90~99세,464,47,18,56,39,19,38,49,14,32,20,17,15,57,25,18
2021년11월_남_100세 이상,32,3,4,5,3,2,1,2,1,0,2,0,1,6,2,0
2021년11월_여_총인구수,"199,341","15,926","5,346","22,773","14,675","12,858","14,722","16,190","11,994","14,484","12,593","7,379","7,510","19,992","12,069","10,830"
2021년11월_여_연령구간인구수,"199,341","15,926","5,346","22,773","14,675","12,858","14,722","16,190","11,994","14,484","12,593","7,379","7,510","19,992","12,069","10,830"
2021년11월_여_0~9세,"11,294",899,120,"1,284","1,201",542,722,"1,105",358,907,"1,005",316,473,999,680,683
2021년11월_여_10~19세,"13,165",917,220,"1,532",957,760,859,"1,040",409,772,736,337,484,"2,055","1,251",836
2021년11월_여_20~29세,"33,715","2,606","1,065","4,739","2,221","2,241","2,357","2,340","2,972","1,914","1,689","1,351","1,115","3,373","1,743","1,989"
2021년11월_여_30~39세,"30,142","2,463",775,"2,985","2,508","1,955","2,268","2,206","2,215","2,272","2,060","1,170","1,293","2,650","1,542","1,780"
2021년11월_여_40~49세,"28,530","1,995",566,"3,248","2,216","1,775","2,067","2,282","1,444","2,090","1,848",951,"1,115","3,288","2,005","1,640"
2021년11월_여_50~59세,"30,057","2,408",814,"3,337","2,161","2,025","2,319","2,707","1,575","2,276","1,862","1,100","1,164","2,976","1,847","1,486"
2021년11월_여_60~69세,"27,160","2,347",900,"2,934","1,785","1,805","2,135","2,206","1,697","2,238","1,835","1,136","1,000","2,362","1,581","1,199"
2021년11월_여_70~79세,"16,454","1,399",565,"1,701","1,018","1,167","1,301","1,415",963,"1,371","1,112",687,562,"1,455",920,818
2021년11월_여_80~89세,"7,438",769,259,841,507,511,605,745,299,542,384,274,251,696,414,341
2021년11월_여_90~99세,"1,290",118,55,150,96,72,86,137,59,99,61,49,50,122,79,57
2021년11월_여_100세 이상,96,5,7,22,5,5,3,7,3,3,1,8,3,16,7,1
