카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년04월_계_총인구수,"77,538","33,077","10,060","2,445","3,043","3,134","1,766","2,526","6,687","2,480","4,485","3,488","4,347"
2021년04월_계_연령구간인구수,"77,538","33,077","10,060","2,445","3,043","3,134","1,766","2,526","6,687","2,480","4,485","3,488","4,347"
2021년04월_계_0~9세,"3,530","2,035",555,59,64,78,37,51,257,68,127,101,98
2021년04월_계_10~19세,"5,629","3,324",660,71,159,133,61,131,379,141,247,127,196
2021년04월_계_20~29세,"6,692","3,521","1,110",120,132,166,79,200,473,125,262,215,289
2021년04월_계_30~39세,"5,986","2,843","1,194",137,167,128,77,141,463,139,231,205,261
2021년04월_계_40~49세,"9,346","4,903","1,185",223,270,271,143,234,748,225,414,311,419
2021년04월_계_50~59세,"13,337","5,806","1,542",418,461,541,267,460,"1,305",416,759,575,787
2021년04월_계_60~69세,"15,154","5,514","1,707",590,755,688,493,595,"1,454",563,961,822,"1,012"
2021년04월_계_70~79세,"10,312","3,241","1,166",463,558,583,329,383,930,428,867,629,735
2021년04월_계_80~89세,"6,660","1,667",842,320,420,488,239,288,591,311,555,454,485
2021년04월_계_90~99세,863,214,97,41,55,56,41,40,84,62,60,49,64
2021년04월_계_100세 이상,29,9,2,3,2,2,0,3,3,2,2,0,1
2021년04월_남_총인구수,"39,005","16,450","5,082","1,265","1,540","1,548",888,"1,324","3,337","1,263","2,280","1,767","2,261"
2021년04월_남_연령구간인구수,"39,005","16,450","5,082","1,265","1,540","1,548",888,"1,324","3,337","1,263","2,280","1,767","2,261"
2021년04월_남_0~9세,"1,829","1,058",272,29,36,42,21,28,134,36,66,52,55
2021년04월_남_10~19세,"2,917","1,685",345,36,90,71,37,75,204,72,123,69,110
2021년04월_남_20~29세,"3,795","1,939",606,70,83,91,46,124,286,78,157,137,178
2021년04월_남_30~39세,"3,329","1,498",677,79,101,75,44,89,255,87,139,119,166
2021년04월_남_40~49세,"5,124","2,478",670,159,150,162,88,155,416,133,261,185,267
2021년04월_남_50~59세,"7,162","3,016",806,242,262,311,145,236,679,242,435,332,456
2021년04월_남_60~69세,"7,548","2,659",845,307,386,360,262,316,709,279,486,430,509
2021년04월_남_70~79세,"4,679","1,461",533,217,254,257,155,174,422,200,406,275,325
2021년04월_남_80~89세,"2,412",601,303,121,165,163,87,115,211,118,196,153,179
2021년04월_남_90~99세,206,53,25,4,13,16,3,11,21,18,11,15,16
2021년04월_남_100세 이상,4,2,0,1,0,0,0,1,0,0,0,0,0
2021년04월_여_총인구수,"38,533","16,627","4,978","1,180","1,503","1,586",878,"1,202","3,350","1,217","2,205","1,721","2,086"
2021년04월_여_연령구간인구수,"38,533","16,627","4,978","1,180","1,503","1,586",878,"1,202","3,350","1,217","2,205","1,721","2,086"
2021년04월_여_0~9세,"1,701",977,283,30,28,36,16,23,123,32,61,49,43
2021년04월_여_10~19세,"2,712","1,639",315,35,69,62,24,56,175,69,124,58,86
2021년04월_여_20~29세,"2,897","1,582",504,50,49,75,33,76,187,47,105,78,111
2021년04월_여_30~39세,"2,657","1,345",517,58,66,53,33,52,208,52,92,86,95
2021년04월_여_40~49세,"4,222","2,425",515,64,120,109,55,79,332,92,153,126,152
2021년04월_여_50~59세,"6,175","2,790",736,176,199,230,122,224,626,174,324,243,331
2021년04월_여_60~69세,"7,606","2,855",862,283,369,328,231,279,745,284,475,392,503
2021년04월_여_70~79세,"5,633","1,780",633,246,304,326,174,209,508,228,461,354,410
2021년04월_여_80~89세,"4,248","1,066",539,199,255,325,152,173,380,193,359,301,306
2021년04월_여_90~99세,657,161,72,37,42,40,38,29,63,44,49,34,48
2021년04월_여_100세 이상,25,7,2,2,2,2,0,2,3,2,2,0,1
