카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년03월_계_총인구수,"78,881","34,012","9,571","2,537","3,144","3,229","1,767","2,545","6,749","2,539","4,619","3,619","4,550"
2020년03월_계_연령구간인구수,"78,881","34,012","9,571","2,537","3,144","3,229","1,767","2,545","6,749","2,539","4,619","3,619","4,550"
2020년03월_계_0~9세,"3,845","2,266",531,53,80,89,41,61,275,83,141,105,120
2020년03월_계_10~19세,"5,860","3,422",654,99,161,145,62,146,413,146,257,134,221
2020년03월_계_20~29세,"7,071","3,697","1,047",146,166,200,87,201,507,141,298,257,324
2020년03월_계_30~39세,"6,396","3,202","1,035",164,202,144,90,142,486,163,259,233,276
2020년03월_계_40~49세,"9,846","5,154","1,115",246,287,298,161,250,785,244,462,356,488
2020년03월_계_50~59세,"13,969","6,058","1,586",444,500,557,293,470,"1,352",436,806,612,855
2020년03월_계_60~69세,"14,255","5,164","1,548",580,703,672,454,543,"1,366",517,941,789,978
2020년03월_계_70~79세,"10,288","3,179","1,129",466,584,580,327,399,916,445,856,646,761
2020년03월_계_80~89세,"6,507","1,657",825,300,410,493,219,288,565,307,544,437,462
2020년03월_계_90~99세,807,201,94,36,49,50,33,44,79,54,53,50,64
2020년03월_계_100세 이상,37,12,7,3,2,1,0,1,5,3,2,0,1
2020년03월_남_총인구수,"39,587","16,896","4,797","1,320","1,596","1,592",879,"1,317","3,342","1,288","2,353","1,834","2,373"
2020년03월_남_연령구간인구수,"39,587","16,896","4,797","1,320","1,596","1,592",879,"1,317","3,342","1,288","2,353","1,834","2,373"
2020년03월_남_0~9세,"1,983","1,180",260,24,45,48,21,31,145,41,68,57,63
2020년03월_남_10~19세,"3,025","1,739",339,53,93,73,29,84,213,68,130,77,127
2020년03월_남_20~29세,"3,981","2,018",581,84,106,109,47,118,285,91,188,155,199
2020년03월_남_30~39세,"3,576","1,690",589,100,121,82,54,91,264,106,163,138,178
2020년03월_남_40~49세,"5,420","2,624",615,176,169,178,103,166,435,144,286,221,303
2020년03월_남_50~59세,"7,368","3,088",834,250,269,321,149,241,692,246,453,339,486
2020년03월_남_60~69세,"7,044","2,464",751,300,356,349,247,280,670,258,464,406,499
2020년03월_남_70~79세,"4,654","1,447",510,213,268,248,155,181,414,205,397,283,333
2020년03월_남_80~89세,"2,350",596,299,114,162,168,72,112,206,113,195,147,166
2020년03월_남_90~99세,181,48,19,5,7,16,2,12,18,15,9,11,19
2020년03월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년03월_여_총인구수,"39,294","17,116","4,774","1,217","1,548","1,637",888,"1,228","3,407","1,251","2,266","1,785","2,177"
2020년03월_여_연령구간인구수,"39,294","17,116","4,774","1,217","1,548","1,637",888,"1,228","3,407","1,251","2,266","1,785","2,177"
2020년03월_여_0~9세,"1,862","1,086",271,29,35,41,20,30,130,42,73,48,57
2020년03월_여_10~19세,"2,835","1,683",315,46,68,72,33,62,200,78,127,57,94
2020년03월_여_20~29세,"3,090","1,679",466,62,60,91,40,83,222,50,110,102,125
2020년03월_여_30~39세,"2,820","1,512",446,64,81,62,36,51,222,57,96,95,98
2020년03월_여_40~49세,"4,426","2,530",500,70,118,120,58,84,350,100,176,135,185
2020년03월_여_50~59세,"6,601","2,970",752,194,231,236,144,229,660,190,353,273,369
2020년03월_여_60~69세,"7,211","2,700",797,280,347,323,207,263,696,259,477,383,479
2020년03월_여_70~79세,"5,634","1,732",619,253,316,332,172,218,502,240,459,363,428
2020년03월_여_80~89세,"4,157","1,061",526,186,248,325,147,176,359,194,349,290,296
2020년03월_여_90~99세,626,153,75,31,42,34,31,32,61,39,44,39,45
2020년03월_여_100세 이상,32,10,7,2,2,1,0,0,5,2,2,0,1
