,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년10월_계_총인구수,"64,351","18,752","19,564","2,397","6,190","2,902","3,487","5,432","1,954","2,762",911
2020년10월_계_연령구간인구수,"64,351","18,752","19,564","2,397","6,190","2,902","3,487","5,432","1,954","2,762",911
2020년10월_계_0~9세,"4,189","1,314","1,983",57,310,66,60,300,22,62,15
2020년10월_계_10~19세,"5,990","1,998","2,643",110,307,88,140,463,62,151,28
2020년10월_계_20~29세,"5,513","2,057","1,575",165,461,185,237,446,118,218,51
2020년10월_계_30~39세,"5,721","1,921","2,097",153,540,146,144,413,91,170,46
2020년10월_계_40~49세,"9,429","2,911","3,818",209,594,279,308,814,166,265,65
2020년10월_계_50~59세,"11,318","3,405","3,129",418,"1,049",566,608,"1,056",354,555,178
2020년10월_계_60~69세,"10,915","2,709","2,446",555,"1,277",712,810,931,509,697,269
2020년10월_계_70~79세,"6,691","1,464","1,230",414,901,493,676,629,363,369,152
2020년10월_계_80~89세,"4,035",853,549,282,664,327,441,334,248,244,93
2020년10월_계_90~99세,537,115,88,34,85,40,63,46,21,31,14
2020년10월_계_100세 이상,13,5,6,0,2,0,0,0,0,0,0
2020년10월_남_총인구수,"32,635","9,453","9,914","1,192","3,193","1,473","1,733","2,805","1,005","1,400",467
2020년10월_남_연령구간인구수,"32,635","9,453","9,914","1,192","3,193","1,473","1,733","2,805","1,005","1,400",467
2020년10월_남_0~9세,"2,098",678,974,26,151,29,34,161,8,27,10
2020년10월_남_10~19세,"3,181","1,093","1,386",61,172,48,70,216,33,86,16
2020년10월_남_20~29세,"3,210","1,199",872,97,288,112,144,254,78,136,30
2020년10월_남_30~39세,"2,912",967,984,86,307,89,83,221,54,92,29
2020년10월_남_40~49세,"5,125","1,505","1,958",122,380,185,195,466,113,158,43
2020년10월_남_50~59세,"6,215","1,780","1,720",229,611,332,358,603,211,275,96
2020년10월_남_60~69세,"5,652","1,344","1,246",298,683,375,412,502,263,385,144
2020년10월_남_70~79세,"2,922",607,589,181,382,199,287,277,155,175,70
2020년10월_남_80~89세,"1,206",252,162,86,195,94,138,101,87,63,28
2020년10월_남_90~99세,110,28,21,6,22,10,12,4,3,3,1
2020년10월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2020년10월_여_총인구수,"31,716","9,299","9,650","1,205","2,997","1,429","1,754","2,627",949,"1,362",444
2020년10월_여_연령구간인구수,"31,716","9,299","9,650","1,205","2,997","1,429","1,754","2,627",949,"1,362",444
2020년10월_여_0~9세,"2,091",636,"1,009",31,159,37,26,139,14,35,5
2020년10월_여_10~19세,"2,809",905,"1,257",49,135,40,70,247,29,65,12
2020년10월_여_20~29세,"2,303",858,703,68,173,73,93,192,40,82,21
2020년10월_여_30~39세,"2,809",954,"1,113",67,233,57,61,192,37,78,17
2020년10월_여_40~49세,"4,304","1,406","1,860",87,214,94,113,348,53,107,22
2020년10월_여_50~59세,"5,103","1,625","1,409",189,438,234,250,453,143,280,82
2020년10월_여_60~69세,"5,263","1,365","1,200",257,594,337,398,429,246,312,125
2020년10월_여_70~79세,"3,769",857,641,233,519,294,389,352,208,194,82
2020년10월_여_80~89세,"2,829",601,387,196,469,233,303,233,161,181,65
2020년10월_여_90~99세,427,87,67,28,63,30,51,42,18,28,13
2020년10월_여_100세 이상,9,5,4,0,0,0,0,0,0,0,0
