카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2020년05월_계_총인구수,"314,413","6,023","8,031","9,807","14,251","14,727","10,997","17,118","12,899","13,154","33,088","13,671","26,686","14,351","21,069","12,896","32,368","51,011","2,266"
2020년05월_계_연령구간인구수,"314,413","6,023","8,031","9,807","14,251","14,727","10,997","17,118","12,899","13,154","33,088","13,671","26,686","14,351","21,069","12,896","32,368","51,011","2,266"
2020년05월_계_0~9세,"25,071",292,332,417,723,922,932,977,"1,117",527,"3,043","1,105","2,541","1,081","1,637","1,139","3,223","4,992",71
2020년05월_계_10~19세,"32,134",449,544,593,962,"1,329","1,145","1,621","1,582",939,"4,225","1,259","3,275","1,183","2,003","1,553","4,322","5,049",101
2020년05월_계_20~29세,"40,742",823,"1,109","1,334","1,893","1,871","1,327","2,407","1,684","2,124","4,239","1,719","3,266","1,764","2,528","1,652","3,732","7,061",209
2020년05월_계_30~39세,"44,448",788,942,"1,217","2,036","1,869","1,373","2,051","1,728","1,782","4,069","2,413","3,151","2,667","3,090","2,155","4,178","8,701",238
2020년05월_계_40~49세,"54,232",871,"1,126","1,429","2,031","2,408","1,856","2,587","2,425","1,914","6,168","2,394","5,123","2,515","3,630","2,476","6,301","8,738",240
2020년05월_계_50~59세,"52,396","1,170","1,537","1,880","2,489","2,551","1,867","3,113","2,164","2,751","5,508","2,188","4,491","2,172","3,295","1,965","4,839","7,966",450
2020년05월_계_60~69세,"37,977",893,"1,357","1,605","2,356","2,118","1,446","2,574","1,303","1,935","3,570","1,535","2,941","1,561","2,500","1,145","3,506","5,129",503
2020년05월_계_70~79세,"18,432",491,753,946,"1,250","1,144",739,"1,234",615,774,"1,496",770,"1,277",829,"1,487",511,"1,524","2,331",261
2020년05월_계_80~89세,"7,705",211,292,338,429,452,267,480,233,347,660,258,527,494,778,266,609,895,169
2020년05월_계_90~99세,"1,135",32,35,44,64,57,38,66,46,53,101,29,87,69,113,33,117,134,17
2020년05월_계_100세 이상,141,3,4,4,18,6,7,8,2,8,9,1,7,16,8,1,17,15,7
2020년05월_남_총인구수,"155,249","3,016","3,915","4,775","6,960","7,264","5,442","8,483","6,307","6,832","16,235","6,832","13,349","6,809","9,973","6,282","15,834","25,653","1,288"
2020년05월_남_연령구간인구수,"155,249","3,016","3,915","4,775","6,960","7,264","5,442","8,483","6,307","6,832","16,235","6,832","13,349","6,809","9,973","6,282","15,834","25,653","1,288"
2020년05월_남_0~9세,"12,816",147,160,211,364,471,452,490,574,273,"1,558",562,"1,299",539,869,598,"1,632","2,577",40
2020년05월_남_10~19세,"16,516",248,275,317,462,693,583,822,805,495,"2,175",657,"1,668",611,"1,035",815,"2,227","2,565",63
2020년05월_남_20~29세,"21,309",448,575,710,"1,004","1,009",699,"1,285",868,"1,134","2,207",897,"1,772",880,"1,249",826,"1,936","3,692",118
2020년05월_남_30~39세,"22,506",441,517,644,"1,090",981,695,"1,089",831,"1,008","1,901","1,234","1,504","1,376","1,530","1,098","1,973","4,451",143
2020년05월_남_40~49세,"26,876",453,572,733,"1,009","1,232",917,"1,273","1,142","1,004","2,925","1,212","2,538","1,255","1,777","1,172","3,049","4,469",144
2020년05월_남_50~59세,"25,993",579,757,914,"1,214","1,225",935,"1,496","1,079","1,430","2,728","1,097","2,289","1,012","1,583",949,"2,410","4,022",274
2020년05월_남_60~69세,"18,136",428,604,706,"1,091",974,711,"1,246",649,994,"1,749",727,"1,493",654,"1,134",536,"1,677","2,475",288
2020년05월_남_70~79세,"8,242",199,345,403,558,505,356,583,260,346,735,356,601,322,547,200,710,"1,077",139
2020년05월_남_80~89세,"2,554",65,97,120,147,159,84,184,85,130,236,85,163,141,223,82,191,289,73
2020년05월_남_90~99세,264,8,13,15,16,13,9,13,14,15,18,5,21,14,25,6,25,30,4
2020년05월_남_100세 이상,37,0,0,2,5,2,1,2,0,3,3,0,1,5,1,0,4,6,2
2020년05월_여_총인구수,"159,164","3,007","4,116","5,032","7,291","7,463","5,555","8,635","6,592","6,322","16,853","6,839","13,337","7,542","11,096","6,614","16,534","25,358",978
2020년05월_여_연령구간인구수,"159,164","3,007","4,116","5,032","7,291","7,463","5,555","8,635","6,592","6,322","16,853","6,839","13,337","7,542","11,096","6,614","16,534","25,358",978
2020년05월_여_0~9세,"12,255",145,172,206,359,451,480,487,543,254,"1,485",543,"1,242",542,768,541,"1,591","2,415",31
2020년05월_여_10~19세,"15,618",201,269,276,500,636,562,799,777,444,"2,050",602,"1,607",572,968,738,"2,095","2,484",38
2020년05월_여_20~29세,"19,433",375,534,624,889,862,628,"1,122",816,990,"2,032",822,"1,494",884,"1,279",826,"1,796","3,369",91
2020년05월_여_30~39세,"21,942",347,425,573,946,888,678,962,897,774,"2,168","1,179","1,647","1,291","1,560","1,057","2,205","4,250",95
2020년05월_여_40~49세,"27,356",418,554,696,"1,022","1,176",939,"1,314","1,283",910,"3,243","1,182","2,585","1,260","1,853","1,304","3,252","4,269",96
2020년05월_여_50~59세,"26,403",591,780,966,"1,275","1,326",932,"1,617","1,085","1,321","2,780","1,091","2,202","1,160","1,712","1,016","2,429","3,944",176
2020년05월_여_60~69세,"19,841",465,753,899,"1,265","1,144",735,"1,328",654,941,"1,821",808,"1,448",907,"1,366",609,"1,829","2,654",215
2020년05월_여_70~79세,"10,190",292,408,543,692,639,383,651,355,428,761,414,676,507,940,311,814,"1,254",122
2020년05월_여_80~89세,"5,151",146,195,218,282,293,183,296,148,217,424,173,364,353,555,184,418,606,96
2020년05월_여_90~99세,871,24,22,29,48,44,29,53,32,38,83,24,66,55,88,27,92,104,13
2020년05월_여_100세 이상,104,3,4,2,13,4,6,6,2,5,6,1,6,11,7,1,13,9,5
