카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년11월_계_총인구수,"341,114","8,217","10,391","11,461","11,528","6,360","12,985","11,733","7,355","13,793","13,278","4,012","21,419","14,486","15,609","18,847","15,142","42,496","11,075","21,186","29,143","18,844","21,754"
2021년11월_계_연령구간인구수,"341,114","8,217","10,391","11,461","11,528","6,360","12,985","11,733","7,355","13,793","13,278","4,012","21,419","14,486","15,609","18,847","15,142","42,496","11,075","21,186","29,143","18,844","21,754"
2021년11월_계_0~9세,"24,020",392,909,"1,242",339,202,695,831,154,461,642,166,"2,125",607,780,865,701,"3,439",611,"2,265","2,347","2,921","1,326"
2021년11월_계_10~19세,"26,193",423,857,719,583,376,867,996,332,775,927,216,"2,323",863,867,"1,269",888,"3,665",617,"2,703","2,910","1,577","1,440"
2021년11월_계_20~29세,"40,612",931,969,"1,184","1,705",737,"1,514","1,464","1,276","1,729","1,660",570,"2,174","1,842","2,093","2,405","1,862","5,003","1,329","2,206","3,741","1,853","2,365"
2021년11월_계_30~39세,"43,169",900,"1,310","2,020","1,343",549,"1,440","1,425","1,075","1,361","1,458",432,"2,607","1,458","1,833","1,790","1,561","5,360","1,316","2,883","3,970","4,456","2,622"
2021년11월_계_40~49세,"50,786","1,025","1,792","1,646","1,475",781,"1,840","1,809",906,"1,612","1,857",433,"3,982","1,722","1,970","2,308","1,887","6,674","1,389","4,183","4,820","3,658","3,017"
2021년11월_계_50~59세,"56,488","1,382","1,548","1,704","2,198","1,186","2,183","2,093","1,240","2,501","2,236",706,"3,274","2,801","2,816","3,623","2,750","6,823","2,131","2,945","4,739","1,778","3,831"
2021년11월_계_60~69세,"53,589","1,485","1,444","1,554","2,103","1,307","2,180","1,657","1,244","2,762","2,383",767,"2,819","2,950","2,854","3,528","2,874","6,526","2,052","2,037","3,790","1,591","3,682"
2021년11월_계_70~79세,"30,676","1,032","1,005",932,"1,226",805,"1,464",918,749,"1,711","1,401",466,"1,441","1,540","1,603","2,003","1,781","3,288","1,110","1,329","1,945",725,"2,202"
2021년11월_계_80~89세,"13,972",579,501,418,494,387,716,487,347,811,627,227,585,643,714,965,750,"1,519",463,574,798,245,"1,122"
2021년11월_계_90~99세,"1,567",68,54,40,60,29,86,51,30,68,84,29,86,58,79,87,85,194,54,60,82,38,145
