카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년08월_계_총인구수,"41,295","6,166","4,312","5,780","13,249","3,833","3,410","2,552","1,993"
2021년08월_계_연령구간인구수,"41,295","6,166","4,312","5,780","13,249","3,833","3,410","2,552","1,993"
2021년08월_계_0~9세,"2,386",429,173,359,"1,054",143,126,64,38
2021년08월_계_10~19세,"3,709",558,300,495,"1,561",269,236,210,80
2021년08월_계_20~29세,"3,527",593,340,395,"1,373",268,288,142,128
2021년08월_계_30~39세,"3,451",573,258,478,"1,380",276,236,136,114
2021년08월_계_40~49세,"6,137",887,588,871,"2,514",474,355,261,187
2021년08월_계_50~59세,"7,075","1,073",761,908,"2,188",707,696,394,348
2021년08월_계_60~69세,"7,756","1,129","1,026","1,070","1,786",918,719,629,479
2021년08월_계_70~79세,"4,809",632,600,784,954,528,465,467,379
2021년08월_계_80~89세,"2,168",259,234,366,388,217,254,230,220
2021년08월_계_90~99세,254,31,32,47,48,28,29,19,20
2021년08월_계_100세 이상,23,2,0,7,3,5,6,0,0
2021년08월_남_총인구수,"20,936","3,082","2,184","2,970","6,702","1,929","1,691","1,342","1,036"
2021년08월_남_연령구간인구수,"20,936","3,082","2,184","2,970","6,702","1,929","1,691","1,342","1,036"
2021년08월_남_0~9세,"1,260",228,84,203,549,74,63,39,20
2021년08월_남_10~19세,"1,927",294,159,258,801,120,109,145,41
2021년08월_남_20~29세,"2,046",354,201,243,785,144,161,82,76
2021년08월_남_30~39세,"1,841",306,143,251,704,148,140,75,74
2021년08월_남_40~49세,"3,268",464,330,494,"1,262",263,195,154,106
2021년08월_남_50~59세,"3,812",535,413,525,"1,162",375,361,238,203
2021년08월_남_60~69세,"3,822",532,520,499,865,465,374,321,246
2021년08월_남_70~79세,"2,121",273,242,344,436,239,204,205,178
2021년08월_남_80~89세,779,89,88,136,130,93,78,79,86
2021년08월_남_90~99세,51,6,4,14,7,6,4,4,6
2021년08월_남_100세 이상,9,1,0,3,1,2,2,0,0
2021년08월_여_총인구수,"20,359","3,084","2,128","2,810","6,547","1,904","1,719","1,210",957
2021년08월_여_연령구간인구수,"20,359","3,084","2,128","2,810","6,547","1,904","1,719","1,210",957
2021년08월_여_0~9세,"1,126",201,89,156,505,69,63,25,18
2021년08월_여_10~19세,"1,782",264,141,237,760,149,127,65,39
2021년08월_여_20~29세,"1,481",239,139,152,588,124,127,60,52
2021년08월_여_30~39세,"1,610",267,115,227,676,128,96,61,40
2021년08월_여_40~49세,"2,869",423,258,377,"1,252",211,160,107,81
2021년08월_여_50~59세,"3,263",538,348,383,"1,026",332,335,156,145
2021년08월_여_60~69세,"3,934",597,506,571,921,453,345,308,233
2021년08월_여_70~79세,"2,688",359,358,440,518,289,261,262,201
2021년08월_여_80~89세,"1,389",170,146,230,258,124,176,151,134
2021년08월_여_90~99세,203,25,28,33,41,22,25,15,14
2021년08월_여_100세 이상,14,1,0,4,2,3,4,0,0
