,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년09월_계_총인구수,"92,027","16,686","19,589","2,871","3,001","13,005","15,662","6,828","4,500","9,885"
2021년09월_계_연령구간인구수,"92,027","16,686","19,589","2,871","3,001","13,005","15,662","6,828","4,500","9,885"
2021년09월_계_0~9세,"5,548",848,"1,186",48,58,"1,468","1,041",239,161,499
2021년09월_계_10~19세,"7,401","1,353","1,882",112,106,"1,116","1,501",394,212,725
2021년09월_계_20~29세,"9,122","1,632","2,122",140,159,"1,353","1,792",604,343,977
2021년09월_계_30~39세,"9,155","1,431","1,883",161,156,"2,293","1,639",507,291,794
2021년09월_계_40~49세,"13,344","2,215","3,180",206,214,"2,258","2,758",814,467,"1,232"
2021년09월_계_50~59세,"17,382","3,117","3,932",502,510,"1,793","3,254","1,505",880,"1,889"
2021년09월_계_60~69세,"16,365","3,272","3,063",752,862,"1,599","2,184","1,520","1,095","2,018"
2021년09월_계_70~79세,"8,111","1,734","1,408",517,514,682,895,723,585,"1,053"
2021년09월_계_80~89세,"4,857",947,811,374,357,381,530,454,393,610
2021년09월_계_90~99세,722,135,117,57,63,62,68,64,70,86
2021년09월_계_100세 이상,20,2,5,2,2,0,0,4,3,2
2021년09월_남_총인구수,"48,723","8,520","10,467","1,480","1,550","6,903","8,567","3,789","2,419","5,028"
2021년09월_남_연령구간인구수,"48,723","8,520","10,467","1,480","1,550","6,903","8,567","3,789","2,419","5,028"
2021년09월_남_0~9세,"2,891",438,621,26,27,772,542,139,86,240
2021년09월_남_10~19세,"3,853",685,"1,016",61,60,577,782,208,107,357
2021년09월_남_20~29세,"5,276",925,"1,261",85,98,707,"1,068",382,218,532
2021년09월_남_30~39세,"5,179",779,"1,073",107,88,"1,239",965,309,183,436
2021년09월_남_40~49세,"7,459","1,210","1,723",135,142,"1,247","1,517",511,291,683
2021년09월_남_50~59세,"9,642","1,639","2,225",275,272,977,"1,872",874,505,"1,003"
2021년09월_남_60~69세,"8,727","1,684","1,598",397,474,903,"1,206",847,584,"1,034"
2021년09월_남_70~79세,"3,859",801,634,245,264,330,425,352,289,519
2021년09월_남_80~89세,"1,671",323,284,138,112,139,174,152,144,205
2021년09월_남_90~99세,160,35,31,11,13,12,16,13,11,18
2021년09월_남_100세 이상,6,1,1,0,0,0,0,2,1,1
2021년09월_여_총인구수,"43,304","8,166","9,122","1,391","1,451","6,102","7,095","3,039","2,081","4,857"
2021년09월_여_연령구간인구수,"43,304","8,166","9,122","1,391","1,451","6,102","7,095","3,039","2,081","4,857"
2021년09월_여_0~9세,"2,657",410,565,22,31,696,499,100,75,259
2021년09월_여_10~19세,"3,548",668,866,51,46,539,719,186,105,368
2021년09월_여_20~29세,"3,846",707,861,55,61,646,724,222,125,445
2021년09월_여_30~39세,"3,976",652,810,54,68,"1,054",674,198,108,358
2021년09월_여_40~49세,"5,885","1,005","1,457",71,72,"1,011","1,241",303,176,549
2021년09월_여_50~59세,"7,740","1,478","1,707",227,238,816,"1,382",631,375,886
2021년09월_여_60~69세,"7,638","1,588","1,465",355,388,696,978,673,511,984
2021년09월_여_70~79세,"4,252",933,774,272,250,352,470,371,296,534
2021년09월_여_80~89세,"3,186",624,527,236,245,242,356,302,249,405
2021년09월_여_90~99세,562,100,86,46,50,50,52,51,59,68
2021년09월_여_100세 이상,14,1,4,2,2,0,0,2,2,1
