카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년12월_계_총인구수,"82,665","4,522","3,771","6,246","9,743","21,208","29,540","4,514","3,121"
2020년12월_계_연령구간인구수,"82,665","4,522","3,771","6,246","9,743","21,208","29,540","4,514","3,121"
2020년12월_계_0~9세,"5,859",168,244,233,551,"1,358","2,998",237,70
2020년12월_계_10~19세,"7,478",255,271,454,893,"2,209","3,028",249,119
2020년12월_계_20~29세,"9,018",434,324,635,"1,105","2,366","3,520",379,255
2020년12월_계_30~39세,"9,199",398,366,459,999,"2,153","4,098",504,222
2020년12월_계_40~49세,"12,482",517,505,774,"1,406","3,396","5,012",545,327
2020년12월_계_50~59세,"15,176",910,741,"1,286","1,751","3,996","4,966",864,662
2020년12월_계_60~69세,"12,798","1,022",672,"1,236","1,706","3,177","3,378",870,737
2020년12월_계_70~79세,"6,804",535,428,710,849,"1,622","1,680",504,476
2020년12월_계_80~89세,"3,202",237,188,374,394,782,729,289,209
2020년12월_계_90~99세,617,43,30,80,85,145,125,68,41
2020년12월_계_100세 이상,32,3,2,5,4,4,6,5,3
2020년12월_남_총인구수,"40,965","2,344","1,903","3,069","4,800","10,526","14,450","2,269","1,604"
2020년12월_남_연령구간인구수,"40,965","2,344","1,903","3,069","4,800","10,526","14,450","2,269","1,604"
2020년12월_남_0~9세,"2,981",85,136,130,283,669,"1,519",126,33
2020년12월_남_10~19세,"3,863",144,145,229,476,"1,122","1,547",127,73
2020년12월_남_20~29세,"5,094",272,171,377,624,"1,352","1,931",218,149
2020년12월_남_30~39세,"4,928",225,194,276,549,"1,152","2,107",288,137
2020년12월_남_40~49세,"6,211",291,275,399,713,"1,651","2,413",292,177
2020년12월_남_50~59세,"7,492",478,385,606,833,"1,985","2,387",467,351
2020년12월_남_60~69세,"6,188",507,317,601,824,"1,591","1,543",438,367
2020년12월_남_70~79세,"2,977",249,211,303,347,721,719,206,221
2020년12월_남_80~89세,"1,091",85,61,135,131,250,254,88,87
2020년12월_남_90~99세,127,6,8,11,18,33,27,16,8
2020년12월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년12월_여_총인구수,"41,700","2,178","1,868","3,177","4,943","10,682","15,090","2,245","1,517"
2020년12월_여_연령구간인구수,"41,700","2,178","1,868","3,177","4,943","10,682","15,090","2,245","1,517"
2020년12월_여_0~9세,"2,878",83,108,103,268,689,"1,479",111,37
2020년12월_여_10~19세,"3,615",111,126,225,417,"1,087","1,481",122,46
2020년12월_여_20~29세,"3,924",162,153,258,481,"1,014","1,589",161,106
2020년12월_여_30~39세,"4,271",173,172,183,450,"1,001","1,991",216,85
2020년12월_여_40~49세,"6,271",226,230,375,693,"1,745","2,599",253,150
2020년12월_여_50~59세,"7,684",432,356,680,918,"2,011","2,579",397,311
2020년12월_여_60~69세,"6,610",515,355,635,882,"1,586","1,835",432,370
2020년12월_여_70~79세,"3,827",286,217,407,502,901,961,298,255
2020년12월_여_80~89세,"2,111",152,127,239,263,532,475,201,122
2020년12월_여_90~99세,490,37,22,69,67,112,98,52,33
2020년12월_여_100세 이상,19,1,2,3,2,4,3,2,2
