,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년12월_계_총인구수,"41,891","7,213","1,120","10,145","1,575","2,159","3,858","2,238","4,513","2,061","3,273","3,736"
2021년12월_계_연령구간인구수,"41,891","7,213","1,120","10,145","1,575","2,159","3,858","2,238","4,513","2,061","3,273","3,736"
2021년12월_계_0~9세,"1,412",453,41,396,41,51,113,56,124,26,58,53
2021년12월_계_10~19세,"2,233",660,28,708,45,73,148,63,271,39,91,107
2021년12월_계_20~29세,"2,582",565,57,790,66,107,193,108,243,114,164,175
2021년12월_계_30~39세,"2,575",622,82,766,72,109,243,101,237,93,110,140
2021년12월_계_40~49세,"4,283","1,019",99,"1,283",134,154,328,151,434,155,262,264
2021년12월_계_50~59세,"7,091","1,182",161,"1,766",231,344,641,426,753,417,556,614
2021년12월_계_60~69세,"9,963","1,349",277,"2,181",447,529,"1,015",616,"1,095",550,856,"1,048"
2021년12월_계_70~79세,"6,674",787,195,"1,365",332,453,635,402,796,327,653,729
2021년12월_계_80~89세,"4,417",500,156,784,183,285,469,281,473,304,453,529
2021년12월_계_90~99세,652,75,24,104,24,53,72,34,86,36,68,76
2021년12월_계_100세 이상,9,1,0,2,0,1,1,0,1,0,2,1
2021년12월_남_총인구수,"20,598","3,530",564,"4,961",762,"1,028","1,894","1,103","2,199","1,026","1,659","1,872"
2021년12월_남_연령구간인구수,"20,598","3,530",564,"4,961",762,"1,028","1,894","1,103","2,199","1,026","1,659","1,872"
2021년12월_남_0~9세,722,235,20,190,17,30,58,31,62,16,33,30
2021년12월_남_10~19세,"1,137",329,17,359,25,37,66,25,145,28,52,54
2021년12월_남_20~29세,"1,505",325,31,442,42,66,121,67,131,73,96,111
2021년12월_남_30~39세,"1,395",314,46,422,39,53,133,51,121,53,72,91
2021년12월_남_40~49세,"2,376",525,66,679,86,95,196,75,237,80,170,167
2021년12월_남_50~59세,"3,766",606,90,911,120,176,350,228,397,230,321,337
2021년12월_남_60~69세,"5,080",662,141,"1,095",221,277,514,334,549,309,435,543
2021년12월_남_70~79세,"3,071",353,91,602,150,195,292,179,395,138,318,358
2021년12월_남_80~89세,"1,412",164,56,242,57,87,150,110,144,89,145,168
2021년12월_남_90~99세,134,17,6,19,5,12,14,3,18,10,17,13
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"21,293","3,683",556,"5,184",813,"1,131","1,964","1,135","2,314","1,035","1,614","1,864"
2021년12월_여_연령구간인구수,"21,293","3,683",556,"5,184",813,"1,131","1,964","1,135","2,314","1,035","1,614","1,864"
2021년12월_여_0~9세,690,218,21,206,24,21,55,25,62,10,25,23
2021년12월_여_10~19세,"1,096",331,11,349,20,36,82,38,126,11,39,53
2021년12월_여_20~29세,"1,077",240,26,348,24,41,72,41,112,41,68,64
2021년12월_여_30~39세,"1,180",308,36,344,33,56,110,50,116,40,38,49
2021년12월_여_40~49세,"1,907",494,33,604,48,59,132,76,197,75,92,97
2021년12월_여_50~59세,"3,325",576,71,855,111,168,291,198,356,187,235,277
2021년12월_여_60~69세,"4,883",687,136,"1,086",226,252,501,282,546,241,421,505
2021년12월_여_70~79세,"3,603",434,104,763,182,258,343,223,401,189,335,371
2021년12월_여_80~89세,"3,005",336,100,542,126,198,319,171,329,215,308,361
2021년12월_여_90~99세,518,58,18,85,19,41,58,31,68,26,51,63
2021년12월_여_100세 이상,9,1,0,2,0,1,1,0,1,0,2,1
