,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년02월_계_총인구수,"112,809","11,030","4,166","8,753","9,000","7,230","5,191","6,660","18,344","28,553","3,538","10,344"
2021년02월_계_연령구간인구수,"112,809","11,030","4,166","8,753","9,000","7,230","5,191","6,660","18,344","28,553","3,538","10,344"
2021년02월_계_0~9세,"5,032",418,183,384,212,352,146,346,"1,007","1,470",176,338
2021년02월_계_10~19세,"7,323",539,247,557,471,419,261,442,"1,454","2,217",170,546
2021년02월_계_20~29세,"11,881","1,058",434,896,797,729,489,605,"1,930","3,450",608,885
2021년02월_계_30~39세,"10,474","1,062",388,811,634,722,371,634,"1,793","2,836",341,882
2021년02월_계_40~49세,"15,038","1,451",537,"1,104","1,085",974,671,972,"2,610","3,969",441,"1,224"
2021년02월_계_50~59세,"19,374","1,937",706,"1,488","1,641","1,172",914,"1,052","3,196","4,986",486,"1,796"
2021년02월_계_60~69세,"22,268","2,276",860,"1,707","1,865","1,456","1,056","1,266","3,438","5,259",664,"2,421"
2021년02월_계_70~79세,"14,562","1,550",551,"1,202","1,510",890,895,906,"2,005","3,032",472,"1,549"
2021년02월_계_80~89세,"5,970",635,227,517,697,427,355,363,794,"1,173",154,628
2021년02월_계_90~99세,751,95,23,74,75,59,26,61,102,145,24,67
2021년02월_계_100세 이상,136,9,10,13,13,30,7,13,15,16,2,8
2021년02월_남_총인구수,"55,571","5,490","2,011","4,245","4,512","3,551","2,575","3,237","9,131","13,923","1,870","5,026"
2021년02월_남_연령구간인구수,"55,571","5,490","2,011","4,245","4,512","3,551","2,575","3,237","9,131","13,923","1,870","5,026"
2021년02월_남_0~9세,"2,547",209,98,202,120,181,67,176,502,727,97,168
2021년02월_남_10~19세,"3,773",277,134,295,243,208,140,234,764,"1,125",80,273
2021년02월_남_20~29세,"6,533",544,234,499,433,381,272,319,"1,063","1,907",383,498
2021년02월_남_30~39세,"5,647",575,204,427,372,395,224,327,976,"1,480",194,473
2021년02월_남_40~49세,"7,862",802,275,536,621,522,378,502,"1,333","1,965",259,669
2021년02월_남_50~59세,"9,896","1,075",343,734,924,611,491,544,"1,615","2,382",262,915
2021년02월_남_60~69세,"10,677","1,099",387,814,911,696,479,591,"1,645","2,540",324,"1,191"
2021년02월_남_70~79세,"6,330",663,235,527,615,387,371,398,923,"1,363",208,640
2021년02월_남_80~89세,"2,116",229,93,189,257,150,141,128,286,401,54,188
2021년02월_남_90~99세,157,15,4,19,11,16,8,15,19,32,8,10
2021년02월_남_100세 이상,33,2,4,3,5,4,4,3,5,1,1,1
2021년02월_여_총인구수,"57,238","5,540","2,155","4,508","4,488","3,679","2,616","3,423","9,213","14,630","1,668","5,318"
2021년02월_여_연령구간인구수,"57,238","5,540","2,155","4,508","4,488","3,679","2,616","3,423","9,213","14,630","1,668","5,318"
2021년02월_여_0~9세,"2,485",209,85,182,92,171,79,170,505,743,79,170
2021년02월_여_10~19세,"3,550",262,113,262,228,211,121,208,690,"1,092",90,273
2021년02월_여_20~29세,"5,348",514,200,397,364,348,217,286,867,"1,543",225,387
2021년02월_여_30~39세,"4,827",487,184,384,262,327,147,307,817,"1,356",147,409
2021년02월_여_40~49세,"7,176",649,262,568,464,452,293,470,"1,277","2,004",182,555
2021년02월_여_50~59세,"9,478",862,363,754,717,561,423,508,"1,581","2,604",224,881
2021년02월_여_60~69세,"11,591","1,177",473,893,954,760,577,675,"1,793","2,719",340,"1,230"
2021년02월_여_70~79세,"8,232",887,316,675,895,503,524,508,"1,082","1,669",264,909
2021년02월_여_80~89세,"3,854",406,134,328,440,277,214,235,508,772,100,440
2021년02월_여_90~99세,594,80,19,55,64,43,18,46,83,113,16,57
2021년02월_여_100세 이상,103,7,6,10,8,26,3,10,10,15,1,7
