카테고리,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년09월_계_총인구수,"32,522","14,895","1,905","1,480","2,227","1,672","2,318","1,949",767,"1,788","1,727","1,794"
2020년09월_계_연령구간인구수,"32,522","14,895","1,905","1,480","2,227","1,672","2,318","1,949",767,"1,788","1,727","1,794"
2020년09월_계_0~9세,"1,480","1,026",34,74,48,27,61,52,23,59,33,43
2020년09월_계_10~19세,"2,142","1,338",84,82,95,56,147,95,24,67,72,82
2020년09월_계_20~29세,"2,399","1,407",113,106,92,87,159,111,27,89,109,99
2020년09월_계_30~39세,"2,258","1,330",88,143,100,72,158,101,25,64,88,89
2020년09월_계_40~49세,"3,366","1,936",171,165,164,113,201,168,58,122,116,152
2020년09월_계_50~59세,"5,942","2,669",398,256,398,265,401,348,141,346,355,365
2020년09월_계_60~69세,"6,724","2,506",476,266,555,420,507,495,233,442,394,430
2020년09월_계_70~79세,"4,561","1,543",337,206,431,342,384,296,138,313,298,273
2020년09월_계_80~89세,"3,129",988,163,154,298,258,278,232,85,243,212,218
2020년09월_계_90~99세,494,141,38,26,44,29,21,50,13,42,49,41
2020년09월_계_100세 이상,27,11,3,2,2,3,1,1,0,1,1,2
2020년09월_남_총인구수,"16,359","7,424",979,771,"1,073",813,"1,181",976,410,895,886,951
2020년09월_남_연령구간인구수,"16,359","7,424",979,771,"1,073",813,"1,181",976,410,895,886,951
2020년09월_남_0~9세,764,519,19,37,23,17,30,27,14,31,17,30
2020년09월_남_10~19세,"1,142",722,41,35,51,31,81,47,14,34,42,44
2020년09월_남_20~29세,"1,413",803,70,72,51,51,104,61,12,59,64,66
2020년09월_남_30~39세,"1,242",665,58,97,57,45,108,61,12,34,51,54
2020년09월_남_40~49세,"1,896","1,026",107,96,105,71,120,98,35,86,69,83
2020년09월_남_50~59세,"3,266","1,416",212,150,213,155,221,195,86,197,212,209
2020년09월_남_60~69세,"3,439","1,240",256,131,276,196,254,270,130,227,215,244
2020년09월_남_70~79세,"2,021",671,141,93,187,148,161,136,74,142,129,139
2020년09월_남_80~89세,"1,067",331,68,53,98,89,99,78,33,76,71,71
2020년09월_남_90~99세,108,31,6,7,12,10,3,3,0,9,16,11
2020년09월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"16,163","7,471",926,709,"1,154",859,"1,137",973,357,893,841,843
2020년09월_여_연령구간인구수,"16,163","7,471",926,709,"1,154",859,"1,137",973,357,893,841,843
2020년09월_여_0~9세,716,507,15,37,25,10,31,25,9,28,16,13
2020년09월_여_10~19세,"1,000",616,43,47,44,25,66,48,10,33,30,38
2020년09월_여_20~29세,986,604,43,34,41,36,55,50,15,30,45,33
2020년09월_여_30~39세,"1,016",665,30,46,43,27,50,40,13,30,37,35
2020년09월_여_40~49세,"1,470",910,64,69,59,42,81,70,23,36,47,69
2020년09월_여_50~59세,"2,676","1,253",186,106,185,110,180,153,55,149,143,156
2020년09월_여_60~69세,"3,285","1,266",220,135,279,224,253,225,103,215,179,186
2020년09월_여_70~79세,"2,540",872,196,113,244,194,223,160,64,171,169,134
2020년09월_여_80~89세,"2,062",657,95,101,200,169,179,154,52,167,141,147
2020년09월_여_90~99세,386,110,32,19,32,19,18,47,13,33,33,30
2020년09월_여_100세 이상,26,11,2,2,2,3,1,1,0,1,1,2
