카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년10월_계_총인구수,"165,862","8,471","9,899","16,717","9,733","9,306","9,802","6,160","7,711","10,129","7,897","8,017","9,941","18,097","1,755","4,388","20,188","7,651"
2021년10월_계_연령구간인구수,"165,862","8,471","9,899","16,717","9,733","9,306","9,802","6,160","7,711","10,129","7,897","8,017","9,941","18,097","1,755","4,388","20,188","7,651"
2021년10월_계_0~9세,"6,937",289,302,674,273,271,349,172,217,365,289,570,335,"1,198",63,107,"1,200",263
2021년10월_계_10~19세,"10,232",475,484,"1,150",626,463,564,303,456,518,459,592,546,"1,235",102,257,"1,634",368
2021년10월_계_20~29세,"20,334","1,297","1,228","2,336","1,111",972,"1,196",640,949,"1,158","1,005",855,"1,221","2,182",207,518,"2,544",915
2021년10월_계_30~39세,"16,875",925,940,"1,959",865,780,930,565,674,"1,009",734,918,976,"2,198",175,422,"2,115",690
2021년10월_계_40~49세,"21,567","1,022","1,206","2,168","1,259","1,069","1,237",707,965,"1,242",984,"1,191","1,246","2,631",230,508,"2,894","1,008"
2021년10월_계_50~59세,"32,573","1,604","1,915","2,982","2,057","1,800","2,003","1,257","1,601","2,149","1,586","1,420","2,074","3,426",349,950,"3,869","1,531"
2021년10월_계_60~69세,"32,058","1,580","2,010","3,095","1,905","1,954","1,984","1,284","1,572","2,066","1,570","1,459","2,027","3,094",366,976,"3,628","1,488"
2021년10월_계_70~79세,"17,214",866,"1,200","1,606","1,118","1,324","1,052",845,850,"1,139",828,716,"1,038","1,479",183,443,"1,601",926
2021년10월_계_80~89세,"7,288",376,569,667,476,613,448,360,381,442,405,274,428,570,74,182,606,417
2021년10월_계_90~99세,753,34,45,79,43,58,39,27,39,39,35,22,50,81,2,25,91,44
2021년10월_계_100세 이상,31,3,0,1,0,2,0,0,7,2,2,0,0,3,4,0,6,1
2021년10월_남_총인구수,"82,929","4,180","4,779","8,085","4,962","4,618","4,797","3,128","3,800","5,378","3,974","3,921","5,007","8,990",929,"2,341","10,158","3,882"
2021년10월_남_연령구간인구수,"82,929","4,180","4,779","8,085","4,962","4,618","4,797","3,128","3,800","5,378","3,974","3,921","5,007","8,990",929,"2,341","10,158","3,882"
2021년10월_남_0~9세,"3,578",158,155,336,136,147,172,92,119,193,139,290,178,609,35,51,648,120
2021년10월_남_10~19세,"5,309",266,258,594,332,253,293,151,245,255,238,287,304,621,58,134,848,172
2021년10월_남_20~29세,"11,120",680,625,"1,253",651,534,637,353,536,666,578,456,647,"1,180",127,297,"1,389",511
2021년10월_남_30~39세,"9,587",523,545,"1,099",496,450,544,333,389,580,431,497,571,"1,197",96,266,"1,171",399
2021년10월_남_40~49세,"11,625",547,677,"1,083",709,623,671,398,483,756,548,600,688,"1,372",129,304,"1,453",584
2021년10월_남_50~59세,"16,437",740,955,"1,355","1,085",943,981,696,819,"1,205",825,692,"1,037","1,677",180,515,"1,921",811
2021년10월_남_60~69세,"15,056",725,896,"1,382",920,930,883,600,706,"1,051",741,681,979,"1,451",179,502,"1,727",703
2021년10월_남_70~79세,"7,529",400,473,724,463,528,463,363,349,512,337,311,453,678,89,205,767,414
2021년10월_남_80~89세,"2,560",133,187,240,166,201,146,136,143,157,134,104,144,194,34,62,218,161
2021년10월_남_90~99세,123,8,8,18,4,9,7,6,9,3,3,3,6,11,1,5,15,7
2021년10월_남_100세 이상,5,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0
2021년10월_여_총인구수,"82,933","4,291","5,120","8,632","4,771","4,688","5,005","3,032","3,911","4,751","3,923","4,096","4,934","9,107",826,"2,047","10,030","3,769"
2021년10월_여_연령구간인구수,"82,933","4,291","5,120","8,632","4,771","4,688","5,005","3,032","3,911","4,751","3,923","4,096","4,934","9,107",826,"2,047","10,030","3,769"
2021년10월_여_0~9세,"3,359",131,147,338,137,124,177,80,98,172,150,280,157,589,28,56,552,143
2021년10월_여_10~19세,"4,923",209,226,556,294,210,271,152,211,263,221,305,242,614,44,123,786,196
2021년10월_여_20~29세,"9,214",617,603,"1,083",460,438,559,287,413,492,427,399,574,"1,002",80,221,"1,155",404
2021년10월_여_30~39세,"7,288",402,395,860,369,330,386,232,285,429,303,421,405,"1,001",79,156,944,291
2021년10월_여_40~49세,"9,942",475,529,"1,085",550,446,566,309,482,486,436,591,558,"1,259",101,204,"1,441",424
2021년10월_여_50~59세,"16,136",864,960,"1,627",972,857,"1,022",561,782,944,761,728,"1,037","1,749",169,435,"1,948",720
2021년10월_여_60~69세,"17,002",855,"1,114","1,713",985,"1,024","1,101",684,866,"1,015",829,778,"1,048","1,643",187,474,"1,901",785
2021년10월_여_70~79세,"9,685",466,727,882,655,796,589,482,501,627,491,405,585,801,94,238,834,512
2021년10월_여_80~89세,"4,728",243,382,427,310,412,302,224,238,285,271,170,284,376,40,120,388,256
2021년10월_여_90~99세,630,26,37,61,39,49,32,21,30,36,32,19,44,70,1,20,76,37
2021년10월_여_100세 이상,26,3,0,0,0,2,0,0,5,2,2,0,0,3,3,0,5,1
