,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년08월_계_총인구수,"224,977","16,985","9,564","7,324","19,597","15,979","13,827","10,119","11,959","21,721","26,763","8,393","6,483","9,068","20,541","13,072","13,582"
2021년08월_계_연령구간인구수,"224,977","16,985","9,564","7,324","19,597","15,979","13,827","10,119","11,959","21,721","26,763","8,393","6,483","9,068","20,541","13,072","13,582"
2021년08월_계_0~9세,"12,951",898,327,181,663,"1,270",881,746,715,"1,227","2,560",527,227,402,"1,135",763,429
2021년08월_계_10~19세,"14,952","1,187",495,255,"1,104",899,"1,199",698,759,979,"2,807",503,257,470,"1,151","1,443",746
2021년08월_계_20~29세,"33,358","2,473","1,497",924,"4,263","2,504","1,866","1,548","1,789","3,780","2,812",879,"1,079","1,405","2,670","1,752","2,117"
2021년08월_계_30~39세,"37,874","2,770","1,691","1,025","3,166","3,610","2,103","1,868","1,978","4,742","3,372","1,375","1,110","1,655","3,835","1,489","2,085"
2021년08월_계_40~49세,"34,343","2,647","1,307","1,038","2,643","2,618","2,202","1,540","1,748","2,858","4,621","1,225",850,"1,385","3,322","2,363","1,976"
2021년08월_계_50~59세,"36,306","2,757","1,395","1,581","3,073","2,208","2,262","1,598","1,980","3,435","4,468","1,348","1,032","1,270","3,206","2,275","2,418"
2021년08월_계_60~69세,"29,023","2,252","1,426","1,355","2,453","1,657","1,758","1,081","1,560","2,618","3,002","1,369",998,"1,188","2,798","1,506","2,002"
2021년08월_계_70~79세,"16,211","1,285",899,636,"1,459",807,974,649,962,"1,302","1,685",734,526,800,"1,545",771,"1,177"
2021년08월_계_80~89세,"8,485",603,447,275,678,350,520,337,403,667,"1,205",365,325,425,721,610,554
2021년08월_계_90~99세,"1,379",102,77,43,92,50,59,49,62,106,225,66,72,65,141,97,73
2021년08월_계_100세 이상,95,11,3,11,3,6,3,5,3,7,6,2,7,3,17,3,5
2021년08월_남_총인구수,"108,220","8,285","4,622","4,461","9,183","7,617","6,510","4,787","5,724","10,304","12,549","3,934","3,159","4,182","9,906","6,242","6,755"
2021년08월_남_연령구간인구수,"108,220","8,285","4,622","4,461","9,183","7,617","6,510","4,787","5,724","10,304","12,549","3,934","3,159","4,182","9,906","6,242","6,755"
2021년08월_남_0~9세,"6,661",466,167,92,333,634,433,386,354,643,"1,348",269,109,201,607,386,233
2021년08월_남_10~19세,"7,557",644,252,148,583,474,491,362,394,516,"1,415",238,127,215,560,718,420
2021년08월_남_20~29세,"15,701","1,249",785,428,"1,683","1,040",871,711,866,"1,578","1,375",443,570,689,"1,365",860,"1,188"
2021년08월_남_30~39세,"18,791","1,438",883,564,"1,699","1,717","1,047",906,973,"2,247","1,481",684,596,812,"1,851",737,"1,156"
2021년08월_남_40~49세,"16,910","1,292",677,652,"1,330","1,327","1,091",736,866,"1,388","2,084",612,428,664,"1,660","1,102","1,001"
2021년08월_남_50~59세,"17,927","1,359",653,"1,104","1,521","1,099","1,104",763,977,"1,663","2,147",631,496,574,"1,541","1,125","1,170"
2021년08월_남_60~69세,"13,972","1,056",633,950,"1,148",806,843,503,715,"1,344","1,455",607,471,510,"1,308",748,875
2021년08월_남_70~79세,"7,094",554,401,367,598,362,440,275,404,604,706,322,219,341,684,312,505
2021년08월_남_80~89세,"3,165",199,152,139,266,144,174,125,160,280,455,116,122,154,282,216,181
2021년08월_남_90~99세,415,26,17,13,21,13,16,19,14,39,81,12,20,22,40,37,25
2021년08월_남_100세 이상,27,2,2,4,1,1,0,1,1,2,2,0,1,0,8,1,1
2021년08월_여_총인구수,"116,757","8,700","4,942","2,863","10,414","8,362","7,317","5,332","6,235","11,417","14,214","4,459","3,324","4,886","10,635","6,830","6,827"
2021년08월_여_연령구간인구수,"116,757","8,700","4,942","2,863","10,414","8,362","7,317","5,332","6,235","11,417","14,214","4,459","3,324","4,886","10,635","6,830","6,827"
2021년08월_여_0~9세,"6,290",432,160,89,330,636,448,360,361,584,"1,212",258,118,201,528,377,196
2021년08월_여_10~19세,"7,395",543,243,107,521,425,708,336,365,463,"1,392",265,130,255,591,725,326
2021년08월_여_20~29세,"17,657","1,224",712,496,"2,580","1,464",995,837,923,"2,202","1,437",436,509,716,"1,305",892,929
2021년08월_여_30~39세,"19,083","1,332",808,461,"1,467","1,893","1,056",962,"1,005","2,495","1,891",691,514,843,"1,984",752,929
2021년08월_여_40~49세,"17,433","1,355",630,386,"1,313","1,291","1,111",804,882,"1,470","2,537",613,422,721,"1,662","1,261",975
2021년08월_여_50~59세,"18,379","1,398",742,477,"1,552","1,109","1,158",835,"1,003","1,772","2,321",717,536,696,"1,665","1,150","1,248"
2021년08월_여_60~69세,"15,051","1,196",793,405,"1,305",851,915,578,845,"1,274","1,547",762,527,678,"1,490",758,"1,127"
2021년08월_여_70~79세,"9,117",731,498,269,861,445,534,374,558,698,979,412,307,459,861,459,672
2021년08월_여_80~89세,"5,320",404,295,136,412,206,346,212,243,387,750,249,203,271,439,394,373
2021년08월_여_90~99세,964,76,60,30,71,37,43,30,48,67,144,54,52,43,101,60,48
2021년08월_여_100세 이상,68,9,1,7,2,5,3,4,2,5,4,2,6,3,9,2,4
