,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년06월_계_총인구수,"399,266","35,730","20,989","24,056","23,677","19,987","29,363","9,002","22,659","26,912","34,127","31,162","20,335","22,790","38,426","23,724","16,327"
2021년06월_계_연령구간인구수,"399,266","35,730","20,989","24,056","23,677","19,987","29,363","9,002","22,659","26,912","34,127","31,162","20,335","22,790","38,426","23,724","16,327"
2021년06월_계_0~9세,"26,799","3,496","1,802",837,"1,257",780,"1,775",233,"1,259","1,730","2,157","2,057","1,108","1,201","2,996","1,410","2,701"
2021년06월_계_10~19세,"29,575","3,525","1,947","1,400","1,377","1,059","1,567",278,"1,887","2,179","2,363","2,265","1,384","1,201","3,927","1,966","1,250"
2021년06월_계_20~29세,"54,803","4,191","2,766","3,187","4,246","2,854","5,092","1,531","3,186","3,510","4,586","3,770","2,547","4,106","4,533","3,081","1,617"
2021년06월_계_30~39세,"61,653","6,061","3,739","2,849","4,910","2,862","5,510","1,249","2,803","3,176","5,081","4,340","2,644","4,417","5,071","3,207","3,734"
2021년06월_계_40~49세,"62,047","6,495","3,606","3,358","3,985","2,839","4,115","1,088","3,402","4,193","4,907","4,744","3,085","3,171","6,517","3,742","2,800"
2021년06월_계_50~59세,"62,305","5,039","2,993","4,579","3,033","3,449","4,509","1,771","3,848","4,678","5,751","4,859","3,428","3,025","5,654","3,906","1,783"
2021년06월_계_60~69세,"56,937","4,104","2,696","4,079","2,619","3,081","3,823","1,609","3,564","4,084","5,238","5,134","3,525","3,032","5,102","3,694","1,553"
2021년06월_계_70~79세,"31,742","1,979",990,"2,629","1,572","2,106","2,080",835,"1,937","2,331","2,861","2,943","1,815","1,831","3,256","1,950",627
2021년06월_계_80~89세,"11,861",738,383,"1,015",607,868,802,361,678,921,"1,041",926,715,711,"1,203",674,218
2021년06월_계_90~99세,"1,492",98,63,119,70,89,88,44,93,106,138,118,79,91,164,91,41
2021년06월_계_100세 이상,52,4,4,4,1,0,2,3,2,4,4,6,5,4,3,3,3
2021년06월_남_총인구수,"197,034","17,445","10,279","12,162","12,124","9,685","14,270","4,922","11,276","13,301","17,050","15,220","9,921","11,160","18,506","11,690","8,023"
2021년06월_남_연령구간인구수,"197,034","17,445","10,279","12,162","12,124","9,685","14,270","4,922","11,276","13,301","17,050","15,220","9,921","11,160","18,506","11,690","8,023"
2021년06월_남_0~9세,"13,666","1,754",928,435,658,414,913,123,639,862,"1,071","1,066",530,592,"1,527",738,"1,416"
2021년06월_남_10~19세,"15,213","1,804","1,027",741,683,538,794,155,960,"1,127","1,203","1,144",737,616,"1,994","1,071",619
2021년06월_남_20~29세,"26,906","2,018","1,313","1,650","2,099","1,338","2,235",831,"1,666","1,807","2,351","1,895","1,305","1,826","2,225","1,583",764
2021년06월_남_30~39세,"31,523","2,919","1,864","1,581","2,693","1,493","2,758",741,"1,467","1,595","2,663","2,173","1,375","2,293","2,485","1,629","1,794"
2021년06월_남_40~49세,"31,747","3,173","1,815","1,778","2,198","1,450","2,102",612,"1,734","2,103","2,508","2,432","1,589","1,671","3,250","1,843","1,489"
2021년06월_남_50~59세,"30,889","2,496","1,416","2,406","1,603","1,739","2,287","1,048","1,888","2,303","2,864","2,319","1,603","1,518","2,714","1,858",827
2021년06월_남_60~69세,"26,898","1,953","1,258","1,963","1,214","1,379","1,865",878,"1,697","2,015","2,535","2,332","1,622","1,450","2,281","1,769",687
2021년06월_남_70~79세,"15,025","1,013",493,"1,160",720,953,960,394,947,"1,088","1,375","1,433",860,885,"1,495",915,334
2021년06월_남_80~89세,"4,782",293,147,424,234,355,331,128,256,374,442,388,277,294,494,262,83
2021년06월_남_90~99세,371,20,17,24,22,26,25,11,21,27,37,35,21,15,40,20,10
2021년06월_남_100세 이상,14,2,1,0,0,0,0,1,1,0,1,3,2,0,1,2,0
2021년06월_여_총인구수,"202,232","18,285","10,710","11,894","11,553","10,302","15,093","4,080","11,383","13,611","17,077","15,942","10,414","11,630","19,920","12,034","8,304"
2021년06월_여_연령구간인구수,"202,232","18,285","10,710","11,894","11,553","10,302","15,093","4,080","11,383","13,611","17,077","15,942","10,414","11,630","19,920","12,034","8,304"
2021년06월_여_0~9세,"13,133","1,742",874,402,599,366,862,110,620,868,"1,086",991,578,609,"1,469",672,"1,285"
2021년06월_여_10~19세,"14,362","1,721",920,659,694,521,773,123,927,"1,052","1,160","1,121",647,585,"1,933",895,631
2021년06월_여_20~29세,"27,897","2,173","1,453","1,537","2,147","1,516","2,857",700,"1,520","1,703","2,235","1,875","1,242","2,280","2,308","1,498",853
2021년06월_여_30~39세,"30,130","3,142","1,875","1,268","2,217","1,369","2,752",508,"1,336","1,581","2,418","2,167","1,269","2,124","2,586","1,578","1,940"
2021년06월_여_40~49세,"30,300","3,322","1,791","1,580","1,787","1,389","2,013",476,"1,668","2,090","2,399","2,312","1,496","1,500","3,267","1,899","1,311"
2021년06월_여_50~59세,"31,416","2,543","1,577","2,173","1,430","1,710","2,222",723,"1,960","2,375","2,887","2,540","1,825","1,507","2,940","2,048",956
2021년06월_여_60~69세,"30,039","2,151","1,438","2,116","1,405","1,702","1,958",731,"1,867","2,069","2,703","2,802","1,903","1,582","2,821","1,925",866
2021년06월_여_70~79세,"16,717",966,497,"1,469",852,"1,153","1,120",441,990,"1,243","1,486","1,510",955,946,"1,761","1,035",293
2021년06월_여_80~89세,"7,079",445,236,591,373,513,471,233,422,547,599,538,438,417,709,412,135
2021년06월_여_90~99세,"1,121",78,46,95,48,63,63,33,72,79,101,83,58,76,124,71,31
2021년06월_여_100세 이상,38,2,3,4,1,0,2,2,1,4,3,3,3,4,2,1,3
