카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년06월_계_총인구수,"110,414","17,688","13,424","15,466","7,526","1,596","3,413","2,805","3,488","5,967","5,017","6,353","15,428","6,770","5,216",257
2021년06월_계_연령구간인구수,"110,414","17,688","13,424","15,466","7,526","1,596","3,413","2,805","3,488","5,967","5,017","6,353","15,428","6,770","5,216",257
2021년06월_계_0~9세,"7,875","1,322","1,425","1,888",611,36,85,69,71,159,213,419,978,310,287,2
2021년06월_계_10~19세,"10,177","1,790","1,539","2,047",648,45,141,77,135,288,297,495,"1,641",631,396,7
2021년06월_계_20~29세,"10,586","2,213","1,491","1,537",511,111,258,148,220,370,442,533,"1,623",708,411,10
2021년06월_계_30~39세,"11,447","2,249","1,908","2,233",795,91,180,129,154,398,411,636,"1,310",511,429,13
2021년06월_계_40~49세,"17,529","3,110","2,442","3,116","1,227",150,330,247,319,667,644,951,"2,485","1,130",683,28
2021년06월_계_50~59세,"18,196","3,016","2,010","1,897","1,162",270,587,510,648,"1,009",953,"1,102","2,874","1,260",860,38
2021년06월_계_60~69세,"17,093","2,111","1,346","1,376","1,273",415,776,692,806,"1,463","1,020","1,122","2,436","1,157","1,034",66
2021년06월_계_70~79세,"10,731","1,128",746,835,791,250,600,512,629,"1,064",670,758,"1,360",666,658,64
2021년06월_계_80~89세,"5,908",651,435,465,434,204,399,373,436,481,330,298,655,336,382,29
2021년06월_계_90~99세,849,94,81,71,72,24,54,46,68,67,37,36,65,60,74,0
2021년06월_계_100세 이상,23,4,1,1,2,0,3,2,2,1,0,3,1,1,2,0
2021년06월_남_총인구수,"55,729","9,235","6,740","8,058","3,769",837,"1,747","1,395","1,724","2,920","2,490","3,097","7,511","3,513","2,562",131
2021년06월_남_연령구간인구수,"55,729","9,235","6,740","8,058","3,769",837,"1,747","1,395","1,724","2,920","2,490","3,097","7,511","3,513","2,562",131
2021년06월_남_0~9세,"4,071",688,717,"1,009",284,23,53,41,38,84,111,209,507,150,156,1
2021년06월_남_10~19세,"5,271",884,812,"1,028",354,23,76,49,69,152,159,269,838,352,201,5
2021년06월_남_20~29세,"6,333","1,311",844,966,297,65,166,95,141,225,281,312,942,427,254,7
2021년06월_남_30~39세,"6,180","1,297",989,"1,174",408,55,105,69,87,244,238,331,656,295,225,7
2021년06월_남_40~49세,"9,325","1,693","1,215","1,635",692,93,195,161,204,395,359,499,"1,186",605,370,23
2021년06월_남_50~59세,"9,680","1,603","1,046","1,089",612,167,334,297,370,543,476,556,"1,444",691,427,25
2021년06월_남_60~69세,"8,276","1,057",664,651,610,228,400,345,396,669,476,504,"1,159",579,507,31
2021년06월_남_70~79세,"4,609",484,311,354,353,112,274,215,283,444,281,316,572,292,293,25
2021년06월_남_80~89세,"1,841",203,128,142,146,64,129,115,127,154,102,95,199,111,119,7
2021년06월_남_90~99세,137,15,14,10,12,7,14,7,8,10,7,6,8,10,9,0
2021년06월_남_100세 이상,6,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
2021년06월_여_총인구수,"54,685","8,453","6,684","7,408","3,757",759,"1,666","1,410","1,764","3,047","2,527","3,256","7,917","3,257","2,654",126
2021년06월_여_연령구간인구수,"54,685","8,453","6,684","7,408","3,757",759,"1,666","1,410","1,764","3,047","2,527","3,256","7,917","3,257","2,654",126
2021년06월_여_0~9세,"3,804",634,708,879,327,13,32,28,33,75,102,210,471,160,131,1
2021년06월_여_10~19세,"4,906",906,727,"1,019",294,22,65,28,66,136,138,226,803,279,195,2
2021년06월_여_20~29세,"4,253",902,647,571,214,46,92,53,79,145,161,221,681,281,157,3
2021년06월_여_30~39세,"5,267",952,919,"1,059",387,36,75,60,67,154,173,305,654,216,204,6
2021년06월_여_40~49세,"8,204","1,417","1,227","1,481",535,57,135,86,115,272,285,452,"1,299",525,313,5
2021년06월_여_50~59세,"8,516","1,413",964,808,550,103,253,213,278,466,477,546,"1,430",569,433,13
2021년06월_여_60~69세,"8,817","1,054",682,725,663,187,376,347,410,794,544,618,"1,277",578,527,35
2021년06월_여_70~79세,"6,122",644,435,481,438,138,326,297,346,620,389,442,788,374,365,39
2021년06월_여_80~89세,"4,067",448,307,323,288,140,270,258,309,327,228,203,456,225,263,22
2021년06월_여_90~99세,712,79,67,61,60,17,40,39,60,57,30,30,57,50,65,0
2021년06월_여_100세 이상,17,4,1,1,1,0,2,1,1,1,0,3,1,0,1,0
