카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년12월_계_총인구수,"525,354","31,981","35,836","28,734","15,092","22,637","22,266","28,289","29,266","17,516","24,770","17,961","21,563","15,663","24,923","20,410","39,909","21,287","32,331","32,894","42,026"
2020년12월_계_연령구간인구수,"525,354","31,981","35,836","28,734","15,092","22,637","22,266","28,289","29,266","17,516","24,770","17,961","21,563","15,663","24,923","20,410","39,909","21,287","32,331","32,894","42,026"
2020년12월_계_0~9세,"41,814","3,199","3,651","1,545",666,"1,251","1,616","1,615","1,820",876,"1,785","1,329","1,505",646,"1,472","1,664","5,995","1,315","2,873","2,506","4,485"
2020년12월_계_10~19세,"49,852","3,051","4,406","1,704","1,066","1,644","2,142","2,164","2,410","1,131","2,494","1,641","1,941",989,"2,367","2,214","3,644","1,932","3,597","3,376","5,939"
2020년12월_계_20~29세,"71,020","4,223","4,288","6,306","2,133","3,184","2,922","4,102","4,230","2,301","3,282","2,516","2,927","2,183","3,512","2,392","3,956","2,880","4,182","4,615","4,886"
2020년12월_계_30~39세,"72,394","4,773","4,515","5,453","1,677","3,211","2,775","3,703","4,151","2,168","3,033","2,252","2,852","1,863","2,868","2,452","7,691","2,313","4,591","4,570","5,483"
2020년12월_계_40~49세,"88,772","5,600","6,749","4,535","2,295","3,434","3,860","4,332","4,570","2,473","4,139","2,872","3,338","2,136","3,797","3,474","7,437","3,368","5,830","5,685","8,848"
2020년12월_계_50~59세,"90,151","5,111","5,748","4,386","3,009","4,030","3,815","5,335","5,286","3,415","4,372","3,262","3,808","3,113","4,854","3,488","4,975","4,297","5,531","5,603","6,713"
2020년12월_계_60~69세,"65,811","3,687","3,992","2,887","2,326","3,202","2,942","4,075","4,045","2,755","3,455","2,466","3,076","2,682","3,503","2,923","4,018","3,060","3,469","3,670","3,578"
2020년12월_계_70~79세,"30,829","1,583","1,765","1,347","1,285","1,815","1,524","2,019","1,835","1,502","1,556","1,154","1,394","1,456","1,607","1,224","1,598","1,423","1,511","1,864","1,367"
2020년12월_계_80~89세,"12,542",619,601,506,549,740,551,807,780,790,556,394,613,516,785,497,508,599,622,870,639
2020년12월_계_90~99세,"2,028",129,108,64,75,115,116,118,125,102,83,66,106,78,153,81,84,96,121,123,85
2020년12월_계_100세 이상,141,6,13,1,11,11,3,19,14,3,15,9,3,1,5,1,3,4,4,12,3
2020년12월_남_총인구수,"260,923","15,582","17,659","14,303","7,645","11,160","11,156","14,124","14,582","8,527","12,151","9,038","10,527","7,849","12,148","10,187","19,782","10,898","16,270","16,583","20,752"
2020년12월_남_연령구간인구수,"260,923","15,582","17,659","14,303","7,645","11,160","11,156","14,124","14,582","8,527","12,151","9,038","10,527","7,849","12,148","10,187","19,782","10,898","16,270","16,583","20,752"
2020년12월_남_0~9세,"21,501","1,626","1,912",818,348,663,835,796,924,452,915,688,748,340,771,836,"3,082",681,"1,441","1,317","2,308"
2020년12월_남_10~19세,"25,520","1,484","2,285",884,586,839,"1,133","1,085","1,209",583,"1,242",852,"1,020",502,"1,190","1,153","1,901","1,036","1,839","1,760","2,937"
2020년12월_남_20~29세,"36,637","2,092","2,230","2,817","1,124","1,638","1,529","2,111","2,188","1,187","1,712","1,300","1,561","1,150","1,852","1,315","1,959","1,585","2,252","2,484","2,551"
2020년12월_남_30~39세,"37,262","2,329","2,130","2,958",945,"1,731","1,395","1,955","2,189","1,164","1,556","1,217","1,474","1,064","1,500","1,260","3,714","1,213","2,421","2,493","2,554"
2020년12월_남_40~49세,"45,108","2,916","3,246","2,454","1,253","1,781","1,982","2,271","2,310","1,289","2,068","1,476","1,626","1,150","1,796","1,744","3,896","1,751","2,951","2,881","4,267"
2020년12월_남_50~59세,"44,486","2,426","2,875","2,185","1,520","1,947","1,927","2,670","2,607","1,688","2,089","1,600","1,802","1,529","2,333","1,681","2,363","2,191","2,782","2,780","3,491"
2020년12월_남_60~69세,"31,751","1,749","1,897","1,390","1,114","1,503","1,426","1,970","2,006","1,310","1,610","1,222","1,432","1,265","1,737","1,421","1,927","1,562","1,671","1,743","1,796"
2020년12월_남_70~79세,"13,951",733,830,596,552,797,696,933,857,606,738,534,654,639,707,566,775,647,674,798,619
2020년12월_남_80~89세,"4,266",208,226,183,191,247,194,295,265,229,200,134,188,196,234,192,154,211,212,296,211
2020년12월_남_90~99세,408,19,24,18,11,12,38,30,25,19,17,11,22,14,28,19,10,19,26,28,18
2020년12월_남_100세 이상,33,0,4,0,1,2,1,8,2,0,4,4,0,0,0,0,1,2,1,3,0
2020년12월_여_총인구수,"264,431","16,399","18,177","14,431","7,447","11,477","11,110","14,165","14,684","8,989","12,619","8,923","11,036","7,814","12,775","10,223","20,127","10,389","16,061","16,311","21,274"
2020년12월_여_연령구간인구수,"264,431","16,399","18,177","14,431","7,447","11,477","11,110","14,165","14,684","8,989","12,619","8,923","11,036","7,814","12,775","10,223","20,127","10,389","16,061","16,311","21,274"
2020년12월_여_0~9세,"20,313","1,573","1,739",727,318,588,781,819,896,424,870,641,757,306,701,828,"2,913",634,"1,432","1,189","2,177"
2020년12월_여_10~19세,"24,332","1,567","2,121",820,480,805,"1,009","1,079","1,201",548,"1,252",789,921,487,"1,177","1,061","1,743",896,"1,758","1,616","3,002"
2020년12월_여_20~29세,"34,383","2,131","2,058","3,489","1,009","1,546","1,393","1,991","2,042","1,114","1,570","1,216","1,366","1,033","1,660","1,077","1,997","1,295","1,930","2,131","2,335"
2020년12월_여_30~39세,"35,132","2,444","2,385","2,495",732,"1,480","1,380","1,748","1,962","1,004","1,477","1,035","1,378",799,"1,368","1,192","3,977","1,100","2,170","2,077","2,929"
2020년12월_여_40~49세,"43,664","2,684","3,503","2,081","1,042","1,653","1,878","2,061","2,260","1,184","2,071","1,396","1,712",986,"2,001","1,730","3,541","1,617","2,879","2,804","4,581"
2020년12월_여_50~59세,"45,665","2,685","2,873","2,201","1,489","2,083","1,888","2,665","2,679","1,727","2,283","1,662","2,006","1,584","2,521","1,807","2,612","2,106","2,749","2,823","3,222"
2020년12월_여_60~69세,"34,060","1,938","2,095","1,497","1,212","1,699","1,516","2,105","2,039","1,445","1,845","1,244","1,644","1,417","1,766","1,502","2,091","1,498","1,798","1,927","1,782"
2020년12월_여_70~79세,"16,878",850,935,751,733,"1,018",828,"1,086",978,896,818,620,740,817,900,658,823,776,837,"1,066",748
2020년12월_여_80~89세,"8,276",411,375,323,358,493,357,512,515,561,356,260,425,320,551,305,354,388,410,574,428
2020년12월_여_90~99세,"1,620",110,84,46,64,103,78,88,100,83,66,55,84,64,125,62,74,77,95,95,67
2020년12월_여_100세 이상,108,6,9,1,10,9,2,11,12,3,11,5,3,1,5,1,2,2,3,9,3
