카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년11월_계_총인구수,"1,442,138","103,396","291,411","215,527","427,463","404,341"
2021년11월_계_연령구간인구수,"1,442,138","103,396","291,411","215,527","427,463","404,341"
2021년11월_계_0~9세,"114,343","7,261","20,263","17,041","32,078","37,700"
2021년11월_계_10~19세,"152,805","7,268","30,018","22,738","41,495","51,286"
2021년11월_계_20~29세,"207,080","14,853","44,594","27,682","61,406","58,545"
2021년11월_계_30~39세,"181,567","13,441","35,080","25,252","54,691","53,103"
2021년11월_계_40~49세,"236,306","14,023","47,028","34,296","65,841","75,118"
2021년11월_계_50~59세,"235,316","15,506","49,418","32,915","71,317","66,160"
2021년11월_계_60~69세,"171,663","15,151","35,758","29,082","55,854","35,818"
2021년11월_계_70~79세,"94,422","10,235","19,426","17,554","29,985","17,222"
2021년11월_계_80~89세,"42,416","4,948","8,587","7,799","12,922","8,160"
2021년11월_계_90~99세,"6,012",682,"1,202","1,132","1,808","1,188"
2021년11월_계_100세 이상,208,28,37,36,66,41
2021년11월_남_총인구수,"713,292","51,002","142,783","103,559","212,180","203,768"
2021년11월_남_연령구간인구수,"713,292","51,002","142,783","103,559","212,180","203,768"
2021년11월_남_0~9세,"58,648","3,752","10,478","8,697","16,397","19,324"
2021년11월_남_10~19세,"79,085","3,715","15,822","11,354","21,840","26,354"
2021년11월_남_20~29세,"108,068","7,639","22,811","14,148","32,310","31,160"
2021년11월_남_30~39세,"92,992","6,947","17,882","12,548","28,514","27,101"
2021년11월_남_40~49세,"117,398","7,335","22,760","16,898","33,113","37,292"
2021년11월_남_50~59세,"116,779","7,677","24,195","15,651","34,961","34,295"
2021년11월_남_60~69세,"81,849","7,118","16,800","13,290","26,568","18,073"
2021년11월_남_70~79세,"41,904","4,547","8,625","7,821","13,441","7,470"
2021년11월_남_80~89세,"15,232","2,066","3,134","2,903","4,648","2,481"
2021년11월_남_90~99세,"1,307",199,273,242,380,213
2021년11월_남_100세 이상,30,7,3,7,8,5
2021년11월_여_총인구수,"728,846","52,394","148,628","111,968","215,283","200,573"
2021년11월_여_연령구간인구수,"728,846","52,394","148,628","111,968","215,283","200,573"
2021년11월_여_0~9세,"55,695","3,509","9,785","8,344","15,681","18,376"
2021년11월_여_10~19세,"73,720","3,553","14,196","11,384","19,655","24,932"
2021년11월_여_20~29세,"99,012","7,214","21,783","13,534","29,096","27,385"
2021년11월_여_30~39세,"88,575","6,494","17,198","12,704","26,177","26,002"
2021년11월_여_40~49세,"118,908","6,688","24,268","17,398","32,728","37,826"
2021년11월_여_50~59세,"118,537","7,829","25,223","17,264","36,356","31,865"
2021년11월_여_60~69세,"89,814","8,033","18,958","15,792","29,286","17,745"
2021년11월_여_70~79세,"52,518","5,688","10,801","9,733","16,544","9,752"
2021년11월_여_80~89세,"27,184","2,882","5,453","4,896","8,274","5,679"
2021년11월_여_90~99세,"4,705",483,929,890,"1,428",975
2021년11월_여_100세 이상,178,21,34,29,58,36
