카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년11월_계_총인구수,"28,353","10,337","5,229","2,463","2,066","3,202","1,856","1,522","1,678"
2021년11월_계_연령구간인구수,"28,353","10,337","5,229","2,463","2,066","3,202","1,856","1,522","1,678"
2021년11월_계_0~9세,"1,090",594,232,62,45,66,39,20,32
2021년11월_계_10~19세,"1,877",911,400,93,131,169,58,28,87
2021년11월_계_20~29세,"2,051","1,053",420,124,105,121,80,60,88
2021년11월_계_30~39세,"1,813",943,372,88,72,122,63,77,76
2021년11월_계_40~49세,"3,086","1,419",654,191,170,292,134,108,118
2021년11월_계_50~59세,"5,343","1,898",954,477,384,652,372,280,326
2021년11월_계_60~69세,"6,797","1,935","1,063",709,604,901,594,490,501
2021년11월_계_70~79세,"3,772",972,714,406,335,527,298,259,261
2021년11월_계_80~89세,"2,221",533,376,266,195,310,198,176,167
2021년11월_계_90~99세,290,75,43,44,24,41,20,23,20
2021년11월_계_100세 이상,13,4,1,3,1,1,0,1,2
2021년11월_남_총인구수,"14,377","5,169","2,714","1,232","1,105","1,532","1,022",776,827
2021년11월_남_연령구간인구수,"14,377","5,169","2,714","1,232","1,105","1,532","1,022",776,827
2021년11월_남_0~9세,571,301,131,29,29,32,23,8,18
2021년11월_남_10~19세,"1,009",466,222,50,82,94,40,13,42
2021년11월_남_20~29세,"1,191",585,259,64,62,82,56,29,54
2021년11월_남_30~39세,984,506,214,46,40,60,32,50,36
2021년11월_남_40~49세,"1,694",744,368,104,102,149,87,71,69
2021년11월_남_50~59세,"2,865","1,011",530,270,204,326,199,154,171
2021년11월_남_60~69세,"3,518",944,535,375,321,441,352,272,278
2021년11월_남_70~79세,"1,673",411,306,187,177,227,142,117,106
2021년11월_남_80~89세,796,184,139,96,81,112,84,54,46
2021년11월_남_90~99세,73,17,9,10,7,9,7,8,6
2021년11월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년11월_여_총인구수,"13,976","5,168","2,515","1,231",961,"1,670",834,746,851
2021년11월_여_연령구간인구수,"13,976","5,168","2,515","1,231",961,"1,670",834,746,851
2021년11월_여_0~9세,519,293,101,33,16,34,16,12,14
2021년11월_여_10~19세,868,445,178,43,49,75,18,15,45
2021년11월_여_20~29세,860,468,161,60,43,39,24,31,34
2021년11월_여_30~39세,829,437,158,42,32,62,31,27,40
2021년11월_여_40~49세,"1,392",675,286,87,68,143,47,37,49
2021년11월_여_50~59세,"2,478",887,424,207,180,326,173,126,155
2021년11월_여_60~69세,"3,279",991,528,334,283,460,242,218,223
2021년11월_여_70~79세,"2,099",561,408,219,158,300,156,142,155
2021년11월_여_80~89세,"1,425",349,237,170,114,198,114,122,121
2021년11월_여_90~99세,217,58,34,34,17,32,13,15,14
2021년11월_여_100세 이상,10,4,0,2,1,1,0,1,1
