카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년05월_계_총인구수,"577,484","42,032","24,195","20,574","31,008","51,973","18,122","21,446","20,824","34,487","24,839","24,705","34,065","14,160","15,271","36,506","43,263","30,362","43,387","23,226","23,039"
2021년05월_계_연령구간인구수,"577,484","42,032","24,195","20,574","31,008","51,973","18,122","21,446","20,824","34,487","24,839","24,705","34,065","14,160","15,271","36,506","43,263","30,362","43,387","23,226","23,039"
2021년05월_계_0~9세,"38,393","4,033","1,268","1,273","1,665","2,589","1,144","1,237","1,115","2,124","1,192","1,253","1,632",479,691,"3,208","3,621","3,400","3,988","1,183","1,298"
2021년05월_계_10~19세,"44,084","4,521","1,295","1,563","1,958","2,419","1,398","1,635","1,348","2,384","1,631","1,574","1,886",459,549,"4,844","5,471","2,087","4,184","1,413","1,465"
2021년05월_계_20~29세,"86,760","5,688","5,038","3,175","3,994","9,520","2,592","3,076","2,963","6,031","4,338","3,874","8,290","1,653","1,766","4,569","5,262","3,971","5,175","3,342","2,443"
2021년05월_계_30~39세,"98,552","7,360","6,097","3,493","4,642","10,445","2,855","3,107","3,276","6,357","4,207","4,049","8,411","2,339","3,042","4,173","5,349","5,708","6,280","3,707","3,655"
2021년05월_계_40~49세,"90,215","7,626","3,228","3,025","3,880","7,438","3,034","3,227","3,241","5,465","3,604","3,935","4,598","1,453","1,898","7,084","8,449","4,949","7,494","3,188","3,399"
2021년05월_계_50~59세,"84,959","5,945","3,043","3,310","5,182","7,335","2,848","3,238","3,334","4,863","3,899","3,666","4,169","2,079","2,224","5,685","6,569","4,081","6,395","3,594","3,500"
2021년05월_계_60~69세,"78,023","4,315","2,300","2,866","5,372","7,094","2,469","3,458","3,207","4,337","3,682","3,591","3,312","3,249","2,744","3,919","5,080","3,563","5,802","3,729","3,934"
2021년05월_계_70~79세,"38,818","1,749","1,118","1,324","2,550","3,765","1,332","1,768","1,659","2,098","1,618","2,058","1,171","1,546","1,564","2,119","2,565","1,782","2,813","2,056","2,163"
2021년05월_계_80~89세,"15,119",696,672,459,"1,462","1,201",393,597,596,705,576,620,509,762,674,764,766,706,"1,090",885,986
2021년05월_계_90~99세,"2,469",96,130,86,292,157,57,95,84,120,90,82,84,135,117,135,126,111,161,125,186
2021년05월_계_100세 이상,92,3,6,0,11,10,0,8,1,3,2,3,3,6,2,6,5,4,5,4,10
2021년05월_남_총인구수,"278,408","20,362","11,312","10,056","14,721","25,267","8,840","10,325","10,195","16,755","12,110","11,890","15,651","6,666","7,110","17,301","20,667","15,357","21,145","11,489","11,189"
