카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년04월_계_총인구수,"34,668","6,801","1,387","1,074","2,028","2,885","1,827","4,158","5,597","5,655","1,177","2,079"
2021년04월_계_연령구간인구수,"34,668","6,801","1,387","1,074","2,028","2,885","1,827","4,158","5,597","5,655","1,177","2,079"
2021년04월_계_0~9세,"1,281",369,42,36,53,87,31,120,161,310,36,36
2021년04월_계_10~19세,"2,069",540,37,46,92,160,71,283,207,488,43,102
2021년04월_계_20~29세,"2,375",629,59,45,98,151,104,303,347,489,54,96
2021년04월_계_30~39세,"2,079",605,57,45,85,188,67,208,279,412,58,75
2021년04월_계_40~49세,"3,430",813,108,89,135,266,148,447,523,649,83,169
2021년04월_계_50~59세,"6,372","1,136",221,169,312,523,386,880,"1,142","1,067",176,360
2021년04월_계_60~69세,"7,546","1,199",343,219,454,606,449,943,"1,381","1,142",319,491
2021년04월_계_70~79세,"5,227",852,263,204,428,494,324,571,892,586,219,394
2021년04월_계_80~89세,"3,703",551,226,189,324,345,219,345,577,453,158,316
2021년04월_계_90~99세,572,104,31,31,45,64,27,56,85,59,31,39
2021년04월_계_100세 이상,14,3,0,1,2,1,1,2,3,0,0,1
2021년04월_남_총인구수,"17,048","3,291",679,518,980,"1,426",901,"2,060","2,816","2,782",564,"1,031"
2021년04월_남_연령구간인구수,"17,048","3,291",679,518,980,"1,426",901,"2,060","2,816","2,782",564,"1,031"
2021년04월_남_0~9세,671,187,21,16,36,48,22,58,98,154,16,15
2021년04월_남_10~19세,"1,116",284,25,29,56,86,44,156,111,242,21,62
2021년04월_남_20~29세,"1,359",361,31,22,58,86,59,164,205,286,31,56
2021년04월_남_30~39세,"1,108",304,34,21,49,103,42,106,157,215,34,43
2021년04월_남_40~49세,"1,896",409,64,56,93,159,82,236,309,325,56,107
2021년04월_남_50~59세,"3,462",594,141,104,181,293,202,470,607,543,109,218
2021년04월_남_60~69세,"3,904",600,175,116,232,315,232,462,728,621,162,261
2021년04월_남_70~79세,"2,321",375,119,84,172,210,139,267,424,260,92,179
2021년04월_남_80~89세,"1,098",158,61,64,95,110,74,124,168,126,38,80
2021년04월_남_90~99세,111,19,8,6,7,16,5,16,9,10,5,10
2021년04월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년04월_여_총인구수,"17,620","3,510",708,556,"1,048","1,459",926,"2,098","2,781","2,873",613,"1,048"
2021년04월_여_연령구간인구수,"17,620","3,510",708,556,"1,048","1,459",926,"2,098","2,781","2,873",613,"1,048"
2021년04월_여_0~9세,610,182,21,20,17,39,9,62,63,156,20,21
2021년04월_여_10~19세,953,256,12,17,36,74,27,127,96,246,22,40
2021년04월_여_20~29세,"1,016",268,28,23,40,65,45,139,142,203,23,40
2021년04월_여_30~39세,971,301,23,24,36,85,25,102,122,197,24,32
2021년04월_여_40~49세,"1,534",404,44,33,42,107,66,211,214,324,27,62
2021년04월_여_50~59세,"2,910",542,80,65,131,230,184,410,535,524,67,142
2021년04월_여_60~69세,"3,642",599,168,103,222,291,217,481,653,521,157,230
2021년04월_여_70~79세,"2,906",477,144,120,256,284,185,304,468,326,127,215
2021년04월_여_80~89세,"2,605",393,165,125,229,235,145,221,409,327,120,236
2021년04월_여_90~99세,461,85,23,25,38,48,22,40,76,49,26,29
2021년04월_여_100세 이상,12,3,0,1,1,1,1,1,3,0,0,1
