카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년08월_계_총인구수,"107,169","5,406","4,247","2,839","2,082","2,776","1,769","1,785","2,062","2,549","3,379","2,794","1,662","2,303","1,209","2,087","17,238","2,972","20,449","3,256","10,261","6,058","4,089","3,897"
2021년08월_계_연령구간인구수,"107,169","5,406","4,247","2,839","2,082","2,776","1,769","1,785","2,062","2,549","3,379","2,794","1,662","2,303","1,209","2,087","17,238","2,972","20,449","3,256","10,261","6,058","4,089","3,897"
2021년08월_계_0~9세,"5,991",230,167,57,61,70,50,35,36,73,65,60,47,79,27,56,"1,345",144,"1,546",149,933,458,182,121
2021년08월_계_10~19세,"9,400",356,270,137,77,116,71,96,91,105,145,64,67,141,54,89,"1,942",274,"2,700",255,"1,309",509,305,227
2021년08월_계_20~29세,"10,398",370,378,184,110,147,107,132,119,154,226,132,79,145,67,113,"2,163",322,"2,464",327,"1,211",612,407,429
2021년08월_계_30~39세,"8,508",355,292,136,118,184,85,81,95,138,163,164,101,109,47,93,"1,873",231,"1,795",238,"1,013",604,289,304
2021년08월_계_40~49세,"14,270",595,456,235,168,258,149,177,173,218,314,213,141,229,79,179,"3,023",463,"3,361",351,"1,687",922,471,408
2021년08월_계_50~59세,"18,141",861,827,531,350,430,248,327,322,448,554,416,258,396,237,358,"3,023",539,"3,387",521,"1,688",965,770,685
2021년08월_계_60~69세,"17,625","1,031",833,621,427,624,390,379,441,546,736,684,353,445,288,456,"2,041",430,"2,629",636,"1,246",908,776,705
2021년08월_계_70~79세,"13,181",942,565,479,406,512,365,298,397,467,600,595,325,403,232,407,"1,187",329,"1,631",488,774,716,512,551
2021년08월_계_80~89세,"8,383",585,400,403,330,379,259,217,340,347,495,399,243,314,156,293,564,214,815,242,363,297,331,397
2021년08월_계_90~99세,"1,209",77,54,54,34,54,44,42,47,50,78,62,46,39,20,43,69,25,117,48,36,65,40,65
2021년08월_계_100세 이상,63,4,5,2,1,2,1,1,1,3,3,5,2,3,2,0,8,1,4,1,1,2,6,5
2021년08월_남_총인구수,"53,242","2,656","2,154","1,427","1,077","1,382",877,905,"1,024","1,276","1,685","1,405",847,"1,180",616,"1,050","8,729","1,452","9,862","1,577","5,069","3,024","1,963","2,005"
2021년08월_남_연령구간인구수,"53,242","2,656","2,154","1,427","1,077","1,382",877,905,"1,024","1,276","1,685","1,405",847,"1,180",616,"1,050","8,729","1,452","9,862","1,577","5,069","3,024","1,963","2,005"
