카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년02월_계_총인구수,"439,218","4,962","23,475","4,237","19,319","20,287","9,525","11,061","9,149","8,635","18,462","7,670","28,886","6,716","36,779","37,290","22,305","25,033","36,367","17,062","26,867","29,007","12,062","24,062"
2021년02월_계_연령구간인구수,"439,218","4,962","23,475","4,237","19,319","20,287","9,525","11,061","9,149","8,635","18,462","7,670","28,886","6,716","36,779","37,290","22,305","25,033","36,367","17,062","26,867","29,007","12,062","24,062"
2021년02월_계_0~9세,"33,476",350,"2,339",173,"2,180","1,726",253,600,282,299,"1,171",182,"2,261",312,"3,514","4,512","1,331","1,621","2,662",929,"1,665","2,308",622,"2,184"
2021년02월_계_10~19세,"42,942",356,"2,060",207,"2,270","2,260",458,902,450,480,"1,176",351,"3,026",419,"3,935","3,156","1,741","2,476","4,994","1,598","2,454","4,417",626,"3,130"
2021년02월_계_20~29세,"61,951",569,"2,847",484,"2,153","2,386","1,011","1,635","2,570","1,301","2,902","2,376","4,149",739,"4,255","3,924","3,809","3,700","5,396","2,425","4,313","4,156","1,362","3,489"
2021년02월_계_30~39세,"53,519",671,"3,671",464,"2,747","2,342",747,"1,160","1,155","1,037","2,147","1,019","3,610",817,"4,843","6,360","2,630","2,751","3,470","1,622","3,051","2,842","1,563","2,800"
2021년02월_계_40~49세,"72,048",710,"4,070",487,"3,699","3,481","1,126","1,471","1,040","1,016","2,652",813,"4,668",899,"7,005","6,464","3,144","3,980","6,756","2,523","3,765","5,994","1,623","4,662"
2021년02월_계_50~59세,"78,209",794,"3,263",894,"2,831","3,476","1,912","2,250","1,271","1,574","2,958","1,200","5,110","1,217","6,275","5,917","4,200","4,753","7,231","3,534","5,477","5,481","2,367","4,224"
2021년02월_계_60~69세,"54,707",778,"2,670",902,"1,906","2,401","2,022","1,730","1,235","1,582","2,735","1,019","3,697","1,283","4,169","4,278","3,122","3,358","3,381","2,654","3,646","2,021","2,223","1,895"
2021년02월_계_70~79세,"28,383",501,"1,618",425,"1,029","1,482","1,335",889,759,927,"1,762",486,"1,574",699,"1,980","1,905","1,524","1,666","1,631","1,134","1,586","1,134","1,249","1,088"
2021년02월_계_80~89세,"12,429",197,807,171,451,660,606,379,343,377,832,200,679,304,704,682,717,643,753,588,823,612,376,525
2021년02월_계_90~99세,"1,457",32,118,29,48,67,48,44,41,42,111,23,107,26,97,87,85,83,91,52,81,39,43,63
2021년02월_계_100세 이상,97,4,12,1,5,6,7,1,3,0,16,1,5,1,2,5,2,2,2,3,6,3,8,2
2021년02월_남_총인구수,"218,625","2,393","11,309","2,268","9,353","9,813","4,724","5,441","4,718","4,507","9,322","4,198","14,283","3,351","18,741","18,592","11,186","12,264","17,947","8,572","13,390","14,091","6,279","11,883"
2021년02월_남_연령구간인구수,"218,625","2,393","11,309","2,268","9,353","9,813","4,724","5,441","4,718","4,507","9,322","4,198","14,283","3,351","18,741","18,592","11,186","12,264","17,947","8,572","13,390","14,091","6,279","11,883"
2021년02월_남_0~9세,"17,125",165,"1,148",89,"1,093",904,132,305,147,159,577,100,"1,147",167,"1,848","2,311",677,846,"1,329",477,870,"1,192",307,"1,135"
2021년02월_남_10~19세,"22,305",169,"1,042",125,"1,171","1,150",246,467,235,272,597,179,"1,571",220,"2,020","1,609",931,"1,297","2,607",827,"1,338","2,289",316,"1,627"
2021년02월_남_20~29세,"33,480",293,"1,365",280,"1,106","1,271",587,909,"1,385",744,"1,751","1,430","2,290",423,"2,252","2,107","2,015","1,938","2,907","1,357","2,330","2,209",744,"1,787"
2021년02월_남_30~39세,"28,070",349,"1,832",276,"1,292","1,142",439,640,702,643,"1,197",635,"1,874",469,"2,487","3,213","1,459","1,466","1,755",899,"1,661","1,352",906,"1,382"
2021년02월_남_40~49세,"35,358",387,"2,020",280,"1,779","1,628",633,711,594,579,"1,398",467,"2,207",486,"3,568","3,347","1,553","1,933","3,091","1,233","1,730","2,610",912,"2,212"
2021년02월_남_50~59세,"38,774",412,"1,604",470,"1,387","1,699",984,"1,059",629,799,"1,467",595,"2,429",587,"3,304","2,852","2,041","2,252","3,600","1,736","2,618","2,789","1,254","2,207"
2021년02월_남_60~69세,"26,618",334,"1,277",483,885,"1,127",971,829,575,720,"1,280",500,"1,808",590,"2,068","2,102","1,551","1,569","1,725","1,332","1,857","1,020","1,097",918
2021년02월_남_70~79세,"12,209",217,682,201,445,642,508,388,315,434,730,211,701,298,919,825,669,714,671,514,686,413,581,445
2021년02월_남_80~89세,"4,363",58,307,54,177,236,213,121,124,151,297,75,242,107,260,215,271,235,243,188,281,203,146,159
2021년02월_남_90~99세,303,8,30,9,18,14,9,12,12,6,22,5,13,4,14,10,19,14,19,9,18,13,14,11
2021년02월_남_100세 이상,20,1,2,1,0,0,2,0,0,0,6,1,1,0,1,1,0,0,0,0,1,1,2,0
2021년02월_여_총인구수,"220,593","2,569","12,166","1,969","9,966","10,474","4,801","5,620","4,431","4,128","9,140","3,472","14,603","3,365","18,038","18,698","11,119","12,769","18,420","8,490","13,477","14,916","5,783","12,179"
