카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년08월_계_총인구수,"82,391","4,421","3,634","5,917","9,560","21,726","29,174","4,847","3,112"
2021년08월_계_연령구간인구수,"82,391","4,421","3,634","5,917","9,560","21,726","29,174","4,847","3,112"
2021년08월_계_0~9세,"5,712",168,231,215,509,"1,372","2,834",296,87
2021년08월_계_10~19세,"7,225",230,257,416,807,"2,184","2,952",265,114
2021년08월_계_20~29세,"8,907",401,309,567,"1,112","2,430","3,419",424,245
2021년08월_계_30~39세,"9,058",387,337,449,972,"2,220","3,933",540,220
2021년08월_계_40~49세,"12,232",488,495,701,"1,321","3,379","4,936",598,314
2021년08월_계_50~59세,"14,946",870,683,"1,149","1,713","4,074","4,916",907,634
2021년08월_계_60~69세,"13,581","1,050",688,"1,266","1,775","3,465","3,608",955,774
2021년08월_계_70~79세,"6,785",534,414,695,861,"1,621","1,693",501,466
2021년08월_계_80~89세,"3,329",254,187,379,417,828,756,294,214
2021년08월_계_90~99세,595,36,33,78,70,151,122,63,42
2021년08월_계_100세 이상,21,3,0,2,3,2,5,4,2
2021년08월_남_총인구수,"40,847","2,293","1,831","2,898","4,694","10,836","14,242","2,449","1,604"
2021년08월_남_연령구간인구수,"40,847","2,293","1,831","2,898","4,694","10,836","14,242","2,449","1,604"
2021년08월_남_0~9세,"2,903",87,124,110,255,691,"1,428",165,43
2021년08월_남_10~19세,"3,757",130,135,212,432,"1,116","1,525",130,77
2021년08월_남_20~29세,"5,017",243,175,336,630,"1,375","1,877",244,137
2021년08월_남_30~39세,"4,865",223,181,264,533,"1,198","2,023",301,142
2021년08월_남_40~49세,"6,143",281,263,367,669,"1,660","2,397",323,183
2021년08월_남_50~59세,"7,393",465,346,556,823,"2,036","2,343",490,334
2021년08월_남_60~69세,"6,553",515,341,601,841,"1,740","1,652",482,381
2021년08월_남_70~79세,"2,941",250,198,300,353,728,707,197,208
2021년08월_남_80~89세,"1,159",93,61,140,146,269,260,100,90
2021년08월_남_90~99세,109,5,7,11,12,23,28,15,8
2021년08월_남_100세 이상,7,1,0,1,0,0,2,2,1
2021년08월_여_총인구수,"41,544","2,128","1,803","3,019","4,866","10,890","14,932","2,398","1,508"
2021년08월_여_연령구간인구수,"41,544","2,128","1,803","3,019","4,866","10,890","14,932","2,398","1,508"
2021년08월_여_0~9세,"2,809",81,107,105,254,681,"1,406",131,44
2021년08월_여_10~19세,"3,468",100,122,204,375,"1,068","1,427",135,37
2021년08월_여_20~29세,"3,890",158,134,231,482,"1,055","1,542",180,108
2021년08월_여_30~39세,"4,193",164,156,185,439,"1,022","1,910",239,78
2021년08월_여_40~49세,"6,089",207,232,334,652,"1,719","2,539",275,131
2021년08월_여_50~59세,"7,553",405,337,593,890,"2,038","2,573",417,300
2021년08월_여_60~69세,"7,028",535,347,665,934,"1,725","1,956",473,393
2021년08월_여_70~79세,"3,844",284,216,395,508,893,986,304,258
2021년08월_여_80~89세,"2,170",161,126,239,271,559,496,194,124
2021년08월_여_90~99세,486,31,26,67,58,128,94,48,34
2021년08월_여_100세 이상,14,2,0,1,3,2,3,2,1
