,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년12월_계_총인구수,"139,729","6,315","5,283","13,329","4,043","3,374","5,928","2,871","4,535","15,724","43,447","30,776","4,104"
2020년12월_계_연령구간인구수,"139,729","6,315","5,283","13,329","4,043","3,374","5,928","2,871","4,535","15,724","43,447","30,776","4,104"
2020년12월_계_0~9세,"11,895",238,253,837,137,107,188,91,193,927,"7,074","1,764",86
2020년12월_계_10~19세,"12,649",354,360,"1,133",278,204,301,144,335,"1,216","4,812","3,389",123
2020년12월_계_20~29세,"19,133",649,546,"1,619",444,375,626,296,509,"2,108","4,006","7,666",289
2020년12월_계_30~39세,"21,309",606,529,"1,606",383,297,642,240,464,"2,288","9,014","4,956",284
2020년12월_계_40~49세,"24,596",856,822,"2,045",560,498,803,413,611,"2,544","9,336","5,613",495
2020년12월_계_50~59세,"20,446","1,322",892,"2,314",741,644,"1,120",513,826,"2,805","4,513","3,839",917
2020년12월_계_60~69세,"15,926","1,287",847,"1,999",738,611,"1,091",560,801,"2,295","2,818","1,836","1,043"
2020년12월_계_70~79세,"9,320",648,652,"1,193",529,440,731,407,530,"1,016","1,360","1,207",607
2020년12월_계_80~89세,"3,762",294,320,501,196,163,340,172,218,429,449,464,216
2020년12월_계_90~99세,612,57,54,76,34,32,72,25,36,83,63,41,39
2020년12월_계_100세 이상,81,4,8,6,3,3,14,10,12,13,2,1,5
2020년12월_남_총인구수,"72,485","3,406","2,673","6,774","2,066","1,741","3,119","1,490","2,242","8,726","21,872","16,089","2,287"
2020년12월_남_연령구간인구수,"72,485","3,406","2,673","6,774","2,066","1,741","3,119","1,490","2,242","8,726","21,872","16,089","2,287"
2020년12월_남_0~9세,"6,128",125,147,414,64,64,86,61,95,478,"3,636",919,39
2020년12월_남_10~19세,"6,562",173,184,590,154,98,158,70,164,641,"2,478","1,794",58
2020년12월_남_20~29세,"9,704",380,295,862,250,208,338,169,275,"1,197","1,968","3,575",187
2020년12월_남_30~39세,"11,572",357,292,858,213,173,375,147,262,"1,387","4,387","2,937",184
2020년12월_남_40~49세,"13,444",511,445,"1,087",311,272,471,225,343,"1,506","4,948","3,001",324
2020년12월_남_50~59세,"11,261",756,477,"1,238",391,368,655,290,426,"1,587","2,331","2,206",536
2020년12월_남_60~69세,"7,955",679,407,995,356,299,566,278,365,"1,242","1,285",928,555
2020년12월_남_70~79세,"4,333",302,292,529,243,202,339,169,229,516,667,527,318
2020년12월_남_80~89세,"1,348",107,116,183,71,53,109,67,66,149,158,190,79
2020년12월_남_90~99세,152,15,17,15,13,4,18,11,10,18,13,11,7
2020년12월_남_100세 이상,26,1,1,3,0,0,4,3,7,5,1,1,0
2020년12월_여_총인구수,"67,244","2,909","2,610","6,555","1,977","1,633","2,809","1,381","2,293","6,998","21,575","14,687","1,817"
2020년12월_여_연령구간인구수,"67,244","2,909","2,610","6,555","1,977","1,633","2,809","1,381","2,293","6,998","21,575","14,687","1,817"
2020년12월_여_0~9세,"5,767",113,106,423,73,43,102,30,98,449,"3,438",845,47
2020년12월_여_10~19세,"6,087",181,176,543,124,106,143,74,171,575,"2,334","1,595",65
2020년12월_여_20~29세,"9,429",269,251,757,194,167,288,127,234,911,"2,038","4,091",102
2020년12월_여_30~39세,"9,737",249,237,748,170,124,267,93,202,901,"4,627","2,019",100
2020년12월_여_40~49세,"11,152",345,377,958,249,226,332,188,268,"1,038","4,388","2,612",171
2020년12월_여_50~59세,"9,185",566,415,"1,076",350,276,465,223,400,"1,218","2,182","1,633",381
2020년12월_여_60~69세,"7,971",608,440,"1,004",382,312,525,282,436,"1,053","1,533",908,488
2020년12월_여_70~79세,"4,987",346,360,664,286,238,392,238,301,500,693,680,289
2020년12월_여_80~89세,"2,414",187,204,318,125,110,231,105,152,280,291,274,137
2020년12월_여_90~99세,460,42,37,61,21,28,54,14,26,65,50,30,32
2020년12월_여_100세 이상,55,3,7,3,3,3,10,7,5,8,1,0,5
