카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년02월_계_총인구수,"198,921","31,351","38,811","23,539","16,501","22,543","19,387","24,676","22,113"
2020년02월_계_연령구간인구수,"198,921","31,351","38,811","23,539","16,501","22,543","19,387","24,676","22,113"
2020년02월_계_0~9세,"16,097","4,767","3,062","1,795",804,"1,760",879,"1,319","1,711"
2020년02월_계_10~19세,"18,890","2,192","4,265","2,428","1,171","2,859","1,460","2,117","2,398"
2020년02월_계_20~29세,"27,373","3,332","5,654","3,351","2,234","3,051","3,019","3,745","2,987"
2020년02월_계_30~39세,"27,328","6,518","4,818","2,997","2,095","2,594","2,347","3,019","2,940"
2020년02월_계_40~49세,"33,508","5,392","6,691","4,042","2,558","4,094","2,852","3,660","4,219"
2020년02월_계_50~59세,"35,942","4,195","7,354","4,317","3,325","3,926","4,026","4,930","3,869"
2020년02월_계_60~69세,"22,927","3,098","3,896","2,528","2,409","2,504","2,841","3,421","2,230"
2020년02월_계_70~79세,"11,523","1,371","2,025","1,427","1,290","1,181","1,364","1,665","1,200"
2020년02월_계_80~89세,"4,624",405,925,570,516,516,518,692,482
2020년02월_계_90~99세,636,77,115,77,75,54,73,95,70
2020년02월_계_100세 이상,73,4,6,7,24,4,8,13,7
2020년02월_남_총인구수,"98,807","15,576","19,141","11,583","8,412","10,947","9,670","12,353","11,125"
2020년02월_남_연령구간인구수,"98,807","15,576","19,141","11,583","8,412","10,947","9,670","12,353","11,125"
2020년02월_남_0~9세,"8,306","2,478","1,615",918,415,880,457,661,882
2020년02월_남_10~19세,"9,774","1,072","2,255","1,266",575,"1,459",762,"1,132","1,253"
2020년02월_남_20~29세,"14,001","1,646","2,888","1,679","1,160","1,571","1,526","1,960","1,571"
2020년02월_남_30~39세,"13,846","3,194","2,408","1,493","1,155","1,245","1,265","1,607","1,479"
2020년02월_남_40~49세,"16,655","2,853","3,182","1,964","1,371","1,887","1,432","1,885","2,081"
2020년02월_남_50~59세,"17,730","1,992","3,584","2,128","1,701","1,915","2,006","2,432","1,972"
2020년02월_남_60~69세,"11,494","1,526","1,985","1,264","1,207","1,234","1,445","1,675","1,158"
2020년02월_남_70~79세,"5,137",676,844,635,598,537,582,737,528
2020년02월_남_80~89세,"1,681",122,348,204,197,207,175,243,185
2020년02월_남_90~99세,160,16,30,29,23,12,18,17,15
2020년02월_남_100세 이상,23,1,2,3,10,0,2,4,1
2020년02월_여_총인구수,"100,114","15,775","19,670","11,956","8,089","11,596","9,717","12,323","10,988"
2020년02월_여_연령구간인구수,"100,114","15,775","19,670","11,956","8,089","11,596","9,717","12,323","10,988"
2020년02월_여_0~9세,"7,791","2,289","1,447",877,389,880,422,658,829
2020년02월_여_10~19세,"9,116","1,120","2,010","1,162",596,"1,400",698,985,"1,145"
2020년02월_여_20~29세,"13,372","1,686","2,766","1,672","1,074","1,480","1,493","1,785","1,416"
2020년02월_여_30~39세,"13,482","3,324","2,410","1,504",940,"1,349","1,082","1,412","1,461"
2020년02월_여_40~49세,"16,853","2,539","3,509","2,078","1,187","2,207","1,420","1,775","2,138"
2020년02월_여_50~59세,"18,212","2,203","3,770","2,189","1,624","2,011","2,020","2,498","1,897"
2020년02월_여_60~69세,"11,433","1,572","1,911","1,264","1,202","1,270","1,396","1,746","1,072"
2020년02월_여_70~79세,"6,386",695,"1,181",792,692,644,782,928,672
2020년02월_여_80~89세,"2,943",283,577,366,319,309,343,449,297
2020년02월_여_90~99세,476,61,85,48,52,42,55,78,55
2020년02월_여_100세 이상,50,3,4,4,14,4,6,9,6
