카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년05월_계_총인구수,"548,131","27,818","43,643","24,107","27,083","11,305","3,663","26,683","6,670","5,218","44,098","25,350","20,109","12,720","22,026","7,025","5,680","22,735","10,568","4,111","88,212","54,058","25,744","29,505"
2021년05월_계_연령구간인구수,"548,131","27,818","43,643","24,107","27,083","11,305","3,663","26,683","6,670","5,218","44,098","25,350","20,109","12,720","22,026","7,025","5,680","22,735","10,568","4,111","88,212","54,058","25,744","29,505"
2021년05월_계_0~9세,"49,419","1,609","3,832","1,824","3,973",477,112,"2,976",301,143,"2,828","1,261","2,347",685,"1,583",584,165,"1,014",520,129,"11,295","5,716","3,427","2,618"
2021년05월_계_10~19세,"53,778","1,819","5,744","1,929","3,277",805,205,"2,063",488,287,"4,809","2,270","1,833",885,"2,177",485,270,"1,713",640,220,"9,598","6,193","3,167","2,901"
2021년05월_계_20~29세,"75,712","3,117","5,906","3,174","2,414","1,493",346,"4,142",697,428,"7,281","3,691","2,633","2,529","2,916","1,024",703,"3,971","1,614",611,"11,663","7,323","3,574","4,462"
2021년05월_계_30~39세,"82,868","3,105","5,557","3,869","4,809","1,363",330,"5,239",612,343,"5,375","3,060","3,408","2,276","2,614","1,231",627,"2,949","1,477",432,"17,017","8,071","4,757","4,347"
2021년05월_계_40~49세,"95,107","4,032","8,451","4,578","5,542","1,655",470,"4,295",884,593,"7,509","4,093","3,686","2,113","3,706","1,143",763,"3,391","1,557",519,"16,807","9,439","5,213","4,668"
2021년05월_계_50~59세,"88,395","5,041","7,055","3,908","3,012","2,092",676,"3,895","1,256",951,"8,190","4,812","3,239","1,952","4,045","1,073","1,000","4,219","1,863",783,"11,957","8,732","3,269","5,375"
2021년05월_계_60~69세,"57,849","4,625","3,965","2,760","2,278","1,834",762,"2,361","1,219","1,148","4,660","3,356","1,819","1,229","2,835",758,"1,012","3,068","1,557",752,"6,175","5,103","1,518","3,055"
2021년05월_계_70~79세,"28,445","2,715","1,954","1,299","1,094","1,024",463,"1,075",693,781,"2,227","1,810",711,701,"1,364",454,689,"1,580",865,449,"2,441","2,212",536,"1,308"
2021년05월_계_80~89세,"14,511","1,566","1,030",647,572,498,268,537,453,471,"1,085",886,371,313,671,236,364,748,425,189,"1,107","1,142",247,685
2021년05월_계_90~99세,"1,955",179,145,115,108,62,31,99,66,71,131,107,61,35,102,36,64,80,49,26,148,119,36,85
2021년05월_계_100세 이상,92,10,4,4,4,2,0,1,1,2,3,4,1,2,13,1,23,2,1,1,4,8,0,1
2021년05월_남_총인구수,"284,559","14,491","22,523","14,516","14,321","6,223","2,011","14,138","3,581","2,759","22,698","12,848","10,522","6,964","11,050","3,645","2,885","11,773","5,503","2,147","44,778","26,820","13,490","14,873"
2021년05월_남_연령구간인구수,"284,559","14,491","22,523","14,516","14,321","6,223","2,011","14,138","3,581","2,759","22,698","12,848","10,522","6,964","11,050","3,645","2,885","11,773","5,503","2,147","44,778","26,820","13,490","14,873"
2021년05월_남_0~9세,"25,143",823,"1,899",907,"2,040",235,56,"1,476",171,80,"1,411",623,"1,206",336,793,300,91,528,255,61,"5,755","2,916","1,821","1,360"
2021년05월_남_10~19세,"27,760",955,"2,900","1,028","1,697",428,120,"1,035",248,147,"2,476","1,175",909,434,"1,105",251,151,914,329,127,"4,969","3,240","1,645","1,477"
2021년05월_남_20~29세,"41,656","1,776","3,197","2,059","1,342",919,222,"2,434",410,256,"4,101","2,014","1,452","1,457","1,601",572,388,"2,148",912,351,"6,008","3,783","1,897","2,357"
2021년05월_남_30~39세,"45,339","1,757","3,063","2,600","2,492",878,185,"2,897",378,203,"3,057","1,734","1,779","1,401","1,322",671,380,"1,722",876,267,"8,779","4,068","2,521","2,309"
2021년05월_남_40~49세,"50,855","2,237","4,333","2,997","3,135",987,310,"2,378",534,372,"3,821","2,180","2,036","1,217","1,936",640,462,"1,803",828,285,"8,647","4,587","2,754","2,376"
2021년05월_남_50~59세,"46,569","2,824","3,869","2,483","1,710","1,145",385,"2,019",715,553,"4,194","2,439","1,679","1,069","2,042",567,536,"2,166",991,419,"6,076","4,284","1,744","2,660"
2021년05월_남_60~69세,"29,093","2,314","2,027","1,549","1,149",961,419,"1,179",637,598,"2,301","1,585",981,627,"1,416",384,467,"1,500",766,362,"3,041","2,522",778,"1,530"
2021년05월_남_70~79세,"12,507","1,185",842,638,541,481,217,516,316,377,950,745,326,294,566,167,264,689,374,196,"1,093",940,245,545
2021년05월_남_80~89세,"5,158",578,363,227,191,175,90,188,151,159,357,316,141,123,236,84,121,282,162,72,374,447,79,242
2021년05월_남_90~99세,453,39,30,28,24,14,7,15,21,14,30,35,13,6,26,8,15,21,10,7,35,32,6,17
2021년05월_남_100세 이상,26,3,0,0,0,0,0,1,0,0,0,2,0,0,7,1,10,0,0,0,1,1,0,0
2021년05월_여_총인구수,"263,572","13,327","21,120","9,591","12,762","5,082","1,652","12,545","3,089","2,459","21,400","12,502","9,587","5,756","10,976","3,380","2,795","10,962","5,065","1,964","43,434","27,238","12,254","14,632"
2021년05월_여_연령구간인구수,"263,572","13,327","21,120","9,591","12,762","5,082","1,652","12,545","3,089","2,459","21,400","12,502","9,587","5,756","10,976","3,380","2,795","10,962","5,065","1,964","43,434","27,238","12,254","14,632"
2021년05월_여_0~9세,"24,276",786,"1,933",917,"1,933",242,56,"1,500",130,63,"1,417",638,"1,141",349,790,284,74,486,265,68,"5,540","2,800","1,606","1,258"
2021년05월_여_10~19세,"26,018",864,"2,844",901,"1,580",377,85,"1,028",240,140,"2,333","1,095",924,451,"1,072",234,119,799,311,93,"4,629","2,953","1,522","1,424"
2021년05월_여_20~29세,"34,056","1,341","2,709","1,115","1,072",574,124,"1,708",287,172,"3,180","1,677","1,181","1,072","1,315",452,315,"1,823",702,260,"5,655","3,540","1,677","2,105"
2021년05월_여_30~39세,"37,529","1,348","2,494","1,269","2,317",485,145,"2,342",234,140,"2,318","1,326","1,629",875,"1,292",560,247,"1,227",601,165,"8,238","4,003","2,236","2,038"
2021년05월_여_40~49세,"44,252","1,795","4,118","1,581","2,407",668,160,"1,917",350,221,"3,688","1,913","1,650",896,"1,770",503,301,"1,588",729,234,"8,160","4,852","2,459","2,292"
2021년05월_여_50~59세,"41,826","2,217","3,186","1,425","1,302",947,291,"1,876",541,398,"3,996","2,373","1,560",883,"2,003",506,464,"2,053",872,364,"5,881","4,448","1,525","2,715"
2021년05월_여_60~69세,"28,756","2,311","1,938","1,211","1,129",873,343,"1,182",582,550,"2,359","1,771",838,602,"1,419",374,545,"1,568",791,390,"3,134","2,581",740,"1,525"
2021년05월_여_70~79세,"15,938","1,530","1,112",661,553,543,246,559,377,404,"1,277","1,065",385,407,798,287,425,891,491,253,"1,348","1,272",291,763
2021년05월_여_80~89세,"9,353",988,667,420,381,323,178,349,302,312,728,570,230,190,435,152,243,466,263,117,733,695,168,443
2021년05월_여_90~99세,"1,502",140,115,87,84,48,24,84,45,57,101,72,48,29,76,28,49,59,39,19,113,87,30,68
2021년05월_여_100세 이상,66,7,4,4,4,2,0,0,1,2,3,2,1,2,6,0,13,2,1,1,3,7,0,1
