,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년07월_계_총인구수,"544,147","46,295","41,713","31,568","49,055","28,853","28,403","6,696","9,975","22,890","13,583","14,912","32,433","12,096","20,689","16,633","10,988","33,102","22,978","24,632","28,443","24,829","23,381"
2020년07월_계_연령구간인구수,"544,147","46,295","41,713","31,568","49,055","28,853","28,403","6,696","9,975","22,890","13,583","14,912","32,433","12,096","20,689","16,633","10,988","33,102","22,978","24,632","28,443","24,829","23,381"
2020년07월_계_0~9세,"51,598","4,872","2,519","4,023","7,053","4,589","3,372",356,505,"1,289",768,663,"2,847",603,"1,463",708,792,"2,796","2,029","2,659","3,086","2,378","2,228"
2020년07월_계_10~19세,"57,019","4,480","3,657","4,402","6,230","3,663","2,141",453,797,"1,630",952,"1,303","3,081",893,"1,985","1,330",796,"3,461","2,904","3,502","3,343","2,709","3,307"
2020년07월_계_20~29세,"73,145","6,606","6,629","3,865","5,822","3,078","3,525","1,056","1,626","3,330","1,771","2,337","4,398","1,701","3,071","2,359","1,452","4,739","2,867","2,719","3,845","3,174","3,175"
2020년07월_계_30~39세,"81,035","8,573","5,063","6,031","8,506","5,390","5,040",916,"1,206","2,969","1,623","1,597","4,568","1,513","2,640","1,894","1,704","4,755","2,636","3,480","4,680","3,316","2,935"
2020년07월_계_40~49세,"96,126","8,587","6,477","6,500","9,934","5,763","4,540",861,"1,359","3,362","1,934","2,251","5,069","1,893","3,062","2,302","1,636","5,963","4,568","5,632","5,522","4,371","4,540"
2020년07월_계_50~59세,"93,241","6,862","8,764","3,957","6,543","3,737","4,683","1,627","2,309","4,780","2,799","3,177","6,107","2,549","4,043","3,419","2,039","5,792","3,873","3,490","4,461","4,420","3,810"
2020년07월_계_60~69세,"56,204","3,916","5,048","1,810","3,322","1,819","3,193",973,"1,391","3,389","2,236","2,130","4,157","1,730","2,802","2,751","1,610","3,316","2,153","1,756","2,091","2,656","1,955"
2020년07월_계_70~79세,"24,006","1,690","2,250",642,"1,141",542,"1,287",288,509,"1,461","1,023",983,"1,547",842,"1,066","1,262",633,"1,547","1,292",944,932,"1,179",946
2020년07월_계_80~89세,"10,050",604,"1,102",294,428,225,524,126,245,577,412,416,554,325,466,523,263,625,600,385,421,523,412
2020년07월_계_90~99세,"1,622",98,194,42,73,46,91,33,26,93,61,54,98,44,89,79,57,98,50,61,60,102,73
2020년07월_계_100세 이상,101,7,10,2,3,1,7,7,2,10,4,1,7,3,2,6,6,10,6,4,2,1,0
2020년07월_남_총인구수,"274,755","23,530","21,241","15,693","24,434","14,269","14,287","3,520","5,018","11,786","7,054","7,530","16,230","6,445","10,069","8,479","5,652","17,126","11,582","12,480","14,180","12,657","11,493"
2020년07월_남_연령구간인구수,"274,755","23,530","21,241","15,693","24,434","14,269","14,287","3,520","5,018","11,786","7,054","7,530","16,230","6,445","10,069","8,479","5,652","17,126","11,582","12,480","14,180","12,657","11,493"
2020년07월_남_0~9세,"26,637","2,519","1,270","2,109","3,658","2,361","1,780",177,254,656,387,376,"1,438",330,750,365,391,"1,468","1,017","1,410","1,569","1,209","1,143"
2020년07월_남_10~19세,"29,188","2,361","1,899","2,204","3,188","1,866","1,109",236,413,853,502,629,"1,529",456,985,693,434,"1,776","1,483","1,801","1,729","1,405","1,637"
2020년07월_남_20~29세,"37,987","3,384","3,559","1,885","2,951","1,535","1,786",597,860,"1,810",996,"1,246","2,246",923,"1,607","1,249",738,"2,531","1,515","1,393","1,926","1,674","1,576"
2020년07월_남_30~39세,"41,377","4,396","2,692","2,952","4,026","2,502","2,551",514,676,"1,695",891,900,"2,333",884,"1,328","1,079",906,"2,594","1,349","1,694","2,323","1,655","1,437"
2020년07월_남_40~49세,"48,992","4,474","3,299","3,205","4,962","2,881","2,411",474,677,"1,842","1,057","1,172","2,589","1,056","1,463","1,168",853,"3,055","2,302","2,834","2,757","2,255","2,206"
2020년07월_남_50~59세,"47,295","3,449","4,438","2,045","3,266","1,845","2,308",832,"1,110","2,376","1,433","1,584","3,028","1,377","1,882","1,722","1,048","3,073","2,055","1,939","2,265","2,286","1,934"
2020년07월_남_60~69세,"28,644","1,941","2,657",927,"1,692",963,"1,585",517,736,"1,700","1,158","1,046","2,117",920,"1,417","1,396",871,"1,700","1,046",822,"1,042","1,418",973
2020년07월_남_70~79세,"11,021",780,983,266,533,249,600,138,212,674,486,446,757,375,478,615,314,708,569,422,402,573,441
2020년07월_남_80~89세,"3,268",202,395,96,143,61,141,28,75,157,130,123,180,109,139,172,80,204,230,155,149,167,132
2020년07월_남_90~99세,313,20,45,4,14,5,14,4,5,19,14,8,12,13,20,19,15,14,14,9,17,14,14
2020년07월_남_100세 이상,33,4,4,0,1,1,2,3,0,4,0,0,1,2,0,1,2,3,2,1,1,1,0
2020년07월_여_총인구수,"269,392","22,765","20,472","15,875","24,621","14,584","14,116","3,176","4,957","11,104","6,529","7,382","16,203","5,651","10,620","8,154","5,336","15,976","11,396","12,152","14,263","12,172","11,888"
2020년07월_여_연령구간인구수,"269,392","22,765","20,472","15,875","24,621","14,584","14,116","3,176","4,957","11,104","6,529","7,382","16,203","5,651","10,620","8,154","5,336","15,976","11,396","12,152","14,263","12,172","11,888"
2020년07월_여_0~9세,"24,961","2,353","1,249","1,914","3,395","2,228","1,592",179,251,633,381,287,"1,409",273,713,343,401,"1,328","1,012","1,249","1,517","1,169","1,085"
2020년07월_여_10~19세,"27,831","2,119","1,758","2,198","3,042","1,797","1,032",217,384,777,450,674,"1,552",437,"1,000",637,362,"1,685","1,421","1,701","1,614","1,304","1,670"
2020년07월_여_20~29세,"35,158","3,222","3,070","1,980","2,871","1,543","1,739",459,766,"1,520",775,"1,091","2,152",778,"1,464","1,110",714,"2,208","1,352","1,326","1,919","1,500","1,599"
2020년07월_여_30~39세,"39,658","4,177","2,371","3,079","4,480","2,888","2,489",402,530,"1,274",732,697,"2,235",629,"1,312",815,798,"2,161","1,287","1,786","2,357","1,661","1,498"
2020년07월_여_40~49세,"47,134","4,113","3,178","3,295","4,972","2,882","2,129",387,682,"1,520",877,"1,079","2,480",837,"1,599","1,134",783,"2,908","2,266","2,798","2,765","2,116","2,334"
2020년07월_여_50~59세,"45,946","3,413","4,326","1,912","3,277","1,892","2,375",795,"1,199","2,404","1,366","1,593","3,079","1,172","2,161","1,697",991,"2,719","1,818","1,551","2,196","2,134","1,876"
2020년07월_여_60~69세,"27,560","1,975","2,391",883,"1,630",856,"1,608",456,655,"1,689","1,078","1,084","2,040",810,"1,385","1,355",739,"1,616","1,107",934,"1,049","1,238",982
2020년07월_여_70~79세,"12,985",910,"1,267",376,608,293,687,150,297,787,537,537,790,467,588,647,319,839,723,522,530,606,505
2020년07월_여_80~89세,"6,782",402,707,198,285,164,383,98,170,420,282,293,374,216,327,351,183,421,370,230,272,356,280
2020년07월_여_90~99세,"1,309",78,149,38,59,41,77,29,21,74,47,46,86,31,69,60,42,84,36,52,43,88,59
2020년07월_여_100세 이상,68,3,6,2,2,0,5,4,2,6,4,1,6,1,2,5,4,7,4,3,1,0,0
