카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년03월_계_총인구수,"480,275","26,865","46,957","28,968","9,771","5,493","8,162","61,913","39,134","22,798","62,176","41,217","42,792","34,364","49,665"
2021년03월_계_연령구간인구수,"480,275","26,865","46,957","28,968","9,771","5,493","8,162","61,913","39,134","22,798","62,176","41,217","42,792","34,364","49,665"
2021년03월_계_0~9세,"55,429","1,660","6,409","2,300",327,141,264,"6,012","4,928","1,566","6,749","5,658","6,461","5,398","7,556"
2021년03월_계_10~19세,"48,432","2,295","4,472","2,510",524,242,442,"6,400","5,497","2,081","6,983","5,042","3,699","2,984","5,261"
2021년03월_계_20~29세,"52,833","3,298","4,382","2,948",913,520,802,"7,899","3,946","3,179","7,805","3,968","5,539","3,025","4,609"
2021년03월_계_30~39세,"76,700","2,912","8,639","3,857",848,399,654,"8,369","5,566","2,840","9,215","6,711","9,991","7,592","9,107"
2021년03월_계_40~49세,"90,022","4,014","8,909","4,831","1,239",600,868,"10,803","8,406","3,759","11,684","9,061","8,244","6,722","10,882"
2021년03월_계_50~59세,"67,621","5,160","5,935","4,999","2,162","1,147","1,679","10,428","5,069","4,229","8,939","4,861","3,986","3,368","5,659"
2021년03월_계_60~69세,"50,872","4,260","5,038","4,304","2,097","1,302","1,777","6,797","3,205","2,871","6,026","3,356","2,967","2,981","3,891"
2021년03월_계_70~79세,"25,999","2,044","2,199","2,152","1,058",708,"1,035","3,432","1,757","1,503","3,272","1,806","1,388","1,698","1,947"
2021년03월_계_80~89세,"10,746","1,057",829,915,516,354,555,"1,569",667,677,"1,340",663,445,509,650
2021년03월_계_90~99세,"1,568",160,137,148,86,77,80,200,91,87,156,88,70,85,103
2021년03월_계_100세 이상,53,5,8,4,1,3,6,4,2,6,7,3,2,2,0
2021년03월_남_총인구수,"240,514","14,363","23,426","15,277","5,714","3,025","4,443","30,482","19,100","11,443","30,373","20,219","21,323","17,016","24,310"
2021년03월_남_연령구간인구수,"240,514","14,363","23,426","15,277","5,714","3,025","4,443","30,482","19,100","11,443","30,373","20,219","21,323","17,016","24,310"
2021년03월_남_0~9세,"28,198",851,"3,339","1,148",177,67,141,"2,992","2,463",830,"3,434","2,894","3,263","2,746","3,853"
2021년03월_남_10~19세,"24,722","1,248","2,328","1,298",284,118,245,"3,269","2,792","1,096","3,576","2,464","1,811","1,496","2,697"
2021년03월_남_20~29세,"27,181","1,986","2,179","1,605",572,322,484,"4,191","1,988","1,686","3,766","2,039","2,659","1,473","2,231"
2021년03월_남_30~39세,"37,635","1,634","4,117","2,142",539,231,392,"4,040","2,567","1,470","4,405","3,167","5,028","3,769","4,134"
2021년03월_남_40~49세,"46,856","2,249","4,631","2,735",790,373,538,"5,309","4,137","1,917","5,771","4,630","4,479","3,626","5,671"
2021년03월_남_50~59세,"34,553","2,788","2,942","2,747","1,380",662,957,"5,168","2,573","2,110","4,451","2,448","1,928","1,611","2,788"
2021년03월_남_60~69세,"24,775","2,263","2,426","2,215","1,211",715,958,"3,372","1,483","1,385","2,854","1,520","1,341","1,288","1,744"
2021년03월_남_70~79세,"12,147",927,"1,122","1,022",534,388,491,"1,501",807,678,"1,543",802,632,791,909
2021년03월_남_80~89세,"4,063",370,313,334,206,133,211,587,267,254,533,239,167,193,256
2021년03월_남_90~99세,370,45,28,29,21,16,24,52,22,17,38,15,14,22,27
2021년03월_남_100세 이상,14,2,1,2,0,0,2,1,1,0,2,1,1,1,0
2021년03월_여_총인구수,"239,761","12,502","23,531","13,691","4,057","2,468","3,719","31,431","20,034","11,355","31,803","20,998","21,469","17,348","25,355"
2021년03월_여_연령구간인구수,"239,761","12,502","23,531","13,691","4,057","2,468","3,719","31,431","20,034","11,355","31,803","20,998","21,469","17,348","25,355"
2021년03월_여_0~9세,"27,231",809,"3,070","1,152",150,74,123,"3,020","2,465",736,"3,315","2,764","3,198","2,652","3,703"
2021년03월_여_10~19세,"23,710","1,047","2,144","1,212",240,124,197,"3,131","2,705",985,"3,407","2,578","1,888","1,488","2,564"
2021년03월_여_20~29세,"25,652","1,312","2,203","1,343",341,198,318,"3,708","1,958","1,493","4,039","1,929","2,880","1,552","2,378"
2021년03월_여_30~39세,"39,065","1,278","4,522","1,715",309,168,262,"4,329","2,999","1,370","4,810","3,544","4,963","3,823","4,973"
2021년03월_여_40~49세,"43,166","1,765","4,278","2,096",449,227,330,"5,494","4,269","1,842","5,913","4,431","3,765","3,096","5,211"
2021년03월_여_50~59세,"33,068","2,372","2,993","2,252",782,485,722,"5,260","2,496","2,119","4,488","2,413","2,058","1,757","2,871"
2021년03월_여_60~69세,"26,097","1,997","2,612","2,089",886,587,819,"3,425","1,722","1,486","3,172","1,836","1,626","1,693","2,147"
2021년03월_여_70~79세,"13,852","1,117","1,077","1,130",524,320,544,"1,931",950,825,"1,729","1,004",756,907,"1,038"
2021년03월_여_80~89세,"6,683",687,516,581,310,221,344,982,400,423,807,424,278,316,394
2021년03월_여_90~99세,"1,198",115,109,119,65,61,56,148,69,70,118,73,56,63,76
2021년03월_여_100세 이상,39,3,7,2,1,3,4,3,1,6,5,2,1,1,0
