카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년06월_계_총인구수,"64,073","9,666","3,267","1,719","5,108","1,295",719,"1,840",687,661,"7,562","14,513","9,047","7,989"
2021년06월_계_연령구간인구수,"64,073","9,666","3,267","1,719","5,108","1,295",719,"1,840",687,661,"7,562","14,513","9,047","7,989"
2021년06월_계_0~9세,"3,681",310,83,42,105,20,9,41,11,14,271,"1,626",632,517
2021년06월_계_10~19세,"5,057",784,134,63,201,38,9,71,25,12,481,"1,691",821,727
2021년06월_계_20~29세,"6,943","1,697",232,126,335,62,33,83,28,21,712,"1,847","1,013",754
2021년06월_계_30~39세,"5,432",497,202,86,267,66,21,82,21,33,585,"1,973",893,706
2021년06월_계_40~49세,"8,637","1,031",368,191,452,129,60,192,76,67,926,"2,501","1,479","1,165"
2021년06월_계_50~59세,"11,039","1,605",607,343,975,277,137,339,125,125,"1,377","2,288","1,532","1,309"
2021년06월_계_60~69세,"11,534","1,875",727,381,"1,230",384,200,447,182,175,"1,625","1,509","1,352","1,447"
2021년06월_계_70~79세,"7,068","1,198",509,295,811,175,135,319,128,122,"1,015",692,841,828
2021년06월_계_80~89세,"4,045",603,343,166,606,128,91,231,79,83,506,326,411,472
2021년06월_계_90~99세,611,63,54,26,121,16,24,35,12,9,62,58,68,63
2021년06월_계_100세 이상,26,3,8,0,5,0,0,0,0,0,2,2,5,1
2021년06월_남_총인구수,"32,380","4,787","1,718",861,"2,621",707,389,959,350,358,"3,717","7,381","4,592","3,940"
2021년06월_남_연령구간인구수,"32,380","4,787","1,718",861,"2,621",707,389,959,350,358,"3,717","7,381","4,592","3,940"
2021년06월_남_0~9세,"1,872",150,46,19,57,12,4,23,9,7,142,824,316,263
2021년06월_남_10~19세,"2,590",356,66,35,120,20,3,46,12,5,252,869,434,372
2021년06월_남_20~29세,"3,876",883,158,73,212,31,23,56,16,11,400,"1,031",565,417
2021년06월_남_30~39세,"2,931",263,133,55,168,46,13,44,9,19,329,"1,019",459,374
2021년06월_남_40~49세,"4,745",587,236,114,289,97,43,137,49,51,497,"1,240",793,612
2021년06월_남_50~59세,"5,975",868,367,188,583,148,88,196,78,76,679,"1,189",858,657
2021년06월_남_60~69세,"5,804",967,387,200,626,213,118,240,85,99,762,759,654,694
2021년06월_남_70~79세,"3,120",519,210,115,353,82,59,147,59,57,466,310,369,374
2021년06월_남_80~89세,"1,344",179,103,55,196,55,33,66,31,32,174,126,129,165
2021년06월_남_90~99세,119,15,9,7,17,3,5,4,2,1,16,14,14,12
2021년06월_남_100세 이상,4,0,3,0,0,0,0,0,0,0,0,0,1,0
2021년06월_여_총인구수,"31,693","4,879","1,549",858,"2,487",588,330,881,337,303,"3,845","7,132","4,455","4,049"
2021년06월_여_연령구간인구수,"31,693","4,879","1,549",858,"2,487",588,330,881,337,303,"3,845","7,132","4,455","4,049"
2021년06월_여_0~9세,"1,809",160,37,23,48,8,5,18,2,7,129,802,316,254
2021년06월_여_10~19세,"2,467",428,68,28,81,18,6,25,13,7,229,822,387,355
2021년06월_여_20~29세,"3,067",814,74,53,123,31,10,27,12,10,312,816,448,337
2021년06월_여_30~39세,"2,501",234,69,31,99,20,8,38,12,14,256,954,434,332
2021년06월_여_40~49세,"3,892",444,132,77,163,32,17,55,27,16,429,"1,261",686,553
2021년06월_여_50~59세,"5,064",737,240,155,392,129,49,143,47,49,698,"1,099",674,652
2021년06월_여_60~69세,"5,730",908,340,181,604,171,82,207,97,76,863,750,698,753
2021년06월_여_70~79세,"3,948",679,299,180,458,93,76,172,69,65,549,382,472,454
2021년06월_여_80~89세,"2,701",424,240,111,410,73,58,165,48,51,332,200,282,307
2021년06월_여_90~99세,492,48,45,19,104,13,19,31,10,8,46,44,54,51
2021년06월_여_100세 이상,22,3,5,0,5,0,0,0,0,0,2,2,4,1
