,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면
2020년09월_계_총인구수,"222,713","20,381","28,585","28,723","70,951","19,460","8,439","7,758","4,230","3,159","7,959","21,245","1,823"
2020년09월_계_연령구간인구수,"222,713","20,381","28,585","28,723","70,951","19,460","8,439","7,758","4,230","3,159","7,959","21,245","1,823"
2020년09월_계_0~9세,"18,170","1,512","2,475","2,686","6,852","1,818",508,282,135,66,274,"1,511",51
2020년09월_계_10~19세,"22,610","1,652","2,806","3,302","10,050","1,571",520,407,198,118,418,"1,501",67
2020년09월_계_20~29세,"26,557","2,528","3,578","3,302","9,230","2,351",750,851,308,174,731,"2,630",124
2020년09월_계_30~39세,"26,209","2,841","3,317","3,671","7,833","2,916",904,633,290,208,573,"2,913",110
2020년09월_계_40~49세,"37,566","3,721","4,620","5,381","13,967","2,969","1,188",805,444,266,930,"3,104",171
2020년09월_계_50~59세,"41,763","3,969","5,270","5,075","12,860","3,517","1,628","1,715",915,565,"1,727","4,164",358
2020년09월_계_60~69세,"28,949","2,521","3,822","3,124","6,439","2,583","1,599","1,627","1,053",808,"1,770","3,133",470
2020년09월_계_70~79세,"13,538","1,085","1,721","1,418","2,541","1,139",888,915,532,543,961,"1,521",274
2020년09월_계_80~89세,"6,340",473,841,675,"1,038",505,396,453,296,348,486,660,169
2020년09월_계_90~99세,977,69,128,88,139,86,56,70,57,63,87,106,28
2020년09월_계_100세 이상,34,10,7,1,2,5,2,0,2,0,2,2,1
2020년09월_남_총인구수,"114,917","11,612","14,353","14,995","35,697","10,033","4,523","4,027","2,202","1,562","4,040","10,924",949
2020년09월_남_연령구간인구수,"114,917","11,612","14,353","14,995","35,697","10,033","4,523","4,027","2,202","1,562","4,040","10,924",949
2020년09월_남_0~9세,"9,294",777,"1,238","1,379","3,515",916,260,149,69,33,151,786,21
2020년09월_남_10~19세,"11,780",869,"1,429","1,700","5,266",789,279,228,109,57,231,785,38
2020년09월_남_20~29세,"15,077","1,564","2,032","1,847","5,112","1,272",454,504,181,105,421,"1,513",72
2020년09월_남_30~39세,"13,916","1,778","1,723","1,938","3,773","1,604",477,355,166,117,334,"1,589",62
2020년09월_남_40~49세,"19,221","2,282","2,274","2,822","6,497","1,527",745,456,259,160,480,"1,609",110
2020년09월_남_50~59세,"22,118","2,353","2,652","2,756","6,678","1,846",929,907,501,307,886,"2,099",204
2020년09월_남_60~69세,"14,982","1,335","1,911","1,680","3,344","1,361",807,836,556,422,900,"1,581",249
2020년09월_남_70~79세,"6,319",490,808,656,"1,168",531,417,438,262,242,468,710,129
2020년09월_남_80~89세,"2,031",150,264,200,321,170,144,137,89,109,157,230,60
2020년09월_남_90~99세,174,11,22,17,23,16,10,17,10,10,12,22,4
2020년09월_남_100세 이상,5,3,0,0,0,1,1,0,0,0,0,0,0
2020년09월_여_총인구수,"107,796","8,769","14,232","13,728","35,254","9,427","3,916","3,731","2,028","1,597","3,919","10,321",874
2020년09월_여_연령구간인구수,"107,796","8,769","14,232","13,728","35,254","9,427","3,916","3,731","2,028","1,597","3,919","10,321",874
2020년09월_여_0~9세,"8,876",735,"1,237","1,307","3,337",902,248,133,66,33,123,725,30
2020년09월_여_10~19세,"10,830",783,"1,377","1,602","4,784",782,241,179,89,61,187,716,29
2020년09월_여_20~29세,"11,480",964,"1,546","1,455","4,118","1,079",296,347,127,69,310,"1,117",52
2020년09월_여_30~39세,"12,293","1,063","1,594","1,733","4,060","1,312",427,278,124,91,239,"1,324",48
2020년09월_여_40~49세,"18,345","1,439","2,346","2,559","7,470","1,442",443,349,185,106,450,"1,495",61
2020년09월_여_50~59세,"19,645","1,616","2,618","2,319","6,182","1,671",699,808,414,258,841,"2,065",154
2020년09월_여_60~69세,"13,967","1,186","1,911","1,444","3,095","1,222",792,791,497,386,870,"1,552",221
2020년09월_여_70~79세,"7,219",595,913,762,"1,373",608,471,477,270,301,493,811,145
2020년09월_여_80~89세,"4,309",323,577,475,717,335,252,316,207,239,329,430,109
2020년09월_여_90~99세,803,58,106,71,116,70,46,53,47,53,75,84,24
2020년09월_여_100세 이상,29,7,7,1,2,4,1,0,2,0,2,2,1
