,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년09월_계_총인구수,"405,579","36,355","21,419","24,669","23,914","20,531","29,528","9,316","23,261","27,534","33,990","31,926","21,007","22,637","39,239","24,020","16,233"
2020년09월_계_연령구간인구수,"405,579","36,355","21,419","24,669","23,914","20,531","29,528","9,316","23,261","27,534","33,990","31,926","21,007","22,637","39,239","24,020","16,233"
2020년09월_계_0~9세,"28,894","3,643","1,950",938,"1,421",856,"1,882",240,"1,364","1,871","2,180","2,277","1,251","1,263","3,478","1,507","2,773"
2020년09월_계_10~19세,"30,506","3,568","1,986","1,450","1,437","1,144","1,629",315,"2,019","2,269","2,492","2,389","1,496","1,251","3,890","2,034","1,137"
2020년09월_계_20~29세,"55,577","4,360","2,868","3,265","4,146","2,879","5,086","1,436","3,308","3,652","4,585","3,861","2,634","3,947","4,700","3,107","1,743"
2020년09월_계_30~39세,"63,717","6,332","3,951","2,939","5,031","3,008","5,494","1,257","2,909","3,369","4,962","4,693","2,877","4,370","5,203","3,354","3,968"
2020년09월_계_40~49세,"63,608","6,527","3,662","3,558","4,022","3,019","4,170","1,215","3,576","4,354","4,957","4,867","3,258","3,195","6,807","3,842","2,579"
2020년09월_계_50~59세,"63,543","5,136","3,059","4,735","3,066","3,533","4,594","1,916","3,951","4,818","5,852","4,957","3,515","3,058","5,661","3,948","1,744"
2020년09월_계_60~69세,"55,325","4,016","2,548","3,995","2,551","3,083","3,748","1,625","3,485","3,928","5,019","5,007","3,407","2,977","4,971","3,530","1,435"
2020년09월_계_70~79세,"31,519","1,979",971,"2,661","1,567","2,116","2,076",865,"1,914","2,301","2,823","2,852","1,803","1,814","3,210","1,973",594
2020년09월_계_80~89세,"11,225",693,356,974,585,782,761,366,637,870,977,891,675,667,"1,150",625,216
2020년09월_계_90~99세,"1,491",92,64,123,67,94,86,58,92,94,136,123,79,90,161,89,43
2020년09월_계_100세 이상,174,9,4,31,21,17,2,23,6,8,7,9,12,5,8,11,1
2020년09월_남_총인구수,"200,268","17,771","10,511","12,419","12,185","9,989","14,328","5,062","11,608","13,624","17,014","15,597","10,264","11,077","18,944","11,878","7,997"
2020년09월_남_연령구간인구수,"200,268","17,771","10,511","12,419","12,185","9,989","14,328","5,062","11,608","13,624","17,014","15,597","10,264","11,077","18,944","11,878","7,997"
2020년09월_남_0~9세,"14,766","1,808","1,017",484,744,441,959,131,714,932,"1,088","1,178",627,627,"1,778",777,"1,461"
2020년09월_남_10~19세,"15,749","1,846","1,042",772,737,574,836,171,"1,036","1,180","1,267","1,198",793,642,"1,973","1,122",560
2020년09월_남_20~29세,"27,230","2,124","1,361","1,682","2,014","1,380","2,220",759,"1,727","1,868","2,360","1,945","1,343","1,742","2,292","1,595",818
2020년09월_남_30~39세,"32,504","3,024","1,996","1,620","2,712","1,557","2,730",736,"1,527","1,703","2,590","2,349","1,489","2,267","2,560","1,730","1,914"
2020년09월_남_40~49세,"32,646","3,201","1,842","1,883","2,222","1,540","2,141",684,"1,797","2,210","2,563","2,499","1,654","1,679","3,430","1,920","1,381"
2020년09월_남_50~59세,"31,364","2,535","1,435","2,461","1,615","1,777","2,315","1,140","1,939","2,379","2,901","2,328","1,638","1,522","2,697","1,875",807
2020년09월_남_60~69세,"26,140","1,924","1,184","1,911","1,152","1,409","1,818",882,"1,681","1,897","2,432","2,313","1,565","1,434","2,230","1,660",648
2020년09월_남_70~79세,"14,976","1,019",479,"1,183",736,959,981,407,924,"1,071","1,371","1,371",861,881,"1,467",947,319
2020년09월_남_80~89세,"4,482",269,135,393,226,321,304,130,240,358,411,376,268,266,475,231,79
2020년09월_남_90~99세,372,20,19,24,25,26,24,17,22,24,29,37,22,16,39,18,10
2020년09월_남_100세 이상,39,1,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020년09월_여_총인구수,"205,311","18,584","10,908","12,250","11,729","10,542","15,200","4,254","11,653","13,910","16,976","16,329","10,743","11,560","20,295","12,142","8,236"
2020년09월_여_연령구간인구수,"205,311","18,584","10,908","12,250","11,729","10,542","15,200","4,254","11,653","13,910","16,976","16,329","10,743","11,560","20,295","12,142","8,236"
2020년09월_여_0~9세,"14,128","1,835",933,454,677,415,923,109,650,939,"1,092","1,099",624,636,"1,700",730,"1,312"
2020년09월_여_10~19세,"14,757","1,722",944,678,700,570,793,144,983,"1,089","1,225","1,191",703,609,"1,917",912,577
2020년09월_여_20~29세,"28,347","2,236","1,507","1,583","2,132","1,499","2,866",677,"1,581","1,784","2,225","1,916","1,291","2,205","2,408","1,512",925
2020년09월_여_30~39세,"31,213","3,308","1,955","1,319","2,319","1,451","2,764",521,"1,382","1,666","2,372","2,344","1,388","2,103","2,643","1,624","2,054"
2020년09월_여_40~49세,"30,962","3,326","1,820","1,675","1,800","1,479","2,029",531,"1,779","2,144","2,394","2,368","1,604","1,516","3,377","1,922","1,198"
2020년09월_여_50~59세,"32,179","2,601","1,624","2,274","1,451","1,756","2,279",776,"2,012","2,439","2,951","2,629","1,877","1,536","2,964","2,073",937
2020년09월_여_60~69세,"29,185","2,092","1,364","2,084","1,399","1,674","1,930",743,"1,804","2,031","2,587","2,694","1,842","1,543","2,741","1,870",787
2020년09월_여_70~79세,"16,543",960,492,"1,478",831,"1,157","1,095",458,990,"1,230","1,452","1,481",942,933,"1,743","1,026",275
2020년09월_여_80~89세,"6,743",424,221,581,359,461,457,236,397,512,566,515,407,401,675,394,137
2020년09월_여_90~99세,"1,119",72,45,99,42,68,62,41,70,70,107,86,57,74,122,71,33
2020년09월_여_100세 이상,135,8,3,25,19,12,2,18,5,6,5,6,8,4,5,8,1
