카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2020년12월_계_총인구수,"355,831","43,100","2,729","3,160","6,245","8,865","6,703","7,481","5,686","3,578","2,442","19,233","29,430","39,495","23,562","29,568","34,431","32,423","19,397","10,973","27,330"
2020년12월_계_연령구간인구수,"355,831","43,100","2,729","3,160","6,245","8,865","6,703","7,481","5,686","3,578","2,442","19,233","29,430","39,495","23,562","29,568","34,431","32,423","19,397","10,973","27,330"
2020년12월_계_0~9세,"47,283","3,228",81,91,335,322,213,313,195,77,98,"2,630","4,290","5,659","3,569","4,689","6,042","5,761","3,196","1,639","4,855"
2020년12월_계_10~19세,"42,677","4,179",107,128,378,405,297,430,394,122,186,"3,338","3,875","5,266","4,306","4,206","4,787","3,393","2,505","1,065","3,310"
2020년12월_계_20~29세,"37,453","6,438",376,303,741,888,"1,002",881,563,284,275,"1,740","3,607","4,421","1,780","2,618","2,616","3,131","1,891","1,304","2,594"
2020년12월_계_30~39세,"61,492","5,442",340,280,732,886,852,725,526,258,187,"2,577","6,017","7,416","3,447","5,453","6,652","7,645","3,726","2,277","6,054"
2020년12월_계_40~49세,"68,831","6,892",330,330,830,"1,022",915,914,696,351,346,"4,488","6,058","8,408","5,968","6,320","7,495","6,184","3,906","1,888","5,490"
2020년12월_계_50~59세,"45,205","6,698",542,550,"1,111","1,629","1,271","1,269","1,053",712,447,"2,543","3,191","4,532","2,666","3,197","3,441","3,652","2,277","1,634","2,790"
2020년12월_계_60~69세,"30,139","5,360",510,683,"1,046","1,767","1,128","1,390","1,002",868,413,"1,187","1,621","2,265","1,179","1,909","2,314","1,832","1,281",807,"1,577"
2020년12월_계_70~79세,"14,392","3,113",261,416,624,"1,160",591,931,680,528,266,497,531,997,451,805,808,585,437,228,483
2020년12월_계_80~89세,"7,109","1,506",156,313,396,666,381,553,490,321,197,195,190,445,158,327,229,187,146,105,148
2020년12월_계_90~99세,"1,200",230,24,62,50,115,51,72,82,51,26,36,50,86,38,44,47,49,32,26,29
2020년12월_계_100세 이상,50,14,2,4,2,5,2,3,5,6,1,2,0,0,0,0,0,4,0,0,0
2020년12월_남_총인구수,"177,568","22,294","1,531","1,647","3,433","4,655","3,837","4,074","3,024","1,949","1,299","9,447","14,270","19,132","11,677","14,339","16,823","15,971","9,514","5,455","13,197"
2020년12월_남_연령구간인구수,"177,568","22,294","1,531","1,647","3,433","4,655","3,837","4,074","3,024","1,949","1,299","9,447","14,270","19,132","11,677","14,339","16,823","15,971","9,514","5,455","13,197"
2020년12월_남_0~9세,"24,188","1,667",40,43,169,151,113,152,101,34,55,"1,355","2,210","2,928","1,858","2,366","3,067","2,946","1,624",874,"2,435"
2020년12월_남_10~19세,"21,419","2,128",53,65,208,199,153,230,222,66,89,"1,676","1,876","2,636","2,230","2,087","2,449","1,638","1,267",538,"1,609"
2020년12월_남_20~29세,"19,050","3,625",220,191,486,519,628,568,333,165,165,899,"1,604","1,980",905,"1,207","1,263","1,519",910,656,"1,207"
2020년12월_남_30~39세,"30,004","2,987",232,161,451,531,576,456,320,166,115,"1,164","2,872","3,432","1,535","2,562","3,088","3,677","1,723","1,127","2,829"
2020년12월_남_40~49세,"35,188","3,683",212,204,509,627,613,552,418,218,211,"2,158","3,013","4,157","2,870","3,176","3,772","3,131","1,975",936,"2,753"
2020년12월_남_50~59세,"23,494","3,551",322,303,649,903,711,741,593,422,254,"1,321","1,604","2,341","1,438","1,598","1,639","1,803","1,149",794,"1,358"
2020년12월_남_60~69세,"14,935","2,655",280,374,529,921,609,729,541,492,221,580,780,"1,072",566,856,"1,072",929,608,389,732
2020년12월_남_70~79세,"6,602","1,362",119,191,269,553,287,414,295,264,116,225,250,447,213,372,379,276,217,114,239
2020년12월_남_80~89세,"2,415",568,53,99,145,226,135,214,187,112,67,59,51,122,51,102,84,44,37,25,34
2020년12월_남_90~99세,263,65,0,15,17,24,12,18,14,8,5,10,10,17,11,13,10,7,4,2,1
2020년12월_남_100세 이상,10,3,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
2020년12월_여_총인구수,"178,263","20,806","1,198","1,513","2,812","4,210","2,866","3,407","2,662","1,629","1,143","9,786","15,160","20,363","11,885","15,229","17,608","16,452","9,883","5,518","14,133"
2020년12월_여_연령구간인구수,"178,263","20,806","1,198","1,513","2,812","4,210","2,866","3,407","2,662","1,629","1,143","9,786","15,160","20,363","11,885","15,229","17,608","16,452","9,883","5,518","14,133"
2020년12월_여_0~9세,"23,095","1,561",41,48,166,171,100,161,94,43,43,"1,275","2,080","2,731","1,711","2,323","2,975","2,815","1,572",765,"2,420"
2020년12월_여_10~19세,"21,258","2,051",54,63,170,206,144,200,172,56,97,"1,662","1,999","2,630","2,076","2,119","2,338","1,755","1,238",527,"1,701"
2020년12월_여_20~29세,"18,403","2,813",156,112,255,369,374,313,230,119,110,841,"2,003","2,441",875,"1,411","1,353","1,612",981,648,"1,387"
2020년12월_여_30~39세,"31,488","2,455",108,119,281,355,276,269,206,92,72,"1,413","3,145","3,984","1,912","2,891","3,564","3,968","2,003","1,150","3,225"
2020년12월_여_40~49세,"33,643","3,209",118,126,321,395,302,362,278,133,135,"2,330","3,045","4,251","3,098","3,144","3,723","3,053","1,931",952,"2,737"
2020년12월_여_50~59세,"21,711","3,147",220,247,462,726,560,528,460,290,193,"1,222","1,587","2,191","1,228","1,599","1,802","1,849","1,128",840,"1,432"
2020년12월_여_60~69세,"15,204","2,705",230,309,517,846,519,661,461,376,192,607,841,"1,193",613,"1,053","1,242",903,673,418,845
2020년12월_여_70~79세,"7,790","1,751",142,225,355,607,304,517,385,264,150,272,281,550,238,433,429,309,220,114,244
2020년12월_여_80~89세,"4,694",938,103,214,251,440,246,339,303,209,130,136,139,323,107,225,145,143,109,80,114
2020년12월_여_90~99세,937,165,24,47,33,91,39,54,68,43,21,26,40,69,27,31,37,42,28,24,28
2020년12월_여_100세 이상,40,11,2,3,1,4,2,3,5,4,0,2,0,0,0,0,0,3,0,0,0
