카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년06월_계_총인구수,"297,397","17,288","27,304","23,094","11,901","14,473","24,349","15,887","15,830","23,743","14,879","26,860","16,714","13,824","16,944","11,312","10,913","12,082"
2020년06월_계_연령구간인구수,"297,397","17,288","27,304","23,094","11,901","14,473","24,349","15,887","15,830","23,743","14,879","26,860","16,714","13,824","16,944","11,312","10,913","12,082"
2020년06월_계_0~9세,"21,109","1,241","2,441","1,252",436,"1,021","1,894","1,209","1,347","1,773","1,410","2,685","1,059",800,896,608,569,468
2020년06월_계_10~19세,"20,801","1,248","1,652","1,730",877,"1,044","2,210","1,732","1,107","1,557",987,"1,697","1,181",972,955,546,634,672
2020년06월_계_20~29세,"45,629","2,544","4,435","4,459","4,492","2,327","3,044","1,777","1,853","3,028","1,557","3,057","2,579","2,214","2,419","2,062","1,730","2,052"
2020년06월_계_30~39세,"49,882","2,984","4,841","3,256","1,634","2,379","3,782","2,287","2,841","4,268","2,805","5,244","2,961","2,545","2,662","2,008","1,676","1,709"
2020년06월_계_40~49세,"46,019","2,695","4,069","3,141","1,141","2,219","4,213","2,989","2,613","3,815","2,631","4,473","2,463","2,164","2,422","1,518","1,625","1,828"
2020년06월_계_50~59세,"47,891","2,794","4,472","3,786","1,294","2,358","3,944","2,438","2,391","3,729","2,153","3,969","3,043","2,136","3,231","1,863","2,021","2,269"
2020년06월_계_60~69세,"35,811","2,078","2,954","2,933",938,"1,676","2,706","1,688","2,035","2,958","1,777","3,108","2,069","1,690","2,562","1,478","1,561","1,600"
2020년06월_계_70~79세,"20,572","1,182","1,628","1,737",756,983,"1,741","1,196","1,097","1,766","1,068","1,737",927,890,"1,244",840,750,"1,030"
2020년06월_계_80~89세,"8,295",439,684,697,286,389,696,494,481,715,432,732,379,353,470,339,296,413
2020년06월_계_90~99세,"1,147",63,106,85,36,69,98,69,53,107,50,131,45,46,69,40,43,37
2020년06월_계_100세 이상,241,20,22,18,11,8,21,8,12,27,9,27,8,14,14,10,8,4
2020년06월_남_총인구수,"145,258","8,415","13,028","11,372","6,100","6,979","11,425","7,508","7,560","11,300","7,129","12,527","8,361","6,812","8,839","5,754","5,741","6,408"
2020년06월_남_연령구간인구수,"145,258","8,415","13,028","11,372","6,100","6,979","11,425","7,508","7,560","11,300","7,129","12,527","8,361","6,812","8,839","5,754","5,741","6,408"
2020년06월_남_0~9세,"10,778",650,"1,224",637,228,519,937,602,672,919,718,"1,370",581,416,470,314,282,239
2020년06월_남_10~19세,"10,396",630,841,873,378,503,"1,013",842,577,785,518,860,617,486,500,271,355,347
2020년06월_남_20~29세,"22,571","1,236","2,062","2,216","2,475","1,131","1,433",886,933,"1,520",784,"1,391","1,320","1,097","1,275",949,893,970
2020년06월_남_30~39세,"24,498","1,495","2,276","1,680",904,"1,153","1,799","1,110","1,315","2,045","1,322","2,341","1,473","1,240","1,418","1,074",917,936
