,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년01월_계_총인구수,"223,362","10,731","5,230","4,724","8,594","9,781","13,183","5,187","7,809","5,516","6,147","2,969","4,396","3,227","9,439","17,435","10,861","21,080","11,909","16,682","4,871","11,496","8,805","23,290"
2021년01월_계_연령구간인구수,"223,362","10,731","5,230","4,724","8,594","9,781","13,183","5,187","7,809","5,516","6,147","2,969","4,396","3,227","9,439","17,435","10,861","21,080","11,909","16,682","4,871","11,496","8,805","23,290"
2021년01월_계_0~9세,"18,041",474,224,163,591,"1,365",981,488,220,201,411,59,138,133,694,"1,829",979,"1,862",841,"1,301",417,"1,143",718,"2,809"
2021년01월_계_10~19세,"24,413",722,329,312,916,"1,142","1,524",467,422,345,610,134,212,237,"1,015","2,478","1,454","2,345","1,138","1,866",525,"1,602",935,"3,683"
2021년01월_계_20~29세,"27,029","1,111",532,401,"1,009","1,267","1,792",528,718,525,696,206,492,316,"1,140","1,803","1,166","2,458","2,161","2,594",553,"1,497","1,224","2,840"
2021년01월_계_30~39세,"25,452","1,011",452,364,886,"1,659","1,370",720,618,450,620,204,302,253,982,"2,134","1,185","2,522","1,610","1,973",551,"1,436","1,106","3,044"
2021년01월_계_40~49세,"37,260","1,385",698,640,"1,347","1,716","2,233",825,"1,020",730,953,404,529,433,"1,519","3,292","1,884","3,512","2,085","2,709",816,"2,152","1,501","4,877"
2021년01월_계_50~59세,"36,288","1,789",856,836,"1,441","1,213","2,355",806,"1,360",889,947,539,723,535,"1,633","2,500","1,630","3,434","1,972","3,092",771,"1,840","1,638","3,489"
2021년01월_계_60~69세,"29,062","2,096","1,076",858,"1,249",816,"1,613",688,"1,538","1,079","1,005",683,865,576,"1,377","1,799","1,404","2,761","1,241","1,946",666,"1,077",983,"1,666"
2021년01월_계_70~79세,"17,625","1,495",785,775,782,413,896,439,"1,304",925,647,502,742,502,744,"1,070",771,"1,474",572,795,390,494,471,637
2021년01월_계_80~89세,"7,150",568,233,331,325,162,374,203,504,337,239,202,348,212,303,471,337,608,251,359,157,225,202,199
2021년01월_계_90~99세,960,75,40,40,44,26,38,19,96,33,19,30,36,25,32,56,47,98,35,45,25,29,26,46
2021년01월_계_100세 이상,82,5,5,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,3,2,0,1,1,0
2021년01월_남_총인구수,"111,241","5,373","2,628","2,390","4,190","4,825","6,500","2,549","3,990","2,889","3,027","1,578","2,358","1,672","4,743","8,591","5,352","10,326","6,138","8,315","2,428","5,517","4,293","11,569"
2021년01월_남_연령구간인구수,"111,241","5,373","2,628","2,390","4,190","4,825","6,500","2,549","3,990","2,889","3,027","1,578","2,358","1,672","4,743","8,591","5,352","10,326","6,138","8,315","2,428","5,517","4,293","11,569"
2021년01월_남_0~9세,"9,299",257,119,75,285,713,515,264,106,100,214,27,72,62,386,943,532,981,437,659,198,570,347,"1,437"
2021년01월_남_10~19세,"12,485",351,168,157,475,579,779,232,217,179,289,72,115,115,509,"1,273",740,"1,195",633,981,286,783,503,"1,854"
2021년01월_남_20~29세,"14,614",621,313,218,536,641,"1,008",269,399,298,371,118,333,188,633,985,636,"1,302","1,088","1,392",283,777,636,"1,569"
2021년01월_남_30~39세,"13,112",581,246,219,477,817,723,357,355,265,337,128,186,154,523,"1,039",570,"1,324",875,"1,015",278,660,567,"1,416"
2021년01월_남_40~49세,"19,207",784,415,412,678,868,"1,105",438,596,458,518,262,361,253,817,"1,670",939,"1,723","1,100","1,312",426,980,747,"2,345"
2021년01월_남_50~59세,"18,234",927,439,472,689,596,"1,170",404,753,497,442,330,440,313,793,"1,228",777,"1,625","1,053","1,471",395,899,759,"1,762"
2021년01월_남_60~69세,"13,843",952,480,397,572,364,732,332,761,494,453,339,432,299,640,818,657,"1,334",617,997,328,520,469,856
2021년01월_남_70~79세,"7,821",670,366,319,363,196,360,187,590,435,305,216,310,213,330,457,363,657,260,354,181,225,188,276
2021년01월_남_80~89세,"2,412",212,76,107,106,48,99,62,189,151,95,80,101,69,107,159,133,166,67,126,49,95,69,46
2021년01월_남_90~99세,198,15,6,12,9,2,8,3,22,11,3,4,8,4,5,19,5,19,8,8,4,8,7,8
2021년01월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2021년01월_여_총인구수,"112,121","5,358","2,602","2,334","4,404","4,956","6,683","2,638","3,819","2,627","3,120","1,391","2,038","1,555","4,696","8,844","5,509","10,754","5,771","8,367","2,443","5,979","4,512","11,721"
2021년01월_여_연령구간인구수,"112,121","5,358","2,602","2,334","4,404","4,956","6,683","2,638","3,819","2,627","3,120","1,391","2,038","1,555","4,696","8,844","5,509","10,754","5,771","8,367","2,443","5,979","4,512","11,721"
2021년01월_여_0~9세,"8,742",217,105,88,306,652,466,224,114,101,197,32,66,71,308,886,447,881,404,642,219,573,371,"1,372"
2021년01월_여_10~19세,"11,928",371,161,155,441,563,745,235,205,166,321,62,97,122,506,"1,205",714,"1,150",505,885,239,819,432,"1,829"
2021년01월_여_20~29세,"12,415",490,219,183,473,626,784,259,319,227,325,88,159,128,507,818,530,"1,156","1,073","1,202",270,720,588,"1,271"
2021년01월_여_30~39세,"12,340",430,206,145,409,842,647,363,263,185,283,76,116,99,459,"1,095",615,"1,198",735,958,273,776,539,"1,628"
2021년01월_여_40~49세,"18,053",601,283,228,669,848,"1,128",387,424,272,435,142,168,180,702,"1,622",945,"1,789",985,"1,397",390,"1,172",754,"2,532"
2021년01월_여_50~59세,"18,054",862,417,364,752,617,"1,185",402,607,392,505,209,283,222,840,"1,272",853,"1,809",919,"1,621",376,941,879,"1,727"
2021년01월_여_60~69세,"15,219","1,144",596,461,677,452,881,356,777,585,552,344,433,277,737,981,747,"1,427",624,949,338,557,514,810
2021년01월_여_70~79세,"9,804",825,419,456,419,217,536,252,714,490,342,286,432,289,414,613,408,817,312,441,209,269,283,361
2021년01월_여_80~89세,"4,738",356,157,224,219,114,275,141,315,186,144,122,247,143,196,312,204,442,184,233,108,130,133,153
2021년01월_여_90~99세,762,60,34,28,35,24,30,16,74,22,16,26,28,21,27,37,42,79,27,37,21,21,19,38
2021년01월_여_100세 이상,66,2,5,2,4,1,6,3,7,1,0,4,9,3,0,3,4,6,3,2,0,1,0,0
