,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년03월_계_총인구수,"27,040","9,515","1,733","1,175","1,033","1,577","1,614","1,451","1,853",766,"2,910","1,029","1,185","1,199"
2020년03월_계_연령구간인구수,"27,040","9,515","1,733","1,175","1,033","1,577","1,614","1,451","1,853",766,"2,910","1,029","1,185","1,199"
2020년03월_계_0~9세,"1,140",726,37,28,30,38,37,34,34,19,96,27,15,19
2020년03월_계_10~19세,"1,589",897,66,41,30,72,65,50,64,27,177,40,32,28
2020년03월_계_20~29세,"2,095",981,104,80,67,136,115,86,118,33,218,47,48,62
2020년03월_계_30~39세,"1,881",997,101,62,54,77,100,50,100,29,149,63,46,53
2020년03월_계_40~49세,"2,963","1,517",144,81,77,138,145,123,150,55,308,77,66,82
2020년03월_계_50~59세,"4,733","1,574",336,223,174,285,303,280,337,123,522,147,211,218
2020년03월_계_60~69세,"5,166","1,361",393,276,222,327,354,312,439,195,545,234,252,256
2020년03월_계_70~79세,"4,074",879,276,199,199,271,247,280,367,147,538,199,242,230
2020년03월_계_80~89세,"2,959",507,239,160,155,205,218,208,215,119,308,169,241,215
2020년03월_계_90~99세,432,73,36,25,24,28,30,28,28,19,49,26,32,34
2020년03월_계_100세 이상,8,3,1,0,1,0,0,0,1,0,0,0,0,2
2020년03월_남_총인구수,"13,202","4,683",860,569,496,764,785,702,940,358,"1,391",534,555,565
2020년03월_남_연령구간인구수,"13,202","4,683",860,569,496,764,785,702,940,358,"1,391",534,555,565
2020년03월_남_0~9세,584,379,18,15,12,17,16,16,16,13,47,18,9,8
2020년03월_남_10~19세,858,472,41,24,20,41,30,25,32,18,95,26,19,15
2020년03월_남_20~29세,"1,173",529,53,46,41,82,63,44,73,21,131,25,35,30
2020년03월_남_30~39세,"1,001",475,60,37,32,36,62,33,52,14,90,47,25,38
2020년03월_남_40~49세,"1,726",819,92,52,48,80,87,75,99,39,184,58,41,52
2020년03월_남_50~59세,"2,595",839,187,112,96,163,172,161,181,63,283,87,119,132
2020년03월_남_60~69세,"2,673",644,227,148,122,172,193,166,243,100,259,138,132,129
2020년03월_남_70~79세,"1,653",375,107,80,79,102,97,114,169,49,218,76,99,88
2020년03월_남_80~89세,848,135,65,48,41,66,58,59,68,37,79,55,73,64
2020년03월_남_90~99세,89,16,10,7,5,5,7,9,6,4,5,4,3,8
2020년03월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년03월_여_총인구수,"13,838","4,832",873,606,537,813,829,749,913,408,"1,519",495,630,634
2020년03월_여_연령구간인구수,"13,838","4,832",873,606,537,813,829,749,913,408,"1,519",495,630,634
2020년03월_여_0~9세,556,347,19,13,18,21,21,18,18,6,49,9,6,11
2020년03월_여_10~19세,731,425,25,17,10,31,35,25,32,9,82,14,13,13
2020년03월_여_20~29세,922,452,51,34,26,54,52,42,45,12,87,22,13,32
2020년03월_여_30~39세,880,522,41,25,22,41,38,17,48,15,59,16,21,15
2020년03월_여_40~49세,"1,237",698,52,29,29,58,58,48,51,16,124,19,25,30
2020년03월_여_50~59세,"2,138",735,149,111,78,122,131,119,156,60,239,60,92,86
2020년03월_여_60~69세,"2,493",717,166,128,100,155,161,146,196,95,286,96,120,127
2020년03월_여_70~79세,"2,421",504,169,119,120,169,150,166,198,98,320,123,143,142
2020년03월_여_80~89세,"2,111",372,174,112,114,139,160,149,147,82,229,114,168,151
2020년03월_여_90~99세,343,57,26,18,19,23,23,19,22,15,44,22,29,26
2020년03월_여_100세 이상,6,3,1,0,1,0,0,0,0,0,0,0,0,1
