,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년11월_계_총인구수,"150,493","48,377","2,140","3,042","4,967","2,759","2,746","1,757","3,095","56,617","11,743","11,534","1,716"
2021년11월_계_연령구간인구수,"150,493","48,377","2,140","3,042","4,967","2,759","2,746","1,757","3,095","56,617","11,743","11,534","1,716"
2021년11월_계_0~9세,"12,667","4,150",63,69,257,55,69,38,395,"5,894",835,792,50
2021년11월_계_10~19세,"15,701","5,066",127,130,266,122,78,84,161,"7,208","1,097","1,251",111
2021년11월_계_20~29세,"19,367","5,930",176,244,601,176,184,117,311,"7,969","1,476","1,999",184
2021년11월_계_30~39세,"18,033","5,667",140,151,498,156,140,86,665,"7,992","1,201","1,218",119
2021년11월_계_40~49세,"23,123","7,771",188,248,533,199,239,146,337,"10,205","1,785","1,296",176
2021년11월_계_50~59세,"29,381","8,559",437,618,"1,147",532,469,320,386,"11,120","2,711","2,720",362
2021년11월_계_60~69세,"18,210","6,252",429,661,800,562,606,430,332,"4,280","1,759","1,755",344
2021년11월_계_70~79세,"8,370","3,040",295,483,491,512,542,287,271,"1,281",585,373,210
2021년11월_계_80~89세,"4,781","1,640",232,369,324,374,341,219,194,584,252,112,140
2021년11월_계_90~99세,839,299,52,67,50,69,75,26,41,81,41,18,20
2021년11월_계_100세 이상,21,3,1,2,0,2,3,4,2,3,1,0,0
2021년11월_남_총인구수,"78,624","24,777","1,114","1,501","2,554","1,392","1,367",885,"1,660","29,856","6,215","6,358",945
2021년11월_남_연령구간인구수,"78,624","24,777","1,114","1,501","2,554","1,392","1,367",885,"1,660","29,856","6,215","6,358",945
2021년11월_남_0~9세,"6,442","2,097",45,36,132,24,32,19,199,"3,005",428,402,23
2021년11월_남_10~19세,"8,140","2,651",77,64,134,80,40,43,84,"3,696",556,657,58
2021년11월_남_20~29세,"11,295","3,282",109,145,353,112,112,80,179,"4,583",864,"1,350",126
2021년11월_남_30~39세,"9,700","2,917",80,75,283,85,84,44,367,"4,296",671,714,84
2021년11월_남_40~49세,"12,003","4,087",109,126,265,118,157,93,200,"5,179",965,588,116
2021년11월_남_50~59세,"15,973","4,540",254,352,618,318,289,182,247,"6,030","1,484","1,447",212
2021년11월_남_60~69세,"9,582","3,240",228,368,420,291,291,230,175,"2,295",907,946,191
2021년11월_남_70~79세,"3,828","1,397",121,207,223,227,241,112,133,583,273,218,93
2021년11월_남_80~89세,"1,522",513,77,114,118,127,111,78,69,180,63,32,40
2021년11월_남_90~99세,138,53,13,14,8,10,10,4,7,9,4,4,2
2021년11월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"71,869","23,600","1,026","1,541","2,413","1,367","1,379",872,"1,435","26,761","5,528","5,176",771
2021년11월_여_연령구간인구수,"71,869","23,600","1,026","1,541","2,413","1,367","1,379",872,"1,435","26,761","5,528","5,176",771
2021년11월_여_0~9세,"6,225","2,053",18,33,125,31,37,19,196,"2,889",407,390,27
2021년11월_여_10~19세,"7,561","2,415",50,66,132,42,38,41,77,"3,512",541,594,53
2021년11월_여_20~29세,"8,072","2,648",67,99,248,64,72,37,132,"3,386",612,649,58
2021년11월_여_30~39세,"8,333","2,750",60,76,215,71,56,42,298,"3,696",530,504,35
2021년11월_여_40~49세,"11,120","3,684",79,122,268,81,82,53,137,"5,026",820,708,60
2021년11월_여_50~59세,"13,408","4,019",183,266,529,214,180,138,139,"5,090","1,227","1,273",150
2021년11월_여_60~69세,"8,628","3,012",201,293,380,271,315,200,157,"1,985",852,809,153
2021년11월_여_70~79세,"4,542","1,643",174,276,268,285,301,175,138,698,312,155,117
2021년11월_여_80~89세,"3,259","1,127",155,255,206,247,230,141,125,404,189,80,100
2021년11월_여_90~99세,701,246,39,53,42,59,65,22,34,72,37,14,18
2021년11월_여_100세 이상,20,3,0,2,0,2,3,4,2,3,1,0,0
