,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년03월_계_총인구수,"1,129,254","215,276","318,059","155,753","218,481","221,685"
2021년03월_계_연령구간인구수,"1,129,254","215,276","318,059","155,753","218,481","221,685"
2021년03월_계_0~9세,"96,422","16,182","23,449","14,508","24,880","17,403"
2021년03월_계_10~19세,"111,038","19,806","29,974","15,563","23,473","22,222"
2021년03월_계_20~29세,"142,413","26,137","45,144","17,524","27,324","26,284"
2021년03월_계_30~39세,"149,430","25,922","41,864","22,426","33,801","25,417"
2021년03월_계_40~49세,"186,357","33,834","50,951","26,052","38,693","36,827"
2021년03월_계_50~59세,"207,808","40,765","61,295","25,320","38,621","41,807"
2021년03월_계_60~69세,"148,776","32,401","42,302","23,063","20,662","30,348"
2021년03월_계_70~79세,"60,792","14,400","16,641","8,413","7,511","13,827"
2021년03월_계_80~89세,"23,060","5,196","5,753","2,520","3,067","6,524"
2021년03월_계_90~99세,"3,070",614,666,354,432,"1,004"
2021년03월_계_100세 이상,88,19,20,10,17,22
2021년03월_남_총인구수,"580,424","109,045","162,292","81,412","113,172","114,503"
2021년03월_남_연령구간인구수,"580,424","109,045","162,292","81,412","113,172","114,503"
2021년03월_남_0~9세,"49,576","8,343","12,060","7,430","12,784","8,959"
2021년03월_남_10~19세,"58,467","10,571","15,904","8,232","12,220","11,540"
2021년03월_남_20~29세,"80,049","14,572","25,108","9,843","15,547","14,979"
2021년03월_남_30~39세,"79,487","13,598","22,387","12,350","17,594","13,558"
2021년03월_남_40~49세,"95,078","17,296","24,935","14,179","19,848","18,820"
2021년03월_남_50~59세,"105,688","20,321","30,800","12,616","19,822","22,129"
2021년03월_남_60~69세,"74,951","15,785","21,012","11,568","10,865","15,721"
2021년03월_남_70~79세,"28,925","6,630","7,958","4,298","3,509","6,530"
2021년03월_남_80~89세,"7,685","1,831","2,011",845,917,"2,081"
2021년03월_남_90~99세,507,96,116,49,62,184
2021년03월_남_100세 이상,11,2,1,2,4,2
2021년03월_여_총인구수,"548,830","106,231","155,767","74,341","105,309","107,182"
2021년03월_여_연령구간인구수,"548,830","106,231","155,767","74,341","105,309","107,182"
2021년03월_여_0~9세,"46,846","7,839","11,389","7,078","12,096","8,444"
2021년03월_여_10~19세,"52,571","9,235","14,070","7,331","11,253","10,682"
2021년03월_여_20~29세,"62,364","11,565","20,036","7,681","11,777","11,305"
2021년03월_여_30~39세,"69,943","12,324","19,477","10,076","16,207","11,859"
2021년03월_여_40~49세,"91,279","16,538","26,016","11,873","18,845","18,007"
2021년03월_여_50~59세,"102,120","20,444","30,495","12,704","18,799","19,678"
2021년03월_여_60~69세,"73,825","16,616","21,290","11,495","9,797","14,627"
2021년03월_여_70~79세,"31,867","7,770","8,683","4,115","4,002","7,297"
2021년03월_여_80~89세,"15,375","3,365","3,742","1,675","2,150","4,443"
2021년03월_여_90~99세,"2,563",518,550,305,370,820
2021년03월_여_100세 이상,77,17,19,8,13,20
