,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년10월_계_총인구수,"52,113","21,654","4,553","6,685","1,724","1,744","1,351","2,304","2,360","3,961","5,197",388,192
2021년10월_계_연령구간인구수,"52,113","21,654","4,553","6,685","1,724","1,744","1,351","2,304","2,360","3,961","5,197",388,192
2021년10월_계_0~9세,"3,660","2,014",178,615,81,88,68,84,81,146,280,14,11
2021년10월_계_10~19세,"4,012","2,326",217,511,87,74,56,158,90,154,326,9,4
2021년10월_계_20~29세,"4,718","2,345",321,771,146,117,78,172,109,206,419,26,8
2021년10월_계_30~39세,"4,624","2,258",254,837,143,110,112,120,119,227,416,19,9
2021년10월_계_40~49세,"6,231","3,225",400,829,150,142,101,232,187,347,535,56,27
2021년10월_계_50~59세,"8,427","3,479",790,"1,112",270,273,218,381,322,634,835,83,30
2021년10월_계_60~69세,"8,640","2,933",858,894,332,354,296,412,462,948,982,113,56
2021년10월_계_70~79세,"6,991","1,942",860,695,285,301,250,411,505,829,834,45,34
2021년10월_계_80~89세,"4,245",995,596,373,197,254,152,293,435,415,502,21,12
2021년10월_계_90~99세,539,128,76,46,31,30,20,37,49,55,64,2,1
2021년10월_계_100세 이상,26,9,3,2,2,1,0,4,1,0,4,0,0
2021년10월_남_총인구수,"26,039","10,636","2,273","3,535",909,859,668,"1,168","1,132","1,936","2,567",241,115
2021년10월_남_연령구간인구수,"26,039","10,636","2,273","3,535",909,859,668,"1,168","1,132","1,936","2,567",241,115
2021년10월_남_0~9세,"1,843","1,006",91,323,37,50,30,42,43,70,138,6,7
2021년10월_남_10~19세,"2,099","1,211",116,249,60,39,24,88,55,76,173,5,3
2021년10월_남_20~29세,"2,681","1,264",194,474,82,58,46,103,60,126,252,17,5
2021년10월_남_30~39세,"2,378","1,096",150,468,82,50,55,69,62,122,208,12,4
2021년10월_남_40~49세,"3,471","1,596",259,471,102,96,65,143,115,236,327,42,19
2021년10월_남_50~59세,"4,690","1,807",469,641,161,149,128,251,200,351,452,60,21
2021년10월_남_60~69세,"4,416","1,419",445,477,194,195,148,211,241,468,517,68,33
2021년10월_남_70~79세,"3,033",883,348,305,129,135,116,163,202,370,339,25,18
2021년10월_남_80~89세,"1,315",327,184,121,55,77,51,90,143,104,152,6,5
2021년10월_남_90~99세,113,27,17,6,7,10,5,8,11,13,9,0,0
2021년10월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"26,074","11,018","2,280","3,150",815,885,683,"1,136","1,228","2,025","2,630",147,77
2021년10월_여_연령구간인구수,"26,074","11,018","2,280","3,150",815,885,683,"1,136","1,228","2,025","2,630",147,77
2021년10월_여_0~9세,"1,817","1,008",87,292,44,38,38,42,38,76,142,8,4
2021년10월_여_10~19세,"1,913","1,115",101,262,27,35,32,70,35,78,153,4,1
2021년10월_여_20~29세,"2,037","1,081",127,297,64,59,32,69,49,80,167,9,3
2021년10월_여_30~39세,"2,246","1,162",104,369,61,60,57,51,57,105,208,7,5
2021년10월_여_40~49세,"2,760","1,629",141,358,48,46,36,89,72,111,208,14,8
2021년10월_여_50~59세,"3,737","1,672",321,471,109,124,90,130,122,283,383,23,9
2021년10월_여_60~69세,"4,224","1,514",413,417,138,159,148,201,221,480,465,45,23
2021년10월_여_70~79세,"3,958","1,059",512,390,156,166,134,248,303,459,495,20,16
2021년10월_여_80~89세,"2,930",668,412,252,142,177,101,203,292,311,350,15,7
2021년10월_여_90~99세,426,101,59,40,24,20,15,29,38,42,55,2,1
2021년10월_여_100세 이상,26,9,3,2,2,1,0,4,1,0,4,0,0
