,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년02월_계_총인구수,"64,680","9,785","3,308","1,733","5,176","1,325",722,"1,865",695,675,"7,675","14,535","9,074","8,112"
2021년02월_계_연령구간인구수,"64,680","9,785","3,308","1,733","5,176","1,325",722,"1,865",695,675,"7,675","14,535","9,074","8,112"
2021년02월_계_0~9세,"3,796",320,91,42,107,24,8,43,13,17,291,"1,658",645,537
2021년02월_계_10~19세,"5,039",720,142,64,212,37,9,67,27,12,486,"1,678",824,761
2021년02월_계_20~29세,"6,956","1,680",236,130,343,65,35,93,27,26,738,"1,847","1,001",735
2021년02월_계_30~39세,"5,645",541,210,94,272,71,21,92,22,36,584,"2,016",945,741
2021년02월_계_40~49세,"8,844","1,076",392,187,476,147,61,200,77,73,944,"2,518","1,488","1,205"
2021년02월_계_50~59세,"11,273","1,664",626,354,999,290,148,343,140,126,"1,439","2,284","1,542","1,318"
2021년02월_계_60~69세,"11,277","1,868",694,375,"1,188",377,188,438,171,169,"1,596","1,458","1,318","1,437"
2021년02월_계_70~79세,"7,185","1,231",518,299,843,177,137,332,130,123,"1,035",684,839,837
2021년02월_계_80~89세,"4,024",604,339,160,616,123,91,220,76,84,506,328,399,478
2021년02월_계_90~99세,588,64,52,28,112,14,24,36,11,9,54,58,65,61
2021년02월_계_100세 이상,53,17,8,0,8,0,0,1,1,0,2,6,8,2
2021년02월_남_총인구수,"32,670","4,833","1,725",866,"2,658",722,397,973,355,369,"3,749","7,383","4,616","4,024"
2021년02월_남_연령구간인구수,"32,670","4,833","1,725",866,"2,658",722,397,973,355,369,"3,749","7,383","4,616","4,024"
2021년02월_남_0~9세,"1,928",152,49,20,58,13,4,24,11,9,154,842,320,272
2021년02월_남_10~19세,"2,601",337,71,36,132,22,4,43,13,5,246,852,447,393
2021년02월_남_20~29세,"3,884",872,161,72,220,34,25,63,16,14,417,"1,037",545,408
2021년02월_남_30~39세,"3,048",278,132,61,167,49,13,51,11,20,325,"1,047",497,397
2021년02월_남_40~49세,"4,863",612,251,111,305,106,44,142,50,58,503,"1,243",796,642
2021년02월_남_50~59세,"6,054",887,372,192,591,150,96,197,84,75,705,"1,185",861,659
2021년02월_남_60~69세,"5,641",953,362,195,607,212,110,234,80,97,728,730,645,688
2021년02월_남_70~79세,"3,180",532,216,116,364,80,63,153,59,58,482,304,367,386
2021년02월_남_80~89세,"1,346",186,100,56,199,53,33,63,30,32,177,127,124,166
2021년02월_남_90~99세,113,19,8,7,14,3,5,3,1,1,12,15,13,12
2021년02월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2021년02월_여_총인구수,"32,010","4,952","1,583",867,"2,518",603,325,892,340,306,"3,926","7,152","4,458","4,088"
2021년02월_여_연령구간인구수,"32,010","4,952","1,583",867,"2,518",603,325,892,340,306,"3,926","7,152","4,458","4,088"
2021년02월_여_0~9세,"1,868",168,42,22,49,11,4,19,2,8,137,816,325,265
2021년02월_여_10~19세,"2,438",383,71,28,80,15,5,24,14,7,240,826,377,368
2021년02월_여_20~29세,"3,072",808,75,58,123,31,10,30,11,12,321,810,456,327
2021년02월_여_30~39세,"2,597",263,78,33,105,22,8,41,11,16,259,969,448,344
2021년02월_여_40~49세,"3,981",464,141,76,171,41,17,58,27,15,441,"1,275",692,563
2021년02월_여_50~59세,"5,219",777,254,162,408,140,52,146,56,51,734,"1,099",681,659
2021년02월_여_60~69세,"5,636",915,332,180,581,165,78,204,91,72,868,728,673,749
2021년02월_여_70~79세,"4,005",699,302,183,479,97,74,179,71,65,553,380,472,451
2021년02월_여_80~89세,"2,678",418,239,104,417,70,58,157,46,52,329,201,275,312
2021년02월_여_90~99세,475,45,44,21,98,11,19,33,10,8,42,43,52,49
2021년02월_여_100세 이상,41,12,5,0,7,0,0,1,1,0,2,5,7,1
