카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년11월_계_총인구수,"34,895","6,857","1,415","1,064","2,046","2,887","1,831","4,148","5,619","5,741","1,186","2,101"
2020년11월_계_연령구간인구수,"34,895","6,857","1,415","1,064","2,046","2,887","1,831","4,148","5,619","5,741","1,186","2,101"
2020년11월_계_0~9세,"1,348",386,48,42,55,84,33,134,161,331,38,36
2020년11월_계_10~19세,"2,076",536,41,47,97,152,77,280,203,496,42,105
2020년11월_계_20~29세,"2,464",638,74,38,100,167,109,305,364,517,52,100
2020년11월_계_30~39세,"2,150",623,53,46,90,195,75,214,302,417,61,74
2020년11월_계_40~49세,"3,548",836,113,90,136,280,152,460,533,670,95,183
2020년11월_계_50~59세,"6,558","1,187",231,168,321,534,398,877,"1,171","1,115",175,381
2020년11월_계_60~69세,"7,228","1,151",337,209,439,571,420,906,"1,339","1,078",308,470
2020년11월_계_70~79세,"5,308",855,262,208,443,504,336,574,896,605,228,397
2020년11월_계_80~89세,"3,651",540,224,188,320,340,204,345,566,455,156,313
2020년11월_계_90~99세,546,101,32,27,43,58,26,51,81,56,31,40
2020년11월_계_100세 이상,18,4,0,1,2,2,1,2,3,1,0,2
2020년11월_남_총인구수,"17,137","3,319",691,510,989,"1,429",903,"2,049","2,812","2,826",568,"1,041"
2020년11월_남_연령구간인구수,"17,137","3,319",691,510,989,"1,429",903,"2,049","2,812","2,826",568,"1,041"
2020년11월_남_0~9세,713,196,26,20,38,46,21,67,98,169,17,15
2020년11월_남_10~19세,"1,111",276,27,30,59,81,46,153,111,246,20,62
2020년11월_남_20~29세,"1,412",373,40,16,61,94,63,161,209,305,33,57
2020년11월_남_30~39세,"1,153",309,32,24,54,112,49,109,171,219,34,40
2020년11월_남_40~49세,"1,988",435,67,57,93,167,82,245,317,347,60,118
2020년11월_남_50~59세,"3,539",625,139,104,184,292,210,473,614,559,108,231
2020년11월_남_60~69세,"3,724",565,178,111,223,299,218,442,698,582,163,245
2020년11월_남_70~79세,"2,313",369,113,82,174,214,143,263,427,257,91,180
2020년11월_남_80~89세,"1,071",151,60,62,96,109,66,121,156,132,36,82
2020년11월_남_90~99세,111,20,9,4,6,15,5,14,11,10,6,11
2020년11월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년11월_여_총인구수,"17,758","3,538",724,554,"1,057","1,458",928,"2,099","2,807","2,915",618,"1,060"
2020년11월_여_연령구간인구수,"17,758","3,538",724,554,"1,057","1,458",928,"2,099","2,807","2,915",618,"1,060"
2020년11월_여_0~9세,635,190,22,22,17,38,12,67,63,162,21,21
2020년11월_여_10~19세,965,260,14,17,38,71,31,127,92,250,22,43
2020년11월_여_20~29세,"1,052",265,34,22,39,73,46,144,155,212,19,43
2020년11월_여_30~39세,997,314,21,22,36,83,26,105,131,198,27,34
2020년11월_여_40~49세,"1,560",401,46,33,43,113,70,215,216,323,35,65
2020년11월_여_50~59세,"3,019",562,92,64,137,242,188,404,557,556,67,150
2020년11월_여_60~69세,"3,504",586,159,98,216,272,202,464,641,496,145,225
2020년11월_여_70~79세,"2,995",486,149,126,269,290,193,311,469,348,137,217
2020년11월_여_80~89세,"2,580",389,164,126,224,231,138,224,410,323,120,231
2020년11월_여_90~99세,435,81,23,23,37,43,21,37,70,46,25,29
2020년11월_여_100세 이상,16,4,0,1,1,2,1,1,3,1,0,2
