카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년11월_계_총인구수,"157,111","40,345","5,799","20,050","11,827","15,066","20,999","8,933","21,758","12,334"
2020년11월_계_연령구간인구수,"157,111","40,345","5,799","20,050","11,827","15,066","20,999","8,933","21,758","12,334"
2020년11월_계_0~9세,"15,012","3,662",242,"2,216",938,"1,375","2,116",720,"2,442","1,301"
2020년11월_계_10~19세,"15,594","4,113",361,"1,917","1,177","1,378","2,317",910,"2,145","1,276"
2020년11월_계_20~29세,"17,823","4,633",726,"2,039","1,546","1,930","2,431",912,"2,442","1,164"
2020년11월_계_30~39세,"23,186","5,941",777,"3,030","1,541","2,250","2,747","1,157","3,889","1,854"
2020년11월_계_40~49세,"26,021","7,279",826,"3,255","1,965","2,325","3,460","1,401","3,431","2,079"
2020년11월_계_50~59세,"25,801","6,637","1,064","3,262","2,306","2,375","3,825","1,432","3,036","1,864"
2020년11월_계_60~69세,"22,612","5,330","1,149","2,767","1,654","2,204","2,845","1,585","3,220","1,858"
2020년11월_계_70~79세,"8,198","1,993",492,"1,106",498,957,926,629,922,675
2020년11월_계_80~89세,"2,465",633,145,403,180,234,279,162,199,230
2020년11월_계_90~99세,373,117,16,51,20,34,51,24,30,30
2020년11월_계_100세 이상,26,7,1,4,2,4,2,1,2,3
2020년11월_남_총인구수,"82,126","21,637","3,131","10,330","6,194","7,805","10,720","4,570","11,490","6,249"
2020년11월_남_연령구간인구수,"82,126","21,637","3,131","10,330","6,194","7,805","10,720","4,570","11,490","6,249"
2020년11월_남_0~9세,"7,684","1,879",125,"1,125",478,723,"1,036",365,"1,284",669
2020년11월_남_10~19세,"8,227","2,187",191,"1,008",634,752,"1,184",467,"1,156",648
2020년11월_남_20~29세,"10,047","2,661",415,"1,129",853,"1,009","1,369",540,"1,427",644
2020년11월_남_30~39세,"12,767","3,444",492,"1,552",859,"1,229","1,428",614,"2,163",986
2020년11월_남_40~49세,"14,142","4,133",489,"1,786","1,027","1,260","1,779",745,"1,840","1,083"
2020년11월_남_50~59세,"12,788","3,457",549,"1,664","1,154","1,150","1,887",676,"1,378",873
2020년11월_남_60~69세,"11,440","2,702",560,"1,398",870,"1,076","1,444",794,"1,646",950
2020년11월_남_70~79세,"4,172",972,255,541,249,511,491,316,513,324
2020년11월_남_80~89세,803,195,51,116,69,85,95,51,76,65
2020년11월_남_90~99세,51,7,4,11,1,7,6,2,6,7
2020년11월_남_100세 이상,5,0,0,0,0,3,1,0,1,0
2020년11월_여_총인구수,"74,985","18,708","2,668","9,720","5,633","7,261","10,279","4,363","10,268","6,085"
2020년11월_여_연령구간인구수,"74,985","18,708","2,668","9,720","5,633","7,261","10,279","4,363","10,268","6,085"
2020년11월_여_0~9세,"7,328","1,783",117,"1,091",460,652,"1,080",355,"1,158",632
2020년11월_여_10~19세,"7,367","1,926",170,909,543,626,"1,133",443,989,628
2020년11월_여_20~29세,"7,776","1,972",311,910,693,921,"1,062",372,"1,015",520
2020년11월_여_30~39세,"10,419","2,497",285,"1,478",682,"1,021","1,319",543,"1,726",868
2020년11월_여_40~49세,"11,879","3,146",337,"1,469",938,"1,065","1,681",656,"1,591",996
2020년11월_여_50~59세,"13,013","3,180",515,"1,598","1,152","1,225","1,938",756,"1,658",991
2020년11월_여_60~69세,"11,172","2,628",589,"1,369",784,"1,128","1,401",791,"1,574",908
2020년11월_여_70~79세,"4,026","1,021",237,565,249,446,435,313,409,351
2020년11월_여_80~89세,"1,662",438,94,287,111,149,184,111,123,165
2020년11월_여_90~99세,322,110,12,40,19,27,45,22,24,23
2020년11월_여_100세 이상,21,7,1,4,2,1,1,1,1,3
