카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년05월_계_총인구수,"503,946","37,834","18,208","13,280","37,200","33,902","14,421","13,314","32,448","22,864","18,389","7,183","35,136","16,927","19,771","35,112","29,920","17,068","17,829","32,711","13,206","13,086","24,137"
2020년05월_계_연령구간인구수,"503,946","37,834","18,208","13,280","37,200","33,902","14,421","13,314","32,448","22,864","18,389","7,183","35,136","16,927","19,771","35,112","29,920","17,068","17,829","32,711","13,206","13,086","24,137"
2020년05월_계_0~9세,"34,926","2,536","1,021",683,"2,737","2,702",993,609,"2,859","1,330","1,277",365,"2,829",947,"1,323","2,643","2,648",948,"1,214","2,056","1,156",770,"1,280"
2020년05월_계_10~19세,"44,813","3,015","1,388",878,"2,510","2,442",862,"1,028","3,860","2,105","1,871",544,"3,103","1,375","1,557","3,779","4,383","1,199","1,637","3,491","1,085","1,056","1,645"
2020년05월_계_20~29세,"72,042","6,265","2,600","1,746","5,872","5,227","2,109","1,790","4,308","2,971","2,729",928,"4,968","2,609","2,641","4,928","3,825","2,226","2,548","5,104","1,731","1,695","3,222"
2020년05월_계_30~39세,"70,263","6,182","2,653","1,757","6,811","6,392","2,249","1,443","4,001","2,529","2,239",860,"5,248","2,275","2,954","4,215","3,208","2,193","2,337","4,166","1,938","1,508","3,105"
2020년05월_계_40~49세,"79,272","5,833","2,793","1,918","5,730","5,430","2,128","1,854","5,630","3,277","2,920","1,112","5,312","2,496","2,585","5,894","6,075","2,467","2,816","5,493","1,903","1,980","3,626"
2020년05월_계_50~59세,"92,141","6,162","3,283","2,456","6,197","5,522","2,511","2,689","5,848","4,241","3,451","1,532","6,570","3,402","3,716","6,652","5,261","3,096","3,284","6,463","2,278","2,573","4,954"
2020년05월_계_60~69세,"63,539","4,468","2,446","2,069","4,228","3,574","2,015","2,189","3,574","3,380","2,296","1,095","4,256","2,282","2,948","3,956","2,659","2,778","2,280","3,487","1,907","1,975","3,677"
2020년05월_계_70~79세,"31,083","2,181","1,424","1,169","2,119","1,735",999,"1,114","1,595","1,869",994,520,"1,907","1,043","1,308","1,893","1,199","1,529","1,179","1,618",837,"1,046","1,805"
2020년05월_계_80~89세,"13,617","1,018",519,508,868,745,471,505,660,993,534,175,821,428,624,981,564,568,469,718,318,408,722
2020년05월_계_90~99세,"2,054",162,70,84,113,120,74,78,106,152,76,41,115,66,112,160,97,60,60,111,47,63,87
2020년05월_계_100세 이상,196,12,11,12,15,13,10,15,7,17,2,11,7,4,3,11,1,4,5,4,6,12,14
2020년05월_남_총인구수,"249,482","18,197","9,104","6,609","18,393","16,806","7,147","6,731","16,019","11,115","8,809","3,857","17,586","8,567","9,668","17,238","14,560","8,626","8,701","15,785","6,795","6,677","12,492"
2020년05월_남_연령구간인구수,"249,482","18,197","9,104","6,609","18,393","16,806","7,147","6,731","16,019","11,115","8,809","3,857","17,586","8,567","9,668","17,238","14,560","8,626","8,701","15,785","6,795","6,677","12,492"
2020년05월_남_0~9세,"17,850","1,272",525,366,"1,379","1,362",530,332,"1,440",709,673,171,"1,475",474,675,"1,362","1,313",474,602,"1,042",625,421,628
2020년05월_남_10~19세,"23,235","1,498",721,472,"1,321","1,227",440,527,"2,017","1,123",947,285,"1,636",770,809,"1,956","2,243",624,834,"1,743",585,555,902
2020년05월_남_20~29세,"37,094","3,010","1,352",915,"2,885","2,611","1,045",983,"2,303","1,575","1,348",526,"2,577","1,387","1,386","2,598","1,985","1,187","1,306","2,581",953,893,"1,688"
2020년05월_남_30~39세,"36,343","3,191","1,433",934,"3,529","3,406","1,156",806,"1,893","1,293","1,139",470,"2,712","1,234","1,517","2,127","1,530","1,179","1,169","2,047","1,043",819,"1,716"
2020년05월_남_40~49세,"39,819","2,838","1,474","1,017","2,963","2,867","1,150",970,"2,732","1,606","1,352",633,"2,695","1,292","1,297","2,835","2,798","1,357","1,390","2,558","1,005","1,025","1,965"
2020년05월_남_50~59세,"45,211","2,893","1,631","1,208","3,005","2,666","1,198","1,374","2,852","2,003","1,604",865,"3,239","1,673","1,728","3,334","2,679","1,539","1,569","3,115","1,087","1,339","2,610"
2020년05월_남_60~69세,"30,928","2,095","1,126","1,003","2,005","1,646",988,"1,055","1,777","1,606","1,132",591,"2,072","1,114","1,462","1,952","1,313","1,327","1,114","1,741",973,981,"1,855"
2020년05월_남_70~79세,"13,962",976,646,497,956,747,461,506,767,837,434,253,871,469,601,779,516,712,534,698,395,467,840
2020년05월_남_80~89세,"4,569",389,175,170,314,243,169,159,215,332,165,52,284,144,167,265,169,210,165,233,118,162,269
2020년05월_남_90~99세,427,34,18,21,31,29,9,16,22,28,14,7,24,10,24,29,14,16,17,25,9,13,17
2020년05월_남_100세 이상,44,1,3,6,5,2,1,3,1,3,1,4,1,0,2,1,0,1,1,2,2,2,2
2020년05월_여_총인구수,"254,464","19,637","9,104","6,671","18,807","17,096","7,274","6,583","16,429","11,749","9,580","3,326","17,550","8,360","10,103","17,874","15,360","8,442","9,128","16,926","6,411","6,409","11,645"
2020년05월_여_연령구간인구수,"254,464","19,637","9,104","6,671","18,807","17,096","7,274","6,583","16,429","11,749","9,580","3,326","17,550","8,360","10,103","17,874","15,360","8,442","9,128","16,926","6,411","6,409","11,645"
2020년05월_여_0~9세,"17,076","1,264",496,317,"1,358","1,340",463,277,"1,419",621,604,194,"1,354",473,648,"1,281","1,335",474,612,"1,014",531,349,652
2020년05월_여_10~19세,"21,578","1,517",667,406,"1,189","1,215",422,501,"1,843",982,924,259,"1,467",605,748,"1,823","2,140",575,803,"1,748",500,501,743
2020년05월_여_20~29세,"34,948","3,255","1,248",831,"2,987","2,616","1,064",807,"2,005","1,396","1,381",402,"2,391","1,222","1,255","2,330","1,840","1,039","1,242","2,523",778,802,"1,534"
2020년05월_여_30~39세,"33,920","2,991","1,220",823,"3,282","2,986","1,093",637,"2,108","1,236","1,100",390,"2,536","1,041","1,437","2,088","1,678","1,014","1,168","2,119",895,689,"1,389"
2020년05월_여_40~49세,"39,453","2,995","1,319",901,"2,767","2,563",978,884,"2,898","1,671","1,568",479,"2,617","1,204","1,288","3,059","3,277","1,110","1,426","2,935",898,955,"1,661"
2020년05월_여_50~59세,"46,930","3,269","1,652","1,248","3,192","2,856","1,313","1,315","2,996","2,238","1,847",667,"3,331","1,729","1,988","3,318","2,582","1,557","1,715","3,348","1,191","1,234","2,344"
2020년05월_여_60~69세,"32,611","2,373","1,320","1,066","2,223","1,928","1,027","1,134","1,797","1,774","1,164",504,"2,184","1,168","1,486","2,004","1,346","1,451","1,166","1,746",934,994,"1,822"
2020년05월_여_70~79세,"17,121","1,205",778,672,"1,163",988,538,608,828,"1,032",560,267,"1,036",574,707,"1,114",683,817,645,920,442,579,965
2020년05월_여_80~89세,"9,048",629,344,338,554,502,302,346,445,661,369,123,537,284,457,716,395,358,304,485,200,246,453
2020년05월_여_90~99세,"1,627",128,52,63,82,91,65,62,84,124,62,34,91,56,88,131,83,44,43,86,38,50,70
2020년05월_여_100세 이상,152,11,8,6,10,11,9,12,6,14,1,7,6,4,1,10,1,3,4,2,4,10,12
