카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년02월_계_총인구수,"158,809","40,557","5,932","20,504","12,122","14,837","21,198","9,141","22,081","12,437"
2020년02월_계_연령구간인구수,"158,809","40,557","5,932","20,504","12,122","14,837","21,198","9,141","22,081","12,437"
2020년02월_계_0~9세,"15,887","3,942",264,"2,360","1,003","1,387","2,182",764,"2,590","1,395"
2020년02월_계_10~19세,"15,731","4,075",373,"1,970","1,221","1,370","2,344",944,"2,173","1,261"
2020년02월_계_20~29세,"18,281","4,764",767,"2,096","1,627","1,885","2,497",942,"2,479","1,224"
2020년02월_계_30~39세,"24,691","6,308",829,"3,320","1,653","2,249","2,920","1,252","4,180","1,980"
2020년02월_계_40~49세,"25,752","7,157",833,"3,275","2,014","2,255","3,439","1,439","3,353","1,987"
2020년02월_계_50~59세,"26,659","6,732","1,107","3,342","2,396","2,422","3,938","1,540","3,178","2,004"
2020년02월_계_60~69세,"21,352","4,988","1,134","2,656","1,546","2,114","2,675","1,486","3,043","1,710"
2020년02월_계_70~79세,"7,726","1,875",476,"1,063",459,897,871,583,866,636
2020년02월_계_80~89세,"2,345",604,131,371,175,220,282,165,188,209
2020년02월_계_90~99세,361,105,17,47,27,35,48,25,29,28
2020년02월_계_100세 이상,24,7,1,4,1,3,2,1,2,3
2020년02월_남_총인구수,"83,004","21,690","3,206","10,578","6,347","7,685","10,836","4,683","11,658","6,321"
2020년02월_남_연령구간인구수,"83,004","21,690","3,206","10,578","6,347","7,685","10,836","4,683","11,658","6,321"
2020년02월_남_0~9세,"8,168","2,019",144,"1,203",510,732,"1,087",393,"1,354",726
2020년02월_남_10~19세,"8,273","2,171",204,"1,047",646,738,"1,194",486,"1,163",624
2020년02월_남_20~29세,"10,275","2,693",443,"1,163",897,969,"1,398",555,"1,467",690
2020년02월_남_30~39세,"13,607","3,652",522,"1,733",924,"1,249","1,507",662,"2,307","1,051"
2020년02월_남_40~49세,"13,905","4,034",480,"1,770","1,062","1,208","1,760",769,"1,789","1,033"
2020년02월_남_50~59세,"13,120","3,477",557,"1,694","1,207","1,179","1,938",713,"1,430",925
2020년02월_남_60~69세,"10,955","2,552",562,"1,349",816,"1,036","1,389",751,"1,593",907
2020년02월_남_70~79세,"3,918",908,244,515,222,488,464,295,482,300
2020년02월_남_80~89세,732,177,46,96,61,76,94,57,66,59
2020년02월_남_90~99세,47,7,4,8,2,8,4,2,6,6
2020년02월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년02월_여_총인구수,"75,805","18,867","2,726","9,926","5,775","7,152","10,362","4,458","10,423","6,116"
2020년02월_여_연령구간인구수,"75,805","18,867","2,726","9,926","5,775","7,152","10,362","4,458","10,423","6,116"
2020년02월_여_0~9세,"7,719","1,923",120,"1,157",493,655,"1,095",371,"1,236",669
2020년02월_여_10~19세,"7,458","1,904",169,923,575,632,"1,150",458,"1,010",637
2020년02월_여_20~29세,"8,006","2,071",324,933,730,916,"1,099",387,"1,012",534
2020년02월_여_30~39세,"11,084","2,656",307,"1,587",729,"1,000","1,413",590,"1,873",929
2020년02월_여_40~49세,"11,847","3,123",353,"1,505",952,"1,047","1,679",670,"1,564",954
2020년02월_여_50~59세,"13,539","3,255",550,"1,648","1,189","1,243","2,000",827,"1,748","1,079"
2020년02월_여_60~69세,"10,397","2,436",572,"1,307",730,"1,078","1,286",735,"1,450",803
2020년02월_여_70~79세,"3,808",967,232,548,237,409,407,288,384,336
2020년02월_여_80~89세,"1,613",427,85,275,114,144,188,108,122,150
2020년02월_여_90~99세,314,98,13,39,25,27,44,23,23,22
2020년02월_여_100세 이상,20,7,1,4,1,1,1,1,1,3
