카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년04월_계_총인구수,"27,038","7,364","1,285","1,612","1,436","1,656","3,664","1,318","1,519","3,301","1,523","1,162","1,198"
2021년04월_계_연령구간인구수,"27,038","7,364","1,285","1,612","1,436","1,656","3,664","1,318","1,519","3,301","1,523","1,162","1,198"
2021년04월_계_0~9세,"1,330",659,30,53,52,51,115,35,42,159,42,38,54
2021년04월_계_10~19세,"1,644",730,55,61,68,76,218,49,60,164,71,43,49
2021년04월_계_20~29세,"2,017",715,71,103,93,97,266,84,72,255,129,69,63
2021년04월_계_30~39세,"1,862",772,58,88,90,80,237,64,63,215,68,64,63
2021년04월_계_40~49세,"2,761","1,065",119,140,117,137,343,111,118,306,145,72,88
2021년04월_계_50~59세,"4,605","1,060",203,338,237,284,596,246,241,635,307,238,220
2021년04월_계_60~69세,"5,081","1,017",249,392,299,335,762,280,320,660,295,240,232
2021년04월_계_70~79세,"4,246",771,260,243,268,320,604,238,303,523,264,233,219
2021년04월_계_80~89세,"3,039",503,206,162,188,243,457,184,253,344,172,147,180
2021년04월_계_90~99세,436,71,33,32,22,32,66,26,47,36,28,13,30
2021년04월_계_100세 이상,17,1,1,0,2,1,0,1,0,4,2,5,0
2021년04월_남_총인구수,"13,856","3,793",645,837,734,859,"1,847",686,763,"1,694",807,582,609
2021년04월_남_연령구간인구수,"13,856","3,793",645,837,734,859,"1,847",686,763,"1,694",807,582,609
2021년04월_남_0~9세,714,365,13,26,23,25,69,21,20,88,20,12,32
2021년04월_남_10~19세,866,374,28,38,44,45,125,19,29,78,43,19,24
2021년04월_남_20~29세,"1,187",415,44,55,59,62,153,53,44,142,81,37,42
2021년04월_남_30~39세,"1,032",409,34,47,54,51,136,34,36,120,44,36,31
2021년04월_남_40~49세,"1,682",602,83,80,72,91,197,72,75,193,109,47,61
2021년04월_남_50~59세,"2,632",589,117,197,133,155,338,154,145,369,173,145,117
2021년04월_남_60~69세,"2,755",521,143,216,161,192,401,167,170,341,168,136,139
2021년04월_남_70~79세,"1,861",346,109,112,120,139,254,95,140,246,112,95,93
2021년04월_남_80~89세,"1,014",160,64,55,60,92,154,64,94,104,51,54,62
2021년04월_남_90~99세,109,12,9,11,8,6,20,6,10,13,6,0,8
2021년04월_남_100세 이상,4,0,1,0,0,1,0,1,0,0,0,1,0
2021년04월_여_총인구수,"13,182","3,571",640,775,702,797,"1,817",632,756,"1,607",716,580,589
2021년04월_여_연령구간인구수,"13,182","3,571",640,775,702,797,"1,817",632,756,"1,607",716,580,589
2021년04월_여_0~9세,616,294,17,27,29,26,46,14,22,71,22,26,22
2021년04월_여_10~19세,778,356,27,23,24,31,93,30,31,86,28,24,25
2021년04월_여_20~29세,830,300,27,48,34,35,113,31,28,113,48,32,21
2021년04월_여_30~39세,830,363,24,41,36,29,101,30,27,95,24,28,32
2021년04월_여_40~49세,"1,079",463,36,60,45,46,146,39,43,113,36,25,27
2021년04월_여_50~59세,"1,973",471,86,141,104,129,258,92,96,266,134,93,103
2021년04월_여_60~69세,"2,326",496,106,176,138,143,361,113,150,319,127,104,93
2021년04월_여_70~79세,"2,385",425,151,131,148,181,350,143,163,277,152,138,126
2021년04월_여_80~89세,"2,025",343,142,107,128,151,303,120,159,240,121,93,118
2021년04월_여_90~99세,327,59,24,21,14,26,46,20,37,23,22,13,22
2021년04월_여_100세 이상,13,1,0,0,2,0,0,0,0,4,2,4,0
