카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년09월_계_총인구수,"90,086","10,922","16,114","5,392","34,090","3,094","6,280","4,539","1,928","4,846","2,881"
2021년09월_계_연령구간인구수,"90,086","10,922","16,114","5,392","34,090","3,094","6,280","4,539","1,928","4,846","2,881"
2021년09월_계_0~9세,"8,175",733,"2,464",158,"4,258",44,189,99,49,111,70
2021년09월_계_10~19세,"9,562","1,104","1,669",294,"5,321",126,395,182,85,218,168
2021년09월_계_20~29세,"9,349","1,326","1,128",487,"4,469",234,716,311,128,336,214
2021년09월_계_30~39세,"10,999",969,"2,772",312,"5,671",148,409,233,118,226,141
2021년09월_계_40~49세,"14,275","1,549","2,657",560,"7,316",255,667,375,189,450,257
2021년09월_계_50~59세,"13,334","1,921","1,847","1,087","4,220",578,"1,104",858,328,821,570
2021년09월_계_60~69세,"11,480","1,645","1,647","1,226","1,806",637,"1,269","1,030",473,"1,086",661
2021년09월_계_70~79세,"7,840","1,088","1,158",769,716,562,893,864,353,936,501
2021년09월_계_80~89세,"4,436",531,675,426,275,446,541,518,165,590,269
2021년09월_계_90~99세,609,56,94,70,37,62,87,68,37,69,29
2021년09월_계_100세 이상,27,0,3,3,1,2,10,1,3,3,1
2021년09월_남_총인구수,"45,280","5,461","8,045","2,843","16,890","1,544","3,254","2,309","1,001","2,456","1,477"
2021년09월_남_연령구간인구수,"45,280","5,461","8,045","2,843","16,890","1,544","3,254","2,309","1,001","2,456","1,477"
2021년09월_남_0~9세,"4,194",378,"1,279",76,"2,175",17,102,51,28,59,29
2021년09월_남_10~19세,"4,866",583,821,141,"2,714",71,200,81,45,125,85
2021년09월_남_20~29세,"5,025",746,606,274,"2,247",142,422,179,73,220,116
2021년09월_남_30~39세,"5,587",517,"1,336",177,"2,767",98,245,147,72,131,97
2021년09월_남_40~49세,"7,480",785,"1,451",338,"3,528",164,393,257,121,287,156
2021년09월_남_50~59세,"7,311","1,019","1,006",636,"2,184",332,631,522,188,461,332
2021년09월_남_60~69세,"5,797",793,804,676,862,335,667,519,246,547,348
2021년09월_남_70~79세,"3,567",467,528,382,324,249,413,388,164,428,224
2021년09월_남_80~89세,"1,344",165,195,135,81,124,165,152,58,188,81
2021년09월_남_90~99세,106,8,19,8,7,11,16,13,6,10,8
2021년09월_남_100세 이상,3,0,0,0,1,1,0,0,0,0,1
2021년09월_여_총인구수,"44,806","5,461","8,069","2,549","17,200","1,550","3,026","2,230",927,"2,390","1,404"
2021년09월_여_연령구간인구수,"44,806","5,461","8,069","2,549","17,200","1,550","3,026","2,230",927,"2,390","1,404"
2021년09월_여_0~9세,"3,981",355,"1,185",82,"2,083",27,87,48,21,52,41
2021년09월_여_10~19세,"4,696",521,848,153,"2,607",55,195,101,40,93,83
2021년09월_여_20~29세,"4,324",580,522,213,"2,222",92,294,132,55,116,98
2021년09월_여_30~39세,"5,412",452,"1,436",135,"2,904",50,164,86,46,95,44
2021년09월_여_40~49세,"6,795",764,"1,206",222,"3,788",91,274,118,68,163,101
2021년09월_여_50~59세,"6,023",902,841,451,"2,036",246,473,336,140,360,238
2021년09월_여_60~69세,"5,683",852,843,550,944,302,602,511,227,539,313
2021년09월_여_70~79세,"4,273",621,630,387,392,313,480,476,189,508,277
2021년09월_여_80~89세,"3,092",366,480,291,194,322,376,366,107,402,188
2021년09월_여_90~99세,503,48,75,62,30,51,71,55,31,59,21
2021년09월_여_100세 이상,24,0,3,3,0,1,10,1,3,3,0
