카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년07월_계_총인구수,"529,413","32,245","36,349","28,900","15,494","23,107","22,444","28,707","29,262","15,889","25,097","18,227","21,846","15,931","25,233","20,757","40,109","21,622","32,648","33,151","42,395"
2020년07월_계_연령구간인구수,"529,413","32,245","36,349","28,900","15,494","23,107","22,444","28,707","29,262","15,889","25,097","18,227","21,846","15,931","25,233","20,757","40,109","21,622","32,648","33,151","42,395"
2020년07월_계_0~9세,"43,662","3,351","3,728","1,623",732,"1,350","1,719","1,702","1,880",772,"1,887","1,389","1,587",712,"1,598","1,783","6,171","1,383","2,986","2,636","4,673"
2020년07월_계_10~19세,"50,622","3,051","4,488","1,741","1,127","1,686","2,165","2,210","2,393","1,078","2,495","1,697","2,012","1,038","2,432","2,262","3,623","2,002","3,683","3,455","5,984"
2020년07월_계_20~29세,"71,671","4,243","4,406","6,383","2,179","3,288","2,941","4,151","4,320","1,977","3,311","2,548","2,982","2,231","3,507","2,442","4,056","2,948","4,241","4,596","4,921"
2020년07월_계_30~39세,"74,563","4,973","4,687","5,494","1,794","3,316","2,856","3,834","4,225","1,926","3,188","2,337","2,928","1,936","3,024","2,566","7,990","2,359","4,708","4,743","5,679"
2020년07월_계_40~49세,"89,748","5,626","6,782","4,532","2,358","3,530","3,927","4,466","4,557","2,278","4,235","2,936","3,391","2,208","3,917","3,550","7,299","3,519","5,916","5,760","8,961"
2020년07월_계_50~59세,"90,800","5,169","5,855","4,400","3,152","4,127","3,830","5,456","5,319","3,093","4,421","3,307","3,869","3,163","4,921","3,546","4,970","4,381","5,540","5,588","6,693"
2020년07월_계_60~69세,"63,620","3,576","3,911","2,826","2,259","3,143","2,858","3,969","3,880","2,480","3,378","2,408","3,001","2,639","3,331","2,820","3,847","2,943","3,352","3,563","3,436"
2020년07월_계_70~79세,"30,446","1,518","1,784","1,333","1,279","1,812","1,498","2,010","1,814","1,444","1,557","1,148","1,355","1,433","1,592","1,227","1,562","1,425","1,485","1,812","1,358"
2020년07월_계_80~89세,"12,186",612,585,497,533,741,540,781,738,741,521,384,612,495,763,487,506,573,612,861,604
2020년07월_계_90~99세,"1,965",120,111,69,71,105,106,113,124,98,89,64,106,75,143,73,82,85,122,126,83
2020년07월_계_100세 이상,130,6,12,2,10,9,4,15,12,2,15,9,3,1,5,1,3,4,3,11,3
2020년07월_남_총인구수,"263,176","15,720","17,892","14,400","7,839","11,382","11,281","14,376","14,618","7,680","12,316","9,182","10,688","8,036","12,334","10,326","19,900","11,112","16,418","16,726","20,950"
2020년07월_남_연령구간인구수,"263,176","15,720","17,892","14,400","7,839","11,382","11,281","14,376","14,618","7,680","12,316","9,182","10,688","8,036","12,334","10,326","19,900","11,112","16,418","16,726","20,950"
