,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년05월_계_총인구수,"90,366","30,468","4,186","19,620","5,325","5,224","3,652","3,199","11,961","3,720","3,011"
2020년05월_계_연령구간인구수,"90,366","30,468","4,186","19,620","5,325","5,224","3,652","3,199","11,961","3,720","3,011"
2020년05월_계_0~9세,"6,794","2,898",181,"1,589",211,321,125,98,"1,065",188,118
2020년05월_계_10~19세,"8,909","3,278",275,"2,667",376,446,173,170,"1,125",199,200
2020년05월_계_20~29세,"9,335","3,351",591,"2,173",494,487,283,196,"1,237",288,235
2020년05월_계_30~39세,"9,454","3,724",332,"2,065",425,471,252,205,"1,432",324,224
2020년05월_계_40~49세,"14,732","5,191",561,"3,799",738,758,456,423,"1,976",472,358
2020년05월_계_50~59세,"15,637","5,051",730,"3,515",949,979,613,510,"2,063",654,573
2020년05월_계_60~69세,"13,301","4,188",724,"2,078","1,083",852,799,681,"1,602",691,603
2020년05월_계_70~79세,"8,016","1,878",498,"1,180",707,644,621,595,908,548,437
2020년05월_계_80~89세,"3,665",796,250,484,294,242,287,283,492,311,226
2020년05월_계_90~99세,494,112,43,70,45,18,39,33,59,40,35
2020년05월_계_100세 이상,29,1,1,0,3,6,4,5,2,5,2
2020년05월_남_총인구수,"45,769","15,142","2,280","10,140","2,603","2,651","1,837","1,578","6,111","1,867","1,560"
2020년05월_남_연령구간인구수,"45,769","15,142","2,280","10,140","2,603","2,651","1,837","1,578","6,111","1,867","1,560"
2020년05월_남_0~9세,"3,495","1,491",85,828,114,157,62,57,554,86,61
2020년05월_남_10~19세,"4,651","1,651",157,"1,442",187,237,92,92,574,111,108
2020년05월_남_20~29세,"5,462","1,930",410,"1,279",276,281,172,103,697,171,143
2020년05월_남_30~39세,"4,984","1,909",199,"1,072",231,261,153,117,744,171,127
2020년05월_남_40~49세,"7,679","2,546",316,"1,884",407,432,279,257,"1,067",275,216
2020년05월_남_50~59세,"8,059","2,414",410,"1,887",453,520,321,277,"1,086",349,342
2020년05월_남_60~69세,"6,407","2,035",355,"1,008",514,383,354,316,797,340,305
2020년05월_남_70~79세,"3,613",871,234,546,313,284,292,228,423,242,180
2020년05월_남_80~89세,"1,306",271,104,180,99,90,98,118,163,111,72
2020년05월_남_90~99세,104,24,9,14,7,5,13,13,6,8,5
2020년05월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년05월_여_총인구수,"44,597","15,326","1,906","9,480","2,722","2,573","1,815","1,621","5,850","1,853","1,451"
2020년05월_여_연령구간인구수,"44,597","15,326","1,906","9,480","2,722","2,573","1,815","1,621","5,850","1,853","1,451"
2020년05월_여_0~9세,"3,299","1,407",96,761,97,164,63,41,511,102,57
2020년05월_여_10~19세,"4,258","1,627",118,"1,225",189,209,81,78,551,88,92
2020년05월_여_20~29세,"3,873","1,421",181,894,218,206,111,93,540,117,92
2020년05월_여_30~39세,"4,470","1,815",133,993,194,210,99,88,688,153,97
2020년05월_여_40~49세,"7,053","2,645",245,"1,915",331,326,177,166,909,197,142
2020년05월_여_50~59세,"7,578","2,637",320,"1,628",496,459,292,233,977,305,231
2020년05월_여_60~69세,"6,894","2,153",369,"1,070",569,469,445,365,805,351,298
2020년05월_여_70~79세,"4,403","1,007",264,634,394,360,329,367,485,306,257
2020년05월_여_80~89세,"2,359",525,146,304,195,152,189,165,329,200,154
2020년05월_여_90~99세,390,88,34,56,38,13,26,20,53,32,30
2020년05월_여_100세 이상,20,1,0,0,1,5,3,5,2,2,1
