카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년10월_계_총인구수,"267,987","3,187","4,701","3,427","2,685","2,603","5,056","3,041","2,909","2,227","3,469","3,063","2,408","5,592","7,185","5,730","4,452","12,829","22,148","7,499","7,382","2,898","55,281","12,804","23,872","32,482","16,819","12,238"
2020년10월_계_연령구간인구수,"267,987","3,187","4,701","3,427","2,685","2,603","5,056","3,041","2,909","2,227","3,469","3,063","2,408","5,592","7,185","5,730","4,452","12,829","22,148","7,499","7,382","2,898","55,281","12,804","23,872","32,482","16,819","12,238"
2020년10월_계_0~9세,"21,182",91,575,167,68,72,154,76,103,46,109,128,119,196,358,169,230,"1,108","2,526",402,467,164,"6,795",674,"1,758","2,694","1,209",724
2020년10월_계_10~19세,"27,003",111,376,354,114,114,240,159,135,102,183,144,137,403,595,341,219,"1,131","2,090",483,646,260,"7,740","1,166","2,937","4,286","1,660",877
2020년10월_계_20~29세,"29,629",254,377,243,233,166,341,270,242,136,328,256,166,457,813,587,450,"1,414","2,514",733,979,299,"6,578","1,585","2,955","4,175","1,807","1,271"
2020년10월_계_30~39세,"30,896",195,702,211,147,162,364,180,187,124,277,222,205,465,555,412,620,"1,696","3,770",773,848,259,"7,683","1,314","2,207","3,626","2,129","1,563"
2020년10월_계_40~49세,"43,632",313,728,478,254,254,527,306,282,231,513,384,280,718,965,620,592,"1,932","3,580","1,073","1,029",370,"10,930","1,829","3,947","6,179","3,170","2,148"
2020년10월_계_50~59세,"44,021",589,685,568,484,461,826,614,576,389,741,465,368,956,"1,117",958,680,"2,046","3,120","1,232","1,339",481,"7,865","2,418","4,134","5,512","3,080","2,317"
2020년10월_계_60~69세,"37,214",689,621,588,619,579,"1,135",663,642,510,715,607,501,"1,163","1,322","1,166",789,"1,777","2,573","1,390","1,207",517,"4,485","2,191","3,286","3,429","2,232","1,818"
2020년10월_계_70~79세,"22,720",556,368,454,434,420,867,475,458,392,423,540,452,832,"1,021",973,619,"1,226","1,369","1,008",611,344,"2,197","1,165","1,678","1,759","1,074","1,005"
