,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년11월_계_총인구수,"31,555","9,999","3,165","2,116","2,017","4,451","2,233","1,530","2,256","1,758","2,030"
2020년11월_계_연령구간인구수,"31,555","9,999","3,165","2,116","2,017","4,451","2,233","1,530","2,256","1,758","2,030"
2020년11월_계_0~9세,"1,398",619,96,49,72,185,60,31,58,31,197
2020년11월_계_10~19세,"1,859",871,143,94,82,241,90,72,105,41,120
2020년11월_계_20~29세,"2,030",905,144,130,101,253,96,67,116,91,127
2020년11월_계_30~39세,"1,962",785,163,115,100,252,105,55,95,61,231
2020년11월_계_40~49세,"3,248","1,306",247,173,146,410,194,131,204,131,306
2020년11월_계_50~59세,"5,803","1,757",605,377,358,869,442,335,430,297,333
2020년11월_계_60~69세,"6,790","1,677",795,525,467,980,580,395,558,442,371
2020년11월_계_70~79세,"4,738","1,174",547,358,355,694,375,250,397,378,210
2020년11월_계_80~89세,"3,191",759,369,256,291,469,255,169,254,251,118
2020년11월_계_90~99세,507,141,54,37,42,91,33,24,37,32,16
2020년11월_계_100세 이상,29,5,2,2,3,7,3,1,2,3,1
2020년11월_남_총인구수,"15,878","4,923","1,588","1,032","1,016","2,210","1,122",774,"1,185",903,"1,125"
2020년11월_남_연령구간인구수,"15,878","4,923","1,588","1,032","1,016","2,210","1,122",774,"1,185",903,"1,125"
2020년11월_남_0~9세,717,320,47,27,39,100,32,15,30,13,94
2020년11월_남_10~19세,"1,000",433,91,45,39,132,50,47,66,27,70
2020년11월_남_20~29세,"1,184",502,86,82,64,142,57,39,78,61,73
2020년11월_남_30~39세,"1,066",392,93,67,57,128,52,30,58,39,150
2020년11월_남_40~49세,"1,898",696,143,108,90,245,123,71,130,86,206
2020년11월_남_50~59세,"3,140",934,313,196,206,453,232,184,244,173,205
2020년11월_남_60~69세,"3,508",840,416,264,254,500,316,209,293,218,198
2020년11월_남_70~79세,"2,124",513,254,150,148,312,173,114,187,184,89
2020년11월_남_80~89세,"1,116",271,129,86,107,170,77,57,94,91,34
2020년11월_남_90~99세,120,21,16,6,12,25,10,8,5,11,6
2020년11월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년11월_여_총인구수,"15,677","5,076","1,577","1,084","1,001","2,241","1,111",756,"1,071",855,905
2020년11월_여_연령구간인구수,"15,677","5,076","1,577","1,084","1,001","2,241","1,111",756,"1,071",855,905
2020년11월_여_0~9세,681,299,49,22,33,85,28,16,28,18,103
2020년11월_여_10~19세,859,438,52,49,43,109,40,25,39,14,50
2020년11월_여_20~29세,846,403,58,48,37,111,39,28,38,30,54
2020년11월_여_30~39세,896,393,70,48,43,124,53,25,37,22,81
2020년11월_여_40~49세,"1,350",610,104,65,56,165,71,60,74,45,100
2020년11월_여_50~59세,"2,663",823,292,181,152,416,210,151,186,124,128
2020년11월_여_60~69세,"3,282",837,379,261,213,480,264,186,265,224,173
2020년11월_여_70~79세,"2,614",661,293,208,207,382,202,136,210,194,121
2020년11월_여_80~89세,"2,075",488,240,170,184,299,178,112,160,160,84
2020년11월_여_90~99세,387,120,38,31,30,66,23,16,32,21,10
2020년11월_여_100세 이상,24,4,2,1,3,4,3,1,2,3,1
